context_feature,context_value,support_schemas,support_tests,under_rate,over_rate,baseline_under_rate,baseline_over_rate,under_lift,over_lift,low_support
allOf_satisfied_branch_count_bucket,0,4715,21283,0.0940657,0.0678006,0.0995023,0.067656,0.945362,1.00214,false
allOf_satisfied_branch_count_bucket,1,57,210,0.361905,0.0666667,0.0995023,0.067656,3.63715,0.985377,false
allOf_satisfied_branch_count_bucket,2,48,148,0.445946,0.0337838,0.0995023,0.067656,4.48177,0.499346,false
allOf_satisfied_branch_count_bucket,3,13,30,0.166667,0.0666667,0.0995023,0.067656,1.675,0.985377,false
allOf_satisfied_branch_count_bucket,4-5,5,23,0.434783,0.0869565,0.0995023,0.067656,4.36958,1.28527,true
allOf_satisfied_branch_count_bucket,6+,2,4,0,0.5,0.0995023,0.067656,0,7.39033,true
anyOf_satisfied_branch_count_bucket,0,4665,20496,0.0959699,0.0673302,0.0995023,0.067656,0.9645,0.995185,false
anyOf_satisfied_branch_count_bucket,1,219,990,0.137374,0.0525253,0.0995023,0.067656,1.38061,0.776358,false
anyOf_satisfied_branch_count_bucket,2,51,176,0.272727,0.159091,0.0995023,0.067656,2.74092,2.35147,false
anyOf_satisfied_branch_count_bucket,3,3,6,0.333333,0.166667,0.0995023,0.067656,3.35001,2.46344,true
anyOf_satisfied_branch_count_bucket,4-5,5,23,0,0.304348,0.0995023,0.067656,0,4.49846,true
anyOf_satisfied_branch_count_bucket,6+,1,7,0.857143,0,0.0995023,0.067656,8.61431,0,true
branches_conflicting_types,false,4772,21698,0.0995023,0.067656,0.0995023,0.067656,1,1,false
branches_have_enum,false,4599,20812,0.0970113,0.0649625,0.0995023,0.067656,0.974966,0.960189,false
branches_have_enum,true,173,886,0.158014,0.130926,0.0995023,0.067656,1.58804,1.93516,false
branches_have_not,false,4745,21528,0.0976403,0.0672148,0.0995023,0.067656,0.981287,0.993479,false
branches_have_not,true,27,170,0.335294,0.123529,0.0995023,0.067656,3.36971,1.82585,false
branches_have_properties,false,4425,19875,0.096,0.0636981,0.0995023,0.067656,0.964802,0.9415,false
branches_have_properties,true,347,1823,0.137685,0.110806,0.0995023,0.067656,1.38374,1.63779,false
branches_have_required,false,4455,20000,0.08825,0.06425,0.0995023,0.067656,0.886915,0.949657,false
branches_have_required,true,317,1698,0.232038,0.107774,0.0995023,0.067656,2.33198,1.59297,false
branches_have_same_type,false,4149,18400,0.08875,0.0590761,0.0995023,0.067656,0.89194,0.873183,false
branches_have_same_type,true,623,3298,0.159491,0.115525,0.0995023,0.067656,1.60288,1.70753,false
branches_overlapping_properties,false,4656,21042,0.0983747,0.0668187,0.0995023,0.067656,0.988668,0.987625,false
branches_overlapping_properties,true,116,656,0.135671,0.0945122,0.0995023,0.067656,1.36349,1.39695,false
combinator_branch_count_bucket,0,3932,17178,0.0911631,0.0592618,0.0995023,0.067656,0.916191,0.875929,false
combinator_branch_count_bucket,1,44,261,0.10728,0.0498084,0.0995023,0.067656,1.07816,0.736201,false
combinator_branch_count_bucket,2,482,2415,0.135818,0.0977226,0.0995023,0.067656,1.36497,1.4444,false
combinator_branch_count_bucket,3,136,737,0.14654,0.141113,0.0995023,0.067656,1.47273,2.08574,false
combinator_branch_count_bucket,4-5,96,682,0.0821114,0.0527859,0.0995023,0.067656,0.825222,0.78021,false
combinator_branch_count_bucket,6+,82,425,0.171765,0.143529,0.0995023,0.067656,1.72624,2.12146,false
combinator_type,absent,3932,17178,0.0911631,0.0592618,0.0995023,0.067656,0.916191,0.875929,false
combinator_type,allOf,58,279,0.240143,0.0430108,0.0995023,0.067656,2.41345,0.635727,false
combinator_type,anyOf,288,1813,0.101489,0.0562603,0.0995023,0.067656,1.01997,0.831565,false
combinator_type,mixed,167,967,0.239917,0.136505,0.0995023,0.067656,2.41117,2.01763,false
combinator_type,oneOf,327,1461,0.0752909,0.13963,0.0995023,0.067656,0.756675,2.06383,false
oneOf_satisfied_branch_count_bucket,0,4621,20654,0.0985765,0.0625545,0.0995023,0.067656,0.990697,0.924596,false
oneOf_satisfied_branch_count_bucket,1,305,995,0.0944724,0.176884,0.0995023,0.067656,0.949449,2.61447,false
oneOf_satisfied_branch_count_bucket,2,36,49,0.591837,0,0.0995023,0.067656,5.94797,0,false
