context_feature,context_value,support_schemas,support_tests,under_rate,over_rate,baseline_under_rate,baseline_over_rate,under_lift,over_lift,low_support
instance_satisfies_not_subschema,false,24,99,0.232323,0.111111,0.0995023,0.067656,2.33485,1.64229,false
instance_satisfies_not_subschema,true,22,54,0.425926,0.0555556,0.0995023,0.067656,4.28057,0.821147,false
instance_satisfies_not_subschema,unknown,4745,21545,0.0980738,0.0674867,0.0995023,0.067656,0.985644,0.997497,false
not_contains_allOf,false,4765,21644,0.0993347,0.06764,0.0995023,0.067656,0.998316,0.999763,false
not_contains_allOf,true,7,54,0.166667,0.0740741,0.0995023,0.067656,1.675,1.09486,true
not_contains_anyOf,false,4768,21684,0.0995665,0.0673769,0.0995023,0.067656,1.00065,0.995874,false
not_contains_anyOf,true,4,14,0,0.5,0.0995023,0.067656,0,7.39033,true
not_contains_const,false,4770,21679,0.0992204,0.0676692,0.0995023,0.067656,0.997168,1.00019,false
not_contains_const,true,2,19,0.421053,0.0526316,0.0995023,0.067656,4.23159,0.777929,true
not_contains_enum,false,4761,21647,0.0990437,0.0674458,0.0995023,0.067656,0.995392,0.996894,false
not_contains_enum,true,11,51,0.294118,0.156863,0.0995023,0.067656,2.95589,2.31853,false
not_contains_pattern,false,4769,21676,0.0988651,0.0677247,0.0995023,0.067656,0.993597,1.00101,false
not_contains_pattern,true,3,22,0.727273,0,0.0995023,0.067656,7.30911,0,true
not_contains_properties,false,4767,21671,0.0991648,0.0675557,0.0995023,0.067656,0.996608,0.998518,false
not_contains_properties,true,5,27,0.37037,0.148148,0.0995023,0.067656,3.72223,2.18973,true
not_contains_required,false,4746,21529,0.0985183,0.0670259,0.0995023,0.067656,0.990111,0.990686,false
not_contains_required,true,26,169,0.224852,0.147929,0.0995023,0.067656,2.25977,2.18649,false
not_parent_keyword,$defs,3,15,0.266667,0.2,0.0995023,0.067656,2.68001,2.95613,true
not_parent_keyword,absent,4718,21383,0.0962914,0.0670626,0.0995023,0.067656,0.967731,0.991229,false
not_parent_keyword,additionalProperties,1,3,0.666667,0,0.0995023,0.067656,6.70002,0,true
not_parent_keyword,allOf,4,21,0.285714,0.0952381,0.0995023,0.067656,2.87144,1.40768,true
not_parent_keyword,anyOf,5,33,0.333333,0.121212,0.0995023,0.067656,3.35001,1.79159,true
not_parent_keyword,if,1,10,0,0.1,0.0995023,0.067656,0,1.47807,true
not_parent_keyword,items,1,4,0,0.25,0.0995023,0.067656,0,3.69516,true
not_parent_keyword,mixed,4,29,0.517241,0.0689655,0.0995023,0.067656,5.19829,1.01936,true
not_parent_keyword,oneOf,5,29,0.172414,0.172414,0.0995023,0.067656,1.73276,2.54839,true
not_parent_keyword,other,1,9,0.555556,0,0.0995023,0.067656,5.58335,0,true
not_parent_keyword,patternProperties,1,4,0,0.25,0.0995023,0.067656,0,3.69516,true
not_parent_keyword,properties,18,89,0.483146,0.0561798,0.0995023,0.067656,4.85563,0.830374,false
not_parent_keyword,root,9,62,0.145161,0.129032,0.0995023,0.067656,1.45887,1.90718,true
not_parent_keyword,then,1,7,0,0.285714,0.0995023,0.067656,0,4.22304,true
not_sibling_keyword_count_bucket,0,4737,21491,0.0981806,0.0670048,0.0995023,0.067656,0.986718,0.990375,false
not_sibling_keyword_count_bucket,1,12,68,0.220588,0.132353,0.0995023,0.067656,2.21692,1.95626,false
not_sibling_keyword_count_bucket,2,6,34,0.382353,0.0882353,0.0995023,0.067656,3.84266,1.30418,true
not_sibling_keyword_count_bucket,3,3,10,0.4,0.3,0.0995023,0.067656,4.02001,4.4342,true
not_sibling_keyword_count_bucket,4-5,8,60,0.133333,0.15,0.0995023,0.067656,1.34,2.2171,true
not_sibling_keyword_count_bucket,6+,6,35,0.257143,0.114286,0.0995023,0.067656,2.58429,1.68922,true
not_target_type,absent,4758,21640,0.0989834,0.0674214,0.0995023,0.067656,0.994785,0.996533,false
not_target_type,array,1,3,0.666667,0,0.0995023,0.067656,6.70002,0,true
not_target_type,mixed,4,25,0.52,0.04,0.0995023,0.067656,5.22601,0.591226,true
not_target_type,number,2,9,0.222222,0.111111,0.0995023,0.067656,2.23334,1.64229,true
not_target_type,object,5,15,0,0.333333,0.0995023,0.067656,0,4.92688,true
not_target_type,string,2,6,0,0.333333,0.0995023,0.067656,0,4.92688,true
