context_feature,context_value,support_schemas,support_tests,under_rate,over_rate,baseline_under_rate,baseline_over_rate,under_lift,over_lift,low_support
additionalProperties_value,absent,4600,20791,0.101582,0.0580059,0.0995023,0.067656,1.02091,0.857365,false
additionalProperties_value,false,161,839,0.0417163,0.302741,0.0995023,0.067656,0.41925,4.47472,false
additionalProperties_value,mixed,2,17,0,0.235294,0.0995023,0.067656,0,3.4778,true
additionalProperties_value,schema,3,19,0.421053,0.105263,0.0995023,0.067656,4.23159,1.55586,true
additionalProperties_value,true,6,32,0.125,0.0625,0.0995023,0.067656,1.25625,0.923791,true
instance_has_unmatched_keys,false,4420,17694,0.108624,0.0510908,0.0995023,0.067656,1.09168,0.755155,false
instance_has_unmatched_keys,true,1900,4004,0.0591908,0.140859,0.0995023,0.067656,0.594869,2.08199,false
instance_matching_pattern_keys_count_bucket,0,4572,20720,0.103282,0.0539093,0.0995023,0.067656,1.03799,0.796814,false
instance_matching_pattern_keys_count_bucket,1,49,119,0.0588235,0.302521,0.0995023,0.067656,0.591178,4.47146,false
instance_matching_pattern_keys_count_bucket,2,82,236,0.0423729,0.377119,0.0995023,0.067656,0.425848,5.57406,false
instance_matching_pattern_keys_count_bucket,3,81,236,0.00423729,0.355932,0.0995023,0.067656,0.0425848,5.26091,false
instance_matching_pattern_keys_count_bucket,4-5,74,198,0.00505051,0.383838,0.0995023,0.067656,0.0507577,5.67338,false
instance_matching_pattern_keys_count_bucket,6+,51,189,0,0.349206,0.0995023,0.067656,0,5.1615,false
patternProperties_regex_has_alternation,false,4739,21539,0.100005,0.0656019,0.0995023,0.067656,1.00505,0.969639,false
patternProperties_regex_has_alternation,true,33,159,0.0314465,0.345912,0.0995023,0.067656,0.316038,5.1128,false
patternProperties_regex_has_anchor,false,4558,20615,0.102256,0.0552025,0.0995023,0.067656,1.02767,0.815929,false
patternProperties_regex_has_anchor,true,214,1083,0.0470914,0.304709,0.0995023,0.067656,0.47327,4.5038,false
patternProperties_regex_has_charclass,false,4601,20844,0.101852,0.0576665,0.0995023,0.067656,1.02361,0.852348,false
patternProperties_regex_has_charclass,true,171,854,0.0421546,0.311475,0.0995023,0.067656,0.423654,4.60381,false
patternProperties_regex_has_dotstar,false,4707,21377,0.100529,0.0638069,0.0995023,0.067656,1.01031,0.943108,false
patternProperties_regex_has_dotstar,true,65,321,0.0311526,0.323988,0.0995023,0.067656,0.313085,4.78875,false
patternProperties_with_properties,false,4699,21314,0.10045,0.0636202,0.0995023,0.067656,1.00953,0.940348,false
patternProperties_with_properties,true,73,384,0.046875,0.291667,0.0995023,0.067656,0.471095,4.31102,false
