context_family,context_feature,context_value,schema_id,test_id,test_index,expected_validity,outlines_result,failure_type,important_feature_values,schema_path,instance_preview
numeric,numeric_boundary_case,multiple_violation,Github_easy---o17460.json,Github_easy---o17460.json::test_00003,3,invalid,accepted,UNDER,numeric_boundary_case=multiple_violation; numeric_target_type=number; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o17460.json,"{""amount"": 10.001}"
numeric,numeric_boundary_case,multiple_violation,Github_easy---o46410.json,Github_easy---o46410.json::test_00001,1,invalid,accepted,UNDER,numeric_boundary_case=multiple_violation; numeric_target_type=number; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o46410.json,"{""taxedUkInterest"": 1230.55, ""untaxedUkInterest"": 500.234}"
numeric,numeric_boundary_case,multiple_violation,Github_easy---o46410.json,Github_easy---o46410.json::test_00003,3,invalid,accepted,UNDER,numeric_boundary_case=multiple_violation; numeric_target_type=number; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o46410.json,"{""taxedUkInterest"": 99999999999.995, ""untaxedUkInterest"": 500.23}"
numeric,numeric_boundary_case,multiple_violation,Github_easy---o53900.json,Github_easy---o53900.json::test_00002,2,invalid,rejected,CORRECT_INVALID,numeric_boundary_case=multiple_violation; numeric_target_type=number; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=true; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o53900.json,"{""config"": {""key"": ""value""}, ""configId"": ""example-config-id"", ""extra"": ""extra"", ""id"": 1.5}"
numeric,numeric_boundary_case,multiple_violation,Github_easy---o8438.json,Github_easy---o8438.json::test_00005,5,invalid,rejected,CORRECT_INVALID,numeric_boundary_case=multiple_violation; numeric_target_type=integer; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o8438.json,"{""ID"": ""ABC123"", ""age"": 101, ""grades"": [80, 90, 70, 85], ""item"": ""Apple""}"
numeric,numeric_boundary_case,multiple_violation,Github_hard---o64002.json,Github_hard---o64002.json::test_00002,2,invalid,rejected,CORRECT_INVALID,numeric_boundary_case=multiple_violation; numeric_target_type=number; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=true; instance_matching_pattern_keys_count_bucket=0; combinator_type=oneOf; combinator_branch_count_bucket=3; oneOf_satisfied_branch_count_bucket=1; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_hard---o64002.json,"{""description"": ""This is an example collection"", ""folders"": [{""collection"": ""123e4567-e89b-12d3-a456-426614174000"", ""description"": ""This is an example folder"", ""id"": ""123e4567-e89b-12d3-a456-426614174001"", ""name"": ""Example Folder"", ""order"": [""123e4567-e89b-..."
not,not_parent_keyword,properties,Github_hard---o90970.json,Github_hard---o90970.json::test_00002,2,invalid,accepted,UNDER,not_parent_keyword=properties; numeric_boundary_case=not_applicable; numeric_target_type=integer; numeric_parent_keyword=mixed; additionalProperties_value=schema; instance_has_unmatched_keys=true; instance_matching_pattern_keys_count_bucket=0; combinator_type=mixed; combinator_branch_count_bucket=6+; oneOf_satisfied_branch_count_bucket=1; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_hard---o90970.json,"{""$schema"": ""https://gitlab.com/.gitlab-ci.yml"", ""after_script"": [""echo 'After script'""], ""before_script"": [""echo 'Before script'""], ""build"": {""retry"": {""max"": 5, ""when"": [""always""]}, ""script"": [""echo 'Building'""], ""stage"": ""build""}, ""cache"": {""key"": ""$CI_C..."
not,not_parent_keyword,properties,Github_hard---o90970.json,Github_hard---o90970.json::test_00003,3,invalid,accepted,UNDER,not_parent_keyword=properties; numeric_boundary_case=not_applicable; numeric_target_type=integer; numeric_parent_keyword=mixed; additionalProperties_value=schema; instance_has_unmatched_keys=true; instance_matching_pattern_keys_count_bucket=2; combinator_type=mixed; combinator_branch_count_bucket=6+; oneOf_satisfied_branch_count_bucket=1; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_hard---o90970.json,"{""$schema"": ""https://gitlab.com/.gitlab-ci.yml"", "".anotherInvalidJob"": {""script"": [""echo 'Script 1'"", ""echo 'Script 2'""], ""stage"": 123, ""variables"": ""wrong type, should be an object""}, "".invalidJob"": {""script"": {""wrongType"": ""script should be an array of st..."
not,not_parent_keyword,properties,Github_hard---o90970.json,Github_hard---o90970.json::test_00004,4,invalid,accepted,UNDER,not_parent_keyword=properties; numeric_boundary_case=not_applicable; numeric_target_type=integer; numeric_parent_keyword=mixed; additionalProperties_value=schema; instance_has_unmatched_keys=true; instance_matching_pattern_keys_count_bucket=0; combinator_type=mixed; combinator_branch_count_bucket=6+; oneOf_satisfied_branch_count_bucket=1; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_hard---o90970.json,"{""$schema"": ""https://gitlab.com/.gitlab-ci.yml"", ""after_script"": [""echo 'After script'""], ""before_script"": [""echo 'Before script'""], ""build"": {""script"": [""echo 'Building'""], ""stage"": ""build""}, ""cache"": {""extra_property"": ""invalid"", ""key"": ""$CI_COMMIT_REF_SL..."
not,not_parent_keyword,properties,Github_easy---o83707.json,Github_easy---o83707.json::test_00002,2,invalid,rejected,CORRECT_INVALID,not_parent_keyword=properties; numeric_boundary_case=below_min; numeric_target_type=integer; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o83707.json,"{""age"": 5, ""league"": ""youth"", ""name"": ""Wildcats""}"
