context_family,context_feature,context_value,support_invalid_tests,support_schemas,under_count,under_rate_invalid_only,baseline_under_rate_invalid_only,under_lift_invalid_only,low_support
combinators,allOf_satisfied_branch_count_bucket,0,13877,4409,2002,0.144267,0.152375,0.946793,false
combinators,allOf_satisfied_branch_count_bucket,1,163,49,76,0.466258,0.152375,3.05994,false
combinators,allOf_satisfied_branch_count_bucket,2,97,36,66,0.680412,0.152375,4.46538,false
combinators,allOf_satisfied_branch_count_bucket,3,13,8,5,0.384615,0.152375,2.52414,true
combinators,allOf_satisfied_branch_count_bucket,4-5,18,4,10,0.555556,0.152375,3.64598,true
combinators,allOf_satisfied_branch_count_bucket,6+,1,1,0,0,0.152375,0,true
combinators,allOf_satisfied_branch_ratio,0,13877,4409,2002,0.144267,0.152375,0.946793,false
combinators,allOf_satisfied_branch_ratio,0.333333,2,2,1,0.5,0.152375,3.28138,true
combinators,allOf_satisfied_branch_ratio,0.5,94,32,59,0.62766,0.152375,4.11918,false
combinators,allOf_satisfied_branch_ratio,0.666667,19,10,17,0.894737,0.152375,5.87194,true
combinators,allOf_satisfied_branch_ratio,0.75,3,3,1,0.333333,0.152375,2.18759,true
combinators,allOf_satisfied_branch_ratio,0.8,1,1,1,1,0.152375,6.56276,true
combinators,allOf_satisfied_branch_ratio,0.833333,1,1,1,1,0.152375,6.56276,true
combinators,allOf_satisfied_branch_ratio,1,172,51,77,0.447674,0.152375,2.93798,false
combinators,anyOf_satisfied_branch_count,0,13379,4364,1967,0.147021,0.152375,0.964867,false
combinators,anyOf_satisfied_branch_count,1,660,144,136,0.206061,0.152375,1.35233,false
combinators,anyOf_satisfied_branch_count,2,106,37,48,0.45283,0.152375,2.97182,false
combinators,anyOf_satisfied_branch_count,3,4,3,2,0.5,0.152375,3.28138,true
combinators,anyOf_satisfied_branch_count,4,5,1,0,0,0.152375,0,true
combinators,anyOf_satisfied_branch_count,5,9,4,0,0,0.152375,0,true
combinators,anyOf_satisfied_branch_count,8,6,1,6,1,0.152375,6.56276,true
combinators,anyOf_satisfied_branch_count_bucket,0,13379,4364,1967,0.147021,0.152375,0.964867,false
combinators,anyOf_satisfied_branch_count_bucket,1,660,144,136,0.206061,0.152375,1.35233,false
combinators,anyOf_satisfied_branch_count_bucket,2,106,37,48,0.45283,0.152375,2.97182,false
combinators,anyOf_satisfied_branch_count_bucket,3,4,3,2,0.5,0.152375,3.28138,true
combinators,anyOf_satisfied_branch_count_bucket,4-5,14,5,0,0,0.152375,0,true
combinators,anyOf_satisfied_branch_count_bucket,6+,6,1,6,1,0.152375,6.56276,true
combinators,branches_conflicting_types,false,14169,4464,2159,0.152375,0.152375,1,false
combinators,branches_have_enum,false,13566,4300,2019,0.148828,0.152375,0.976722,false
combinators,branches_have_enum,true,603,164,140,0.232172,0.152375,1.52369,false
combinators,branches_have_not,false,14044,4438,2102,0.149672,0.152375,0.982265,false
combinators,branches_have_not,true,125,26,57,0.456,0.152375,2.99262,false
combinators,branches_have_properties,false,12934,4141,1908,0.147518,0.152375,0.968126,false
combinators,branches_have_properties,true,1235,323,251,0.203239,0.152375,1.33381,false
combinators,branches_have_required,false,13003,4170,1765,0.135738,0.152375,0.890815,false
combinators,branches_have_required,true,1166,294,394,0.337907,0.152375,2.21761,false
combinators,branches_overlapping_properties,false,13706,4351,2070,0.151029,0.152375,0.991165,false
combinators,branches_overlapping_properties,true,463,113,89,0.192225,0.152375,1.26152,false
combinators,combinator_branch_count_bucket,0,11037,3670,1566,0.141886,0.152375,0.931166,false
combinators,combinator_branch_count_bucket,1,192,43,28,0.145833,0.152375,0.957069,false
combinators,combinator_branch_count_bucket,2,1612,450,328,0.203474,0.152375,1.33535,false
combinators,combinator_branch_count_bucket,3,502,132,108,0.215139,0.152375,1.41191,false
combinators,combinator_branch_count_bucket,4-5,540,91,56,0.103704,0.152375,0.680583,false
combinators,combinator_branch_count_bucket,6+,286,78,73,0.255245,0.152375,1.67511,false
combinators,combinator_type,absent,11037,3670,1566,0.141886,0.152375,0.931166,false
combinators,combinator_type,allOf,188,45,67,0.356383,0.152375,2.33886,false
combinators,combinator_type,anyOf,1357,275,184,0.135593,0.152375,0.889866,false
combinators,combinator_type,mixed,685,159,232,0.338686,0.152375,2.22272,false
combinators,combinator_type,oneOf,902,315,110,0.121951,0.152375,0.800337,false
combinators,oneOf_satisfied_branch_count,0,13640,4321,2036,0.149267,0.152375,0.979603,false
combinators,oneOf_satisfied_branch_count,1,482,196,94,0.195021,0.152375,1.27987,false
combinators,oneOf_satisfied_branch_count,2,47,36,29,0.617021,0.152375,4.04936,false
combinators,oneOf_satisfied_branch_count_bucket,0,13640,4321,2036,0.149267,0.152375,0.979603,false
combinators,oneOf_satisfied_branch_count_bucket,1,482,196,94,0.195021,0.152375,1.27987,false
combinators,oneOf_satisfied_branch_count_bucket,2,47,36,29,0.617021,0.152375,4.04936,false
not,instance_satisfies_not_subschema,false,67,19,23,0.343284,0.152375,2.25289,false
not,instance_satisfies_not_subschema,true,46,22,23,0.5,0.152375,3.28138,false
not,instance_satisfies_not_subschema,unknown,14056,4436,2113,0.150327,0.152375,0.986562,false
not,not_contains_const,false,14152,4462,2151,0.151993,0.152375,0.997491,false
not,not_contains_const,true,17,2,8,0.470588,0.152375,3.08836,true
not,not_contains_enum,false,14136,4454,2144,0.151669,0.152375,0.995371,false
not,not_contains_enum,true,33,10,15,0.454545,0.152375,2.98307,false
not,not_contains_pattern,false,14151,4461,2143,0.151438,0.152375,0.993852,false
not,not_contains_pattern,true,18,3,16,0.888889,0.152375,5.83356,true
not,not_contains_properties,false,14149,4460,2149,0.151884,0.152375,0.996775,false
not,not_contains_properties,true,20,4,10,0.5,0.152375,3.28138,true
not,not_contains_required,false,14043,4439,2121,0.151036,0.152375,0.991214,false
not,not_contains_required,true,126,25,38,0.301587,0.152375,1.97925,false
not,not_parent_keyword,$defs,10,3,4,0.4,0.152375,2.6251,true
not,not_parent_keyword,absent,13937,4412,2059,0.147736,0.152375,0.969558,false
not,not_parent_keyword,additionalProperties,2,1,2,1,0.152375,6.56276,true
not,not_parent_keyword,allOf,13,4,6,0.461538,0.152375,3.02897,true
not,not_parent_keyword,anyOf,26,5,11,0.423077,0.152375,2.77655,true
not,not_parent_keyword,if,9,1,0,0,0.152375,0,true
not,not_parent_keyword,items,2,1,0,0,0.152375,0,true
not,not_parent_keyword,mixed,23,3,15,0.652174,0.152375,4.28006,true
not,not_parent_keyword,oneOf,20,5,5,0.25,0.152375,1.64069,true
not,not_parent_keyword,other,7,1,5,0.714286,0.152375,4.68769,true
not,not_parent_keyword,patternProperties,3,1,0,0,0.152375,0,true
not,not_parent_keyword,properties,63,17,43,0.68254,0.152375,4.47934,false
not,not_parent_keyword,root,49,9,9,0.183673,0.152375,1.2054,true
not,not_parent_keyword,then,5,1,0,0,0.152375,0,true
not,not_target_type,absent,14129,4452,2142,0.151603,0.152375,0.994935,false
not,not_target_type,array,2,1,2,1,0.152375,6.56276,true
not,not_target_type,mixed,20,4,13,0.65,0.152375,4.26579,true
not,not_target_type,number,7,2,2,0.285714,0.152375,1.87507,true
not,not_target_type,object,8,4,0,0,0.152375,0,true
not,not_target_type,string,3,1,0,0,0.152375,0,true
numeric,numeric_boundary_case,above_max,309,158,97,0.313916,0.152375,2.06015,false
numeric,numeric_boundary_case,below_min,1211,461,420,0.346821,0.152375,2.2761,false
numeric,numeric_boundary_case,equal_max,19,10,4,0.210526,0.152375,1.38163,true
numeric,numeric_boundary_case,equal_min,262,99,59,0.225191,0.152375,1.47787,false
numeric,numeric_boundary_case,inside_range,518,201,107,0.206564,0.152375,1.35563,false
numeric,numeric_boundary_case,multiple_ok,35,15,9,0.257143,0.152375,1.68757,false
numeric,numeric_boundary_case,multiple_violation,36,25,27,0.75,0.152375,4.92207,false
numeric,numeric_boundary_case,not_applicable,11779,3965,1436,0.121912,0.152375,0.800078,false
numeric,numeric_has_default,false,13285,4254,1783,0.134212,0.152375,0.880798,false
numeric,numeric_has_default,true,884,210,376,0.425339,0.152375,2.7914,false
numeric,numeric_has_min_and_max,false,12799,4170,1809,0.141339,0.152375,0.927575,false
numeric,numeric_has_min_and_max,true,1370,294,350,0.255474,0.152375,1.67662,false
numeric,numeric_is_in_properties,false,11181,3790,1310,0.117163,0.152375,0.768913,false
numeric,numeric_is_in_properties,true,2988,674,849,0.284137,0.152375,1.86472,false
numeric,numeric_parent_keyword,$defs,98,21,15,0.153061,0.152375,1.0045,false
numeric,numeric_parent_keyword,absent,10944,3738,1279,0.116868,0.152375,0.766975,false
