feature,n_schemas,n_completed_tests,under_rate,over_rate,correct_rate,timeout_rate
has_if_then_else,5,37,0.266667,0.857143,0.621622,0
has_patternProperties,122,645,0.0927152,0.875,0.674419,0.0983607
has_exclusiveMinimum,5,29,0,0.875,0.758621,0
has_const,10,76,0.266667,0.5625,0.671053,0
has_not,17,118,0.344086,0.48,0.627119,0.0588235
has_propertyNames,8,57,0.288889,0.5,0.666667,0
has_multipleOf,12,72,0.288462,0.45,0.666667,0.0833333
has_allOf,53,331,0.263158,0.428571,0.694864,0.0188679
has_minProperties,24,158,0.135593,0.525,0.765823,0
has_maximum,135,743,0.199637,0.458333,0.733513,0.177778
has_oneOf,173,844,0.119929,0.527076,0.746445,0.0751445
has_maxLength,97,426,0.264798,0.380952,0.706573,0.391753
has_minimum,218,1284,0.205021,0.402439,0.744548,0.123853
has_minLength,140,707,0.173077,0.427807,0.759547,0.25
has_maxProperties,11,78,0.189655,0.4,0.75641,0
has_minItems,188,1117,0.254831,0.32526,0.726947,0.117021
has_ref,345,2019,0.162646,0.40669,0.768697,0.026087
has_defs,362,2113,0.162698,0.404326,0.768575,0.0248619
has_maxItems,69,325,0.283401,0.269231,0.72,0.347826
has_anyOf,192,1341,0.112403,0.420712,0.816555,0
has_exclusiveMaximum,1,6,0.5,0,0.666667,0
has_required,749,3938,0.150054,0.328732,0.797359,0.0614152
many_required,633,3378,0.143747,0.325438,0.804026,0.0616114
large_enum,324,1620,0.143478,0.314894,0.80679,0.0925926
has_items,678,3719,0.138462,0.319734,0.810164,0.0678466
deep_schema,487,2509,0.121315,0.332886,0.815863,0.0554415
has_additionalProperties,524,3010,0.119624,0.33419,0.824917,0.0801527
many_properties,886,4511,0.141525,0.308131,0.806695,0.0575621
has_properties,888,4517,0.141434,0.307255,0.806952,0.0574324
has_type,888,4517,0.141434,0.307255,0.806952,0.0574324
has_enum,576,2993,0.12778,0.318182,0.816238,0.0625
has_boolean_schema,502,2893,0.122563,0.313938,0.828552,0.0836653
has_pattern,340,2001,0.112331,0.30531,0.844078,0.126471
has_default,378,2022,0.129979,0.270728,0.828882,0.0291005
has_content,1,4,0,0,1,0
