feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
has_patternProperties,122,766,168,264,192,1214,0.875,0.217463,4.02367,0.657537,0.137387,0.307255,true
has_oneOf,173,715,146,286,277,1129,0.527076,0.253322,2.08066,0.273754,0.19482,0.307255,true
has_minProperties,24,864,21,411,40,1366,0.525,0.300878,1.74489,0.224122,0.027027,0.307255,true
has_defs,362,526,243,189,601,805,0.404326,0.234783,1.72213,0.169544,0.407658,0.307255,true
has_ref,345,543,231,201,568,838,0.40669,0.239857,1.69555,0.166833,0.388514,0.307255,true
has_maximum,135,753,88,344,192,1214,0.458333,0.283361,1.61749,0.174973,0.152027,0.307255,true
has_required,749,139,381,51,1159,247,0.328732,0.206478,1.59209,0.122254,0.843468,0.307255,true
has_not,17,871,12,420,25,1381,0.48,0.304127,1.57829,0.175873,0.0191441,0.307255,true
has_anyOf,192,696,130,302,309,1097,0.420712,0.275296,1.52822,0.145416,0.216216,0.307255,true
has_minLength,140,748,80,352,187,1219,0.427807,0.288761,1.48153,0.139046,0.157658,0.307255,true
has_multipleOf,12,876,9,423,20,1386,0.45,0.305195,1.47447,0.144805,0.0135135,0.307255,true
has_minimum,218,670,132,300,328,1078,0.402439,0.278293,1.4461,0.124146,0.245495,0.307255,true
has_allOf,53,835,36,396,84,1322,0.428571,0.299546,1.43074,0.129025,0.0596847,0.307255,true
has_maxProperties,11,877,8,424,20,1386,0.4,0.305916,1.30755,0.0940837,0.0123874,0.307255,true
has_maxLength,97,791,40,392,105,1301,0.380952,0.301307,1.26433,0.0796457,0.109234,0.307255,true
many_required,633,255,316,116,971,435,0.325438,0.266667,1.22039,0.058771,0.712838,0.307255,true
has_additionalProperties,524,364,260,172,778,628,0.33419,0.273885,1.22018,0.0603049,0.59009,0.307255,true
deep_schema,487,401,248,184,745,661,0.332886,0.278366,1.19586,0.0545198,0.548423,0.307255,true
has_items,678,210,337,95,1054,352,0.319734,0.269886,1.1847,0.049848,0.763514,0.307255,true
has_enum,576,312,280,152,880,526,0.318182,0.288973,1.10108,0.0292084,0.648649,0.307255,true
has_minItems,188,700,94,338,289,1117,0.32526,0.302596,1.0749,0.0226633,0.211712,0.307255,true
has_boolean_schema,502,386,232,200,739,667,0.313938,0.29985,1.04698,0.0140877,0.565315,0.307255,true
large_enum,324,564,148,284,470,936,0.314894,0.303419,1.03782,0.0114748,0.364865,0.307255,true
has_pattern,340,548,138,294,452,954,0.30531,0.308176,0.990699,-0.00286637,0.382883,0.307255,true
has_maxItems,69,819,21,411,78,1328,0.269231,0.309488,0.869923,-0.0402572,0.0777027,0.307255,true
has_default,378,510,160,272,591,815,0.270728,0.333742,0.811187,-0.0630148,0.425676,0.307255,true
many_properties,886,2,432,0,1402,4,0.308131,0,inf,0.308131,0.997748,0.307255,false
has_properties,888,0,432,0,1406,0,0.307255,0,inf,0.307255,1,0.307255,false
has_type,888,0,432,0,1406,0,0.307255,0,inf,0.307255,1,0.307255,false
has_exclusiveMinimum,5,883,7,425,8,1398,0.875,0.304006,2.87824,0.570994,0.00563063,0.307255,false
has_if_then_else,5,883,6,426,7,1399,0.857143,0.304503,2.81489,0.55264,0.00563063,0.307255,false
has_const,10,878,9,423,16,1390,0.5625,0.304317,1.8484,0.258183,0.0112613,0.307255,false
has_propertyNames,8,880,6,426,12,1394,0.5,0.305595,1.63615,0.194405,0.00900901,0.307255,false
has_content,1,887,0,432,2,1404,0,0.307692,0,-0.307692,0.00112613,0.307255,false
has_exclusiveMaximum,1,887,0,432,2,1404,0,0.307692,0,-0.307692,0.00112613,0.307255,false
