feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_properties + has_type,has_properties__AND__has_type,has_properties,has_type,888,1,3,3.05003e+06,inf,0.0574324,inf,0.141434,inf,0.307255,1,1,1,1,368,51,216,267
[P] has_maxLength + has_properties,has_maxLength__AND__has_properties,has_maxLength,has_properties,97,0.109234,3,3.02387e+06,23.8366,0.375318,2.08108,0.137557,1.26433,0.0796457,0.0244565,0.745098,0.125,0.0861423,368,51,216,267
[P] has_maxLength + has_type,has_maxLength__AND__has_type,has_maxLength,has_type,97,0.109234,3,3.02387e+06,23.8366,0.375318,2.08108,0.137557,1.26433,0.0796457,0.0244565,0.745098,0.125,0.0861423,368,51,216,267
[P] has_maxLength + has_minLength,has_maxLength__AND__has_minLength,has_maxLength,has_minLength,70,0.0788288,3,3.02342e+06,23.3714,0.464932,1.19146,0.0267827,1.67581,0.201637,0.0163043,0.666667,0.0555556,0.0674157,368,51,216,267
[P] has_enum + has_maxLength,has_enum__AND__has_maxLength,has_enum,has_maxLength,84,0.0945946,3,3.01918e+06,19.1429,0.383618,2.11905,0.144025,1.16978,0.0516042,0.0217391,0.666667,0.111111,0.0674157,368,51,216,267
[P] has_maxLength + has_pattern,has_maxLength__AND__has_pattern,has_maxLength,has_pattern,67,0.0754505,3,3.01904e+06,18.9933,0.438326,1.42918,0.0591256,1.64798,0.193478,0.0163043,0.607843,0.0555556,0.0674157,368,51,216,267
[P] has_items + has_maxLength,has_items__AND__has_maxLength,has_items,has_maxLength,82,0.0923423,3,3.01806e+06,18.0203,0.380107,2.28261,0.162871,1.15979,0.0486263,0.0163043,0.647059,0.115741,0.0674157,368,51,216,267
[P] has_maxLength + has_required,has_maxLength__AND__has_required,has_maxLength,has_required,92,0.103604,3,3.01734e+06,17.3043,0.348208,2.03486,0.132323,1.27747,0.0835401,0.0244565,0.666667,0.12037,0.0861423,368,51,216,267
[P] has_boolean_schema + has_maxLength,has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,75,0.0844595,3,3.01684e+06,16.802,0.388733,2.014,0.132091,1.23694,0.0718326,0.0190217,0.607843,0.0925926,0.0636704,368,51,216,267
[P] has_additionalProperties + has_maxLength,has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,77,0.0867117,3,3.01636e+06,16.3253,0.377936,1.96674,0.126037,1.31833,0.0960031,0.0190217,0.607843,0.0925926,0.071161,368,51,216,267
[P] has_maxLength + has_maximum,has_maxLength__AND__has_maximum,has_maxLength,has_maximum,56,0.0630631,3,3.01325e+06,13.2063,0.39612,1.83858,0.112825,1.31805,0.0965211,0.013587,0.470588,0.0648148,0.0486891,368,51,216,267
[P] has_minLength + has_pattern,has_minLength__AND__has_pattern,has_minLength,has_pattern,79,0.088964,3,3.0125e+06,12.4667,0.326,1.4003,0.0545925,1.74154,0.217737,0.0190217,0.54902,0.0787037,0.101124,368,51,216,267
[P] has_minLength + has_properties,has_minLength__AND__has_properties,has_minLength,has_properties,140,0.157658,3,3.01171e+06,11.6875,0.22861,1.28126,0.0379939,1.48153,0.139046,0.0434783,0.686275,0.208333,0.168539,368,51,216,267
[P] has_minLength + has_type,has_minLength__AND__has_type,has_minLength,has_type,140,0.157658,3,3.01171e+06,11.6875,0.22861,1.28126,0.0379939,1.48153,0.139046,0.0434783,0.686275,0.208333,0.168539,368,51,216,267
[P] has_maxLength + has_patternProperties,has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,23,0.0259009,3,3.01162e+06,11.5719,0.476652,2.50657,0.207258,2.37239,0.413203,0,0.235294,0.0138889,0.0299625,368,51,216,267
[P] has_minLength + has_required,has_minLength__AND__has_required,has_minLength,has_required,134,0.150901,3,3.0095e+06,9.47683,0.213607,1.34326,0.0460389,1.53817,0.154642,0.0380435,0.627451,0.203704,0.168539,368,51,216,267
[P] has_items + has_minLength,has_items__AND__has_minLength,has_items,has_minLength,125,0.140766,3,3.00948e+06,9.4612,0.221788,1.36169,0.0484993,1.45438,0.132542,0.0353261,0.607843,0.194444,0.149813,368,51,216,267
[P] has_default + has_maxLength,has_default__AND__has_maxLength,has_default,has_maxLength,31,0.0349099,3,3.00677e+06,6.74272,0.274739,1.18471,0.0259848,1.70152,0.211431,0.0108696,0.196078,0.0277778,0.0411985,368,51,216,267
[P] has_additionalProperties + has_maximum,has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,94,0.105856,3,3.00643e+06,6.40792,0.197519,1.31372,0.0427335,1.71723,0.207163,0.048913,0.431373,0.0925926,0.127341,368,51,216,267
[P] has_boolean_schema + has_maximum,has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,94,0.105856,3,3.00643e+06,6.40792,0.197519,1.31372,0.0427335,1.71723,0.207163,0.048913,0.431373,0.0925926,0.127341,368,51,216,267
