feature_pair,feature_a,feature_b,n_schemas,support,timeout_rate,under_rate,over_rate
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,30,0.0337838,0.733333,0.275,0.352941
has_maxItems__AND__has_patternProperties,has_maxItems,has_patternProperties,16,0.018018,0.5625,0.047619,0.7
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,41,0.0461712,0.560976,0.386555,0.222222
has_maxItems__AND__has_pattern,has_maxItems,has_pattern,42,0.0472973,0.547619,0.155963,0.3125
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,21,0.0236486,0.52381,0.210526,0.705882
has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,23,0.0259009,0.521739,0.344828,0.714286
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,70,0.0788288,0.485714,0.166667,0.5
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,67,0.0754505,0.462687,0.196891,0.492063
has_maximum__AND__has_minLength,has_maximum,has_minLength,51,0.0574324,0.45098,0.0892857,0.733333
has_maxItems__AND__has_maximum,has_maxItems,has_maximum,37,0.0416667,0.432432,0.34375,0.263158
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,56,0.0630631,0.428571,0.247368,0.4
has_maxItems__AND__has_oneOf,has_maxItems,has_oneOf,26,0.0292793,0.423077,0.135135,0.380952
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,75,0.0844595,0.413333,0.262357,0.375
has_enum__AND__has_maxLength,has_enum,has_maxLength,84,0.0945946,0.404762,0.272727,0.355556
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,77,0.0867117,0.402597,0.25641,0.39759
has_items__AND__has_maxLength,has_items,has_maxLength,82,0.0923423,0.402439,0.289855,0.352941
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,68,0.0765766,0.397059,0.248996,0.338028
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,56,0.0630631,0.392857,0.258373,0.254237
has_maxLength__AND__has_properties,has_maxLength,has_properties,97,0.109234,0.391753,0.264798,0.380952
has_maxLength__AND__has_type,has_maxLength,has_type,97,0.109234,0.391753,0.264798,0.380952
has_maxItems__AND__has_minimum,has_maxItems,has_minimum,46,0.0518018,0.391304,0.327381,0.265306
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,57,0.0641892,0.385965,0.256881,0.25
has_enum__AND__has_maxItems,has_enum,has_maxItems,62,0.0698198,0.370968,0.290476,0.279412
has_maxLength__AND__has_required,has_maxLength,has_required,92,0.103604,0.369565,0.260188,0.384615
has_minLength__AND__has_minimum,has_minLength,has_minimum,69,0.0777027,0.362319,0.130597,0.546667
has_minLength__AND__has_pattern,has_minLength,has_pattern,79,0.088964,0.35443,0.190972,0.511364
has_items__AND__has_maxItems,has_items,has_maxItems,69,0.0777027,0.347826,0.283401,0.269231
has_maxItems__AND__has_properties,has_maxItems,has_properties,69,0.0777027,0.347826,0.283401,0.269231
has_maxItems__AND__has_type,has_maxItems,has_type,69,0.0777027,0.347826,0.283401,0.269231
has_maxItems__AND__has_required,has_maxItems,has_required,68,0.0765766,0.338235,0.283401,0.269231
has_maximum__AND__has_pattern,has_maximum,has_pattern,63,0.0709459,0.333333,0.142857,0.583333
has_default__AND__has_maxLength,has_default,has_maxLength,31,0.0349099,0.322581,0.166667,0.512821
has_default__AND__has_maxItems,has_default,has_maxItems,16,0.018018,0.3125,0.229167,0.428571
has_enum__AND__has_minLength,has_enum,has_minLength,100,0.112613,0.31,0.140884,0.44
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,97,0.109234,0.309278,0.146006,0.529412
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,98,0.11036,0.306122,0.145553,0.53719
has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,39,0.0439189,0.282051,0.0943396,0.884615
has_maxLength__AND__has_minItems,has_maxLength,has_minItems,37,0.0416667,0.27027,0.369565,0.211538
has_minLength__AND__has_oneOf,has_minLength,has_oneOf,38,0.0427928,0.263158,0.111111,0.673469
has_minLength__AND__has_properties,has_minLength,has_properties,140,0.157658,0.25,0.173077,0.427807
has_minLength__AND__has_type,has_minLength,has_type,140,0.157658,0.25,0.173077,0.427807
has_allOf__AND__has_maxItems,has_allOf,has_maxItems,4,0.0045045,0.25,0.0625,0.666667
has_maxLength__AND__has_multipleOf,has_maxLength,has_multipleOf,4,0.0045045,0.25,0.235294,0.333333
has_items__AND__has_minLength,has_items,has_minLength,125,0.140766,0.248,0.18259,0.424242
has_minimum__AND__has_pattern,has_minimum,has_pattern,89,0.100225,0.247191,0.137662,0.473684
has_minLength__AND__has_required,has_minLength,has_required,134,0.150901,0.238806,0.180162,0.441989
has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,94,0.105856,0.234043,0.178947,0.496
has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,94,0.105856,0.234043,0.178947,0.496
has_minItems__AND__has_pattern,has_minItems,has_pattern,88,0.0990991,0.227273,0.229282,0.309091
has_maximum__AND__has_oneOf,has_maximum,has_oneOf,37,0.0416667,0.216216,0.112,0.75
has_items__AND__has_maximum,has_items,has_maximum,101,0.113739,0.207921,0.216783,0.449275
has_enum__AND__has_maximum,has_enum,has_maximum,111,0.125,0.207207,0.207373,0.467105
has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,58,0.0653153,0.206897,0.131579,0.846154
has_maximum__AND__has_multipleOf,has_maximum,has_multipleOf,5,0.00563063,0.2,0.26087,0.5
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,52,0.0585586,0.192308,0.290598,0.246575
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,135,0.152027,0.185185,0.169205,0.46114
has_maximum__AND__has_required,has_maximum,has_required,131,0.147523,0.183206,0.204545,0.461957
has_maximum__AND__has_patternProperties,has_maximum,has_patternProperties,39,0.0439189,0.179487,0.0733333,0.901639
has_maximum__AND__has_minimum,has_maximum,has_minimum,134,0.150901,0.179104,0.197441,0.463158
has_maximum__AND__has_properties,has_maximum,has_properties,135,0.152027,0.177778,0.199637,0.458333
has_maximum__AND__has_type,has_maximum,has_type,135,0.152027,0.177778,0.199637,0.458333
has_default__AND__has_minLength,has_default,has_minLength,45,0.0506757,0.177778,0.225131,0.333333
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,142,0.15991,0.176056,0.162975,0.480392
has_minItems__AND__has_minLength,has_minItems,has_minLength,66,0.0743243,0.166667,0.224806,0.368932
has_minItems__AND__has_not,has_minItems,has_not,6,0.00675676,0.166667,0.533333,0.375
has_minLength__AND__has_multipleOf,has_minLength,has_multipleOf,6,0.00675676,0.166667,0.275862,0.4
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,76,0.0855856,0.157895,0.137809,0.420561
has_enum__AND__has_minimum,has_enum,has_minimum,156,0.175676,0.153846,0.191424,0.472103
has_minimum__AND__has_oneOf,has_minimum,has_oneOf,60,0.0675676,0.15,0.0985915,0.677419
has_items__AND__has_minimum,has_items,has_minimum,163,0.183559,0.147239,0.201094,0.417355
has_maximum__AND__has_minItems,has_maximum,has_minItems,41,0.0461712,0.146341,0.328704,0.328125
has_enum__AND__has_patternProperties,has_enum,has_patternProperties,85,0.0957207,0.141176,0.103774,0.84252
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,128,0.144144,0.140625,0.233279,0.308511
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,265,0.298423,0.139623,0.096563,0.265672
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,269,0.302928,0.137546,0.095429,0.276471
has_minimum__AND__has_patternProperties,has_minimum,has_patternProperties,51,0.0574324,0.137255,0.0853081,0.879518
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,132,0.148649,0.136364,0.228707,0.333333
has_minimum__AND__has_required,has_minimum,has_required,207,0.233108,0.130435,0.209821,0.399351
has_items__AND__has_pattern,has_items,has_pattern,309,0.347973,0.12945,0.109065,0.277916
has_pattern__AND__has_properties,has_pattern,has_properties,340,0.382883,0.126471,0.112331,0.30531
