feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_anyOf__AND__has_maxLength,has_anyOf,has_maxLength,5,883,0.00563063,20,420,27,3084,0.740741,0.136187,5.43915,0.604554,true
has_anyOf__AND__has_not,has_anyOf,has_not,8,880,0.00900901,31,409,47,3064,0.659574,0.133486,4.94116,0.526089,true
has_default__AND__has_not,has_default,has_not,8,880,0.00900901,24,416,44,3067,0.545455,0.135637,4.02142,0.409817,true
has_minItems__AND__has_not,has_minItems,has_not,6,882,0.00675676,16,424,30,3081,0.533333,0.137618,3.87547,0.395716,true
has_maxLength__AND__has_not,has_maxLength,has_not,5,883,0.00563063,13,427,25,3086,0.52,0.138367,3.75813,0.381633,true
has_enum__AND__has_not,has_enum,has_not,11,877,0.0123874,25,415,57,3054,0.438596,0.135887,3.22765,0.302709,true
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,41,847,0.0461712,46,394,119,2992,0.386555,0.131684,2.93546,0.25487,true
has_not__AND__has_pattern,has_not,has_pattern,13,875,0.0146396,31,409,79,3032,0.392405,0.134894,2.90898,0.257511,true
has_maxLength__AND__has_minItems,has_maxLength,has_minItems,37,851,0.0416667,68,372,184,2927,0.369565,0.127093,2.90784,0.242473,true
has_allOf__AND__has_not,has_allOf,has_not,11,877,0.0123874,27,413,69,3042,0.391304,0.135766,2.8822,0.255538,true
has_maxLength__AND__has_ref,has_maxLength,has_ref,36,852,0.0405405,66,374,182,2929,0.362637,0.127689,2.84001,0.234949,true
has_additionalProperties__AND__has_not,has_additionalProperties,has_not,13,875,0.0146396,31,409,82,3029,0.378049,0.135028,2.79978,0.243021,true
has_boolean_schema__AND__has_not,has_boolean_schema,has_not,13,875,0.0146396,31,409,82,3029,0.378049,0.135028,2.79978,0.243021,true
has_defs__AND__has_maxLength,has_defs,has_maxLength,37,851,0.0416667,66,374,186,2925,0.354839,0.127863,2.77514,0.226975,true
has_defs__AND__has_not,has_defs,has_not,16,872,0.018018,32,408,90,3021,0.355556,0.135055,2.63268,0.220501,true
has_items__AND__has_not,has_items,has_not,16,872,0.018018,32,408,90,3021,0.355556,0.135055,2.63268,0.220501,true
has_not__AND__has_ref,has_not,has_ref,16,872,0.018018,32,408,90,3021,0.355556,0.135055,2.63268,0.220501,true
has_maxItems__AND__has_maximum,has_maxItems,has_maximum,37,851,0.0416667,44,396,128,2983,0.34375,0.132752,2.58941,0.210998,true
has_maximum__AND__has_minItems,has_maximum,has_minItems,41,847,0.0461712,71,369,216,2895,0.328704,0.127461,2.57885,0.201243,true
has_allOf__AND__has_oneOf,has_allOf,has_oneOf,25,863,0.0281532,34,406,99,3012,0.343434,0.134794,2.54784,0.20864,true
has_not__AND__has_properties,has_not,has_properties,17,871,0.0191441,32,408,93,3018,0.344086,0.135189,2.54522,0.208897,true
has_not__AND__has_required,has_not,has_required,17,871,0.0191441,32,408,93,3018,0.344086,0.135189,2.54522,0.208897,true
has_not__AND__has_type,has_not,has_type,17,871,0.0191441,32,408,93,3018,0.344086,0.135189,2.54522,0.208897,true
has_items__AND__has_minItems,has_items,has_minItems,188,700,0.211712,211,229,828,2283,0.254831,0.100307,2.54052,0.154524,true
has_minItems__AND__has_properties,has_minItems,has_properties,188,700,0.211712,211,229,828,2283,0.254831,0.100307,2.54052,0.154524,true
has_minItems__AND__has_type,has_minItems,has_type,188,700,0.211712,211,229,828,2283,0.254831,0.100307,2.54052,0.154524,true
has_minItems__AND__has_required,has_minItems,has_required,181,707,0.203829,206,234,801,2310,0.257179,0.101299,2.53881,0.15588,true
has_anyOf__AND__has_propertyNames,has_anyOf,has_propertyNames,6,882,0.00675676,12,428,34,3077,0.352941,0.139097,2.53738,0.213845,true
has_allOf__AND__has_pattern,has_allOf,has_pattern,22,866,0.0247748,44,396,131,2980,0.335878,0.132886,2.52757,0.202992,true
has_const__AND__has_enum,has_const,has_enum,7,881,0.00788288,14,426,40,3071,0.35,0.138717,2.52312,0.211283,true
has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,23,865,0.0259009,20,420,58,3053,0.344828,0.13757,2.50657,0.207258,true
has_maxItems__AND__has_minimum,has_maxItems,has_minimum,46,842,0.0518018,55,385,168,2943,0.327381,0.130819,2.50255,0.196562,true
has_allOf__AND__has_anyOf,has_allOf,has_anyOf,24,864,0.027027,41,399,123,2988,0.333333,0.133534,2.49624,0.199799,true
has_allOf__AND__has_default,has_allOf,has_default,22,866,0.0247748,34,406,102,3009,0.333333,0.134929,2.47044,0.198405,true
has_allOf__AND__has_propertyNames,has_allOf,has_propertyNames,6,882,0.00675676,12,428,36,3075,0.333333,0.139187,2.39486,0.194146,true
has_anyOf__AND__has_const,has_anyOf,has_const,5,883,0.00563063,10,430,30,3081,0.333333,0.139565,2.38837,0.193768,true
