feature,schemas_with_feature,schemas_without_feature,timeout_with_feature,timeout_without_feature,timeout_rate_with,timeout_rate_without,lift,support,global_timeout_rate
many_properties,886,2,51,0,0.0575621,0,inf,0.997748,0.0574324
has_properties,888,0,51,0,0.0574324,0,inf,1,0.0574324
has_type,888,0,51,0,0.0574324,0,inf,1,0.0574324
has_maxLength,97,791,38,13,0.391753,0.0164349,23.8366,0.109234,0.0574324
has_minLength,140,748,35,16,0.25,0.0213904,11.6875,0.157658,0.0574324
has_maxItems,69,819,24,27,0.347826,0.032967,10.5507,0.0777027,0.0574324
has_pattern,340,548,43,8,0.126471,0.0145985,8.66324,0.382883,0.0574324
has_maximum,135,753,24,27,0.177778,0.0358566,4.95802,0.152027,0.0574324
has_boolean_schema,502,386,42,9,0.0836653,0.0233161,3.58831,0.565315,0.0574324
has_minimum,218,670,27,24,0.123853,0.0358209,3.45757,0.245495,0.0574324
has_additionalProperties,524,364,42,9,0.0801527,0.0247253,3.24173,0.59009,0.0574324
has_items,678,210,46,5,0.0678466,0.0238095,2.84956,0.763514,0.0574324
has_minItems,188,700,22,29,0.117021,0.0414286,2.82465,0.211712,0.0574324
large_enum,324,564,30,21,0.0925926,0.037234,2.48677,0.364865,0.0574324
has_patternProperties,122,766,12,39,0.0983607,0.0509138,1.9319,0.137387,0.0574324
has_required,749,139,46,5,0.0614152,0.0359712,1.70734,0.843468,0.0574324
has_multipleOf,12,876,1,50,0.0833333,0.0570776,1.46,0.0135135,0.0574324
has_oneOf,173,715,13,38,0.0751445,0.0531469,1.4139,0.19482,0.0574324
many_required,633,255,39,12,0.0616114,0.0470588,1.30924,0.712838,0.0574324
has_enum,576,312,36,15,0.0625,0.0480769,1.3,0.648649,0.0574324
has_not,17,871,1,50,0.0588235,0.0574053,1.02471,0.0191441,0.0574324
deep_schema,487,401,27,24,0.0554415,0.0598504,0.926335,0.548423,0.0574324
has_default,378,510,11,40,0.0291005,0.0784314,0.371032,0.425676,0.0574324
has_ref,345,543,9,42,0.026087,0.0773481,0.337267,0.388514,0.0574324
has_allOf,53,835,1,50,0.0188679,0.0598802,0.315094,0.0596847,0.0574324
has_defs,362,526,9,42,0.0248619,0.0798479,0.311365,0.407658,0.0574324
has_anyOf,192,696,0,51,0,0.0732759,0,0.216216,0.0574324
has_const,10,878,0,51,0,0.0580866,0,0.0112613,0.0574324
has_content,1,887,0,51,0,0.0574972,0,0.00112613,0.0574324
has_exclusiveMaximum,1,887,0,51,0,0.0574972,0,0.00112613,0.0574324
has_exclusiveMinimum,5,883,0,51,0,0.0577576,0,0.00563063,0.0574324
has_if_then_else,5,883,0,51,0,0.0577576,0,0.00563063,0.0574324
has_maxProperties,11,877,0,51,0,0.0581528,0,0.0123874,0.0574324
has_minProperties,24,864,0,51,0,0.0590278,0,0.027027,0.0574324
has_propertyNames,8,880,0,51,0,0.0579545,0,0.00900901,0.0574324
