feature,schemas_with_feature,schemas_without_feature,under_with_feature,under_without_feature,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,support,global_under_rate,eligible_lift
has_not,17,871,32,408,93,3018,0.344086,0.135189,2.54522,0.208897,0.0191441,0.141434,true
has_minItems,188,700,211,229,828,2283,0.254831,0.100307,2.54052,0.154524,0.211712,0.141434,true
has_maxItems,69,819,70,370,247,2864,0.283401,0.12919,2.19368,0.154211,0.0777027,0.141434,true
has_required,749,139,417,23,2779,332,0.150054,0.0692771,2.166,0.0807769,0.843468,0.141434,true
has_maxLength,97,791,85,355,321,2790,0.264798,0.12724,2.08108,0.137557,0.109234,0.141434,true
has_multipleOf,12,876,15,425,52,3059,0.288462,0.138934,2.07624,0.149527,0.0135135,0.141434,true
has_propertyNames,8,880,13,427,45,3066,0.288889,0.139269,2.07432,0.149619,0.00900901,0.141434,true
has_allOf,53,835,65,375,247,2864,0.263158,0.130936,2.00982,0.132222,0.0596847,0.141434,true
has_const,10,878,16,424,60,3051,0.266667,0.138971,1.91887,0.127696,0.0112613,0.141434,true
has_if_then_else,5,883,8,432,30,3081,0.266667,0.140214,1.90185,0.126452,0.00563063,0.141434,true
has_minimum,218,670,196,244,956,2155,0.205021,0.113225,1.81074,0.0917959,0.245495,0.141434,true
has_maximum,135,753,110,330,551,2560,0.199637,0.128906,1.5487,0.0707308,0.152027,0.141434,true
has_maxProperties,11,877,11,429,58,3053,0.189655,0.140518,1.34969,0.0491376,0.0123874,0.141434,true
has_defs,362,526,246,194,1512,1599,0.162698,0.121326,1.341,0.0413726,0.407658,0.141434,true
has_ref,345,543,236,204,1451,1660,0.162646,0.122892,1.3235,0.0397549,0.388514,0.141434,true
has_minLength,140,748,90,350,520,2591,0.173077,0.135083,1.28126,0.0379939,0.157658,0.141434,true
many_required,633,255,346,94,2407,704,0.143747,0.133523,1.07658,0.0102247,0.712838,0.141434,true
large_enum,324,564,165,275,1150,1961,0.143478,0.140235,1.02313,0.00324369,0.364865,0.141434,true
has_minProperties,24,864,16,424,118,2993,0.135593,0.141664,0.957147,-0.00607066,0.027027,0.141434,true
has_items,678,210,369,71,2665,446,0.138462,0.159193,0.869772,-0.0207313,0.763514,0.141434,true
has_default,378,510,186,254,1431,1680,0.129979,0.15119,0.859704,-0.0212114,0.425676,0.141434,true
has_oneOf,173,715,68,372,567,2544,0.119929,0.146226,0.820163,-0.026297,0.19482,0.141434,true
has_enum,576,312,270,170,2113,998,0.12778,0.170341,0.750146,-0.0425603,0.648649,0.141434,true
deep_schema,487,401,214,226,1764,1347,0.121315,0.16778,0.72306,-0.0464651,0.548423,0.141434,true
has_anyOf,192,696,116,324,1032,2079,0.112403,0.155844,0.721253,-0.0434411,0.216216,0.141434,true
has_boolean_schema,502,386,264,176,2154,957,0.122563,0.183908,0.666435,-0.0613454,0.565315,0.141434,true
has_pattern,340,548,174,266,1549,1562,0.112331,0.170294,0.659625,-0.057964,0.382883,0.141434,true
has_patternProperties,122,766,42,398,453,2658,0.0927152,0.149737,0.619189,-0.0570214,0.137387,0.141434,true
has_additionalProperties,524,364,267,173,2232,879,0.119624,0.196815,0.607799,-0.0771909,0.59009,0.141434,true
has_exclusiveMinimum,5,883,0,440,21,3090,0,0.142395,0,-0.142395,0.00563063,0.141434,true
many_properties,886,2,440,0,3109,2,0.141525,0,inf,0.141525,0.997748,0.141434,false
has_properties,888,0,440,0,3111,0,0.141434,0,inf,0.141434,1,0.141434,false
has_type,888,0,440,0,3111,0,0.141434,0,inf,0.141434,1,0.141434,false
has_exclusiveMaximum,1,887,2,438,4,3107,0.5,0.140972,3.5468,0.359028,0.00112613,0.141434,false
has_content,1,887,0,440,2,3109,0,0.141525,0,-0.141525,0.00112613,0.141434,false
