schema_id,test_id,tokens_checked,num_tokens,rejection_ratio,first_rejected_token_index
Github_hard---o10495.json,Github_hard---o10495.json::test_00000,13,222,0.0585586,12
Github_hard---o10495.json,Github_hard---o10495.json::test_00001,49,215,0.227907,48
Github_hard---o12281.json,Github_hard---o12281.json::test_00000,2,293,0.00682594,1
Github_hard---o12335.json,Github_hard---o12335.json::test_00000,156,1132,0.137809,155
Github_hard---o12337.json,Github_hard---o12337.json::test_00000,1487,1922,0.773673,1486
Github_hard---o12337.json,Github_hard---o12337.json::test_00001,822,1259,0.652899,821
Github_hard---o12459.json,Github_hard---o12459.json::test_00000,13,884,0.0147059,12
Github_hard---o12460.json,Github_hard---o12460.json::test_00000,13,926,0.0140389,12
Github_hard---o12477.json,Github_hard---o12477.json::test_00000,116,267,0.434457,115
Github_hard---o12498.json,Github_hard---o12498.json::test_00000,442,458,0.965066,441
Github_hard---o12499.json,Github_hard---o12499.json::test_00000,304,645,0.471318,303
Github_hard---o12499.json,Github_hard---o12499.json::test_00001,304,637,0.477237,303
Github_hard---o12613.json,Github_hard---o12613.json::test_00000,30,311,0.096463,29
Github_hard---o12613.json,Github_hard---o12613.json::test_00001,29,310,0.0935484,28
Github_hard---o12985.json,Github_hard---o12985.json::test_00000,2,418,0.00478469,1
Github_hard---o12985.json,Github_hard---o12985.json::test_00001,2,414,0.00483092,1
Github_hard---o13029.json,Github_hard---o13029.json::test_00000,2,3526,0.000567215,1
Github_hard---o13029.json,Github_hard---o13029.json::test_00001,82,284,0.288732,81
Github_hard---o13112.json,Github_hard---o13112.json::test_00003,308,363,0.848485,307
Github_hard---o13663.json,Github_hard---o13663.json::test_00000,69,449,0.153675,68
Github_hard---o13663.json,Github_hard---o13663.json::test_00001,66,423,0.156028,65
Github_hard---o14390.json,Github_hard---o14390.json::test_00000,282,1183,0.238377,281
Github_hard---o14390.json,Github_hard---o14390.json::test_00001,272,1161,0.234281,271
Github_hard---o14495.json,Github_hard---o14495.json::test_00000,101,436,0.231651,100
Github_hard---o14528.json,Github_hard---o14528.json::test_00000,4,875,0.00457143,3
Github_hard---o14528.json,Github_hard---o14528.json::test_00001,4,875,0.00457143,3
Github_hard---o16379.json,Github_hard---o16379.json::test_00000,43,451,0.0953437,42
Github_hard---o16379.json,Github_hard---o16379.json::test_00001,43,547,0.0786106,42
Github_hard---o17700.json,Github_hard---o17700.json::test_00000,8,216,0.037037,7
Github_hard---o17944.json,Github_hard---o17944.json::test_00000,1,436,0.00229358,0
Github_hard---o19225.json,Github_hard---o19225.json::test_00000,864,1491,0.579477,863
Github_hard---o19225.json,Github_hard---o19225.json::test_00001,883,1514,0.583223,882
Github_hard---o20390.json,Github_hard---o20390.json::test_00000,1,446,0.00224215,0
Github_hard---o20390.json,Github_hard---o20390.json::test_00001,1,466,0.00214592,0
Github_hard---o2070.json,Github_hard---o2070.json::test_00001,2,1294,0.0015456,1
Github_hard---o21072.json,Github_hard---o21072.json::test_00000,158,309,0.511327,
Github_hard---o21073.json,Github_hard---o21073.json::test_00000,157,279,0.562724,
Github_hard---o21074.json,Github_hard---o21074.json::test_00000,121,273,0.443223,
Github_hard---o21075.json,Github_hard---o21075.json::test_00000,122,402,0.303483,
Github_hard---o21076.json,Github_hard---o21076.json::test_00000,153,263,0.581749,
Github_hard---o21699.json,Github_hard---o21699.json::test_00000,367,433,0.847575,366
Github_hard---o21699.json,Github_hard---o21699.json::test_00001,338,404,0.836634,337
Github_hard---o21727.json,Github_hard---o21727.json::test_00000,13,248,0.0524194,12
Github_hard---o21727.json,Github_hard---o21727.json::test_00001,13,246,0.0528455,12
Github_hard---o21819.json,Github_hard---o21819.json::test_00000,2,481,0.004158,1
Github_hard---o21819.json,Github_hard---o21819.json::test_00001,2,490,0.00408163,1
Github_hard---o23178.json,Github_hard---o23178.json::test_00000,24,478,0.0502092,23
Github_hard---o23178.json,Github_hard---o23178.json::test_00001,25,447,0.0559284,24
Github_hard---o23230.json,Github_hard---o23230.json::test_00000,27,877,0.0307868,26
