characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,222,683,2644,0.117117,0.252252,0.0913621,0.268222,0.0720721
schema_json_chars,q2_mid_low,222,2652,3880,0.216216,0.283784,0.124703,0.294461,0.0900901
schema_json_chars,q3_mid_high,222,3892,6284,0.355856,0.252252,0.19109,0.254848,0.0405405
schema_json_chars,q4_high,222,6300,44035,0.283784,0.414414,0.143735,0.409471,0.027027
schema_file_bytes,q1_low,222,2531,15600,0.13964,0.301802,0.140351,0.294118,0.018018
schema_file_bytes,q2_mid_low,222,15612,22689,0.261261,0.252252,0.144444,0.255747,0.0675676
schema_file_bytes,q3_mid_high,222,22709,33080,0.22973,0.355856,0.109015,0.376471,0.0585586
schema_file_bytes,q4_high,222,33109,212170,0.342342,0.292793,0.168037,0.305233,0.0855856
nb_keywords,q1_low,231,25,85,0.147186,0.285714,0.0986745,0.280323,0.034632
nb_keywords,q2_mid_low,213,86,114,0.253521,0.215962,0.141968,0.227692,0.0892019
nb_keywords,q3_mid_high,224,115,177,0.330357,0.294643,0.183051,0.319328,0.0669643
nb_keywords,q4_high,220,179,1009,0.245455,0.404545,0.130376,0.396601,0.0409091
nb_properties,q1_low,238,8,29,0.243697,0.285714,0.159184,0.296,0.0798319
nb_properties,q2_mid_low,211,30,39,0.232227,0.255924,0.107143,0.279141,0.056872
nb_properties,q3_mid_high,218,40,63,0.252294,0.334862,0.16285,0.334294,0.0458716
nb_properties,q4_high,221,64,411,0.244344,0.325792,0.138817,0.318436,0.0452489
nb_required,q1_low,236,0,3,0.165254,0.292373,0.121069,0.279412,0.0423729
nb_required,q2_mid_low,211,4,11,0.322275,0.374408,0.1781,0.376855,0.0663507
nb_required,q3_mid_high,225,12,21,0.195556,0.275556,0.0926339,0.291411,0.0533333
nb_required,q4_high,216,22,146,0.300926,0.263889,0.176614,0.286567,0.0694444
schema_depth,q1_low,271,2,6,0.247232,0.298893,0.144431,0.297052,0.0738007
schema_depth,q2_mid_low,304,7,8,0.319079,0.256579,0.186523,0.251521,0.0296053
schema_depth,q3_mid_high,104,9,9,0.115385,0.317308,0.0383912,0.346154,0.0288462
schema_depth,q4_high,209,10,22,0.191388,0.358852,0.152144,0.389241,0.0909091
nb_branches_combinators,q1_low,577,0,0,0.246101,0.246101,0.161066,0.242325,0.0658579
nb_branches_combinators,q2_mid_low,0,,,0,0,0,0,0
nb_branches_combinators,q3_mid_high,129,1,4,0.232558,0.341085,0.0969793,0.38,0.0620155
nb_branches_combinators,q4_high,182,5,249,0.241758,0.445055,0.133598,0.459184,0.0274725
nb_enum_values,q1_low,312,0,0,0.282051,0.294872,0.170341,0.288973,0.0480769
nb_enum_values,q2_mid_low,145,1,4,0.22069,0.268966,0.104089,0.257384,0.0137931
nb_enum_values,q3_mid_high,222,5,15,0.193694,0.328829,0.122209,0.35942,0.0675676
nb_enum_values,q4_high,209,16,673,0.253589,0.301435,0.151934,0.318792,0.0909091
nb_regex,q1_low,484,0,0,0.272727,0.25,0.189978,0.228571,0.0165289
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,233,1,3,0.236052,0.244635,0.0982609,0.269461,0.0386266
nb_regex,q4_high,171,4,32,0.169591,0.520468,0.116987,0.646552,0.19883
n_tests,q1_low,358,1,4,0.117318,0.346369,0.112403,0.324013,0.00558659
n_tests,q2_mid_low,150,5,5,0.306667,0.346667,0.133758,0.337349,0.04
n_tests,q3_mid_high,209,6,7,0.325359,0.282297,0.159817,0.327815,0.119617
n_tests,q4_high,171,8,16,0.350877,0.187135,0.143429,0.210526,0.105263
mean_num_tokens,q1_low,210,28.375,244.667,0.190476,0.385714,0.117474,0.381356,0.0047619
mean_num_tokens,q2_mid_low,209,245.714,336.143,0.296651,0.215311,0.138889,0.219512,0.0191388
mean_num_tokens,q3_mid_high,209,337,500,0.258373,0.315789,0.159326,0.316667,0.00956938
mean_num_tokens,q4_high,209,501,3975.78,0.287081,0.320574,0.157746,0.28125,0.00478469
