feature,schemas_with_feature,compile_error_schemas_with_feature,compile_error_rate_with_feature,compile_error_rate_without_feature,lift
has_required,1365,10,0.00732601,0,inf
has_properties,1819,10,0.00549753,0,inf
has_type,1823,10,0.00548546,0,inf
has_maximum,111,8,0.0720721,0.00116822,61.6937
has_maxLength,252,8,0.031746,0.00127307,24.9365
has_minimum,302,8,0.0264901,0.00131492,20.1457
many_properties,1268,8,0.00630915,0.0036036,1.75079
has_minLength,313,7,0.0223642,0.00198675,11.2567
has_enum,808,7,0.00866337,0.00295567,2.93111
has_boolean_schema,825,7,0.00848485,0.00300601,2.82263
has_pattern,512,6,0.0117188,0.00305111,3.84082
has_additionalProperties,852,6,0.00704225,0.00411946,1.70951
has_items,990,5,0.00505051,0.0060024,0.841414
has_default,485,4,0.00824742,0.0044843,1.83918
many_required,827,4,0.00483676,0.0060241,0.802902
has_maxItems,90,2,0.0222222,0.00461627,4.81389
deep_schema,338,2,0.00591716,0.00538721,1.09837
has_ref,442,2,0.00452489,0.0057929,0.781109
has_maxProperties,10,1,0.1,0.00496415,20.1444
has_not,20,1,0.05,0.00499168,10.0167
has_minProperties,29,1,0.0344828,0.00501672,6.87356
has_oneOf,182,1,0.00549451,0.00548446,1.00183
has_minItems,227,1,0.00440529,0.0056391,0.781204
has_defs,471,1,0.00212314,0.0066568,0.318943
has_allOf,42,0,0,0.00561482,0
has_anchor,0,0,0,0.00548546,0
has_anyOf,92,0,0,0.00577701,0
has_const,19,0,0,0.00554324,0
has_contains,1,0,0,0.00548847,0
has_content,2,0,0,0.00549149,0
has_dependentRequired,0,0,0,0.00548546,0
has_dependentSchemas,0,0,0,0.00548546,0
has_dynamicRef,0,0,0,0.00548546,0
has_exclusiveMaximum,0,0,0,0.00548546,0
has_exclusiveMinimum,9,0,0,0.00551268,0
has_if_then_else,4,0,0,0.00549753,0
has_infinite_loop_detection,0,0,0,0.00548546,0
has_maxContains,0,0,0,0.00548546,0
has_minContains,0,0,0,0.00548546,0
has_multipleOf,9,0,0,0.00551268,0
has_patternProperties,119,0,0,0.00586854,0
has_prefixItems,0,0,0,0.00548546,0
has_propertyNames,3,0,0,0.00549451,0
has_unevaluatedItems,0,0,0,0.00548546,0
has_unevaluatedProperties,0,0,0,0.00548546,0
has_uniqueItems,0,0,0,0.00548546,0
large_enum,267,0,0,0.00642674,0
