feature,n_schemas,n_completed_tests,under_rate,over_rate,correct_rate,timeout_rate
has_if_then_else,4,20,0,1,0.65,0
has_propertyNames,3,17,0,1,0.764706,0
has_contains,1,3,0,1,0.666667,0
has_not,20,106,0.465753,0.515152,0.518868,0
has_patternProperties,119,483,0.0372881,0.867021,0.639752,0.134454
has_allOf,42,230,0.607843,0.272727,0.504348,0
has_minItems,227,1358,0.318693,0.39314,0.66053,0.0264317
has_anyOf,92,552,0.34596,0.365385,0.648551,0
has_minProperties,29,147,0.23,0.468085,0.693878,0.0344828
has_maxProperties,10,51,0.0833333,0.533333,0.784314,0
has_oneOf,182,796,0.224949,0.390879,0.711055,0.0879121
has_multipleOf,9,36,0.555556,0.0555556,0.694444,0
has_exclusiveMinimum,9,62,0.468085,0.133333,0.612903,0
has_const,19,102,0.157143,0.40625,0.764706,0.0526316
has_maxItems,90,449,0.27439,0.280992,0.723831,0.211111
has_maximum,111,615,0.298901,0.25,0.713821,0.171171
large_enum,267,1153,0.168407,0.330749,0.777103,0.093633
has_minimum,302,1789,0.311162,0.178794,0.724427,0.0728477
has_minLength,313,1465,0.167283,0.289817,0.800683,0.290735
has_ref,442,2275,0.167439,0.289267,0.791648,0.0158371
deep_schema,338,1543,0.143,0.302026,0.801037,0.0473373
has_defs,471,2452,0.159438,0.276074,0.801794,0.014862
has_default,485,2195,0.245971,0.178385,0.777677,0.0556701
has_required,1365,6430,0.195647,0.221062,0.795645,0.0542125
has_enum,808,3604,0.140285,0.268914,0.816315,0.085396
has_type,1823,8390,0.179712,0.220351,0.806198,0.0586945
has_properties,1819,8382,0.179412,0.218739,0.806967,0.0588235
many_required,827,4068,0.168701,0.229304,0.810964,0.025393
many_properties,1268,5951,0.16134,0.230882,0.814821,0.0623028
has_items,990,4921,0.159794,0.222428,0.819549,0.0555556
has_pattern,512,2659,0.135714,0.246066,0.835276,0.191406
has_boolean_schema,825,3952,0.190923,0.181182,0.812247,0.0969697
has_additionalProperties,852,4125,0.184201,0.187313,0.814788,0.0938967
has_maxLength,252,1011,0.147651,0.214286,0.834817,0.380952
has_content,2,7,0,0,1,0
