feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.458333,0.747664,0.504785,0.36715,912,107,418,414
has_allOf,0.00657895,0,0.0598086,0.02657,912,107,418,414
has_anyOf,0.0241228,0,0.0885167,0.0845411,912,107,418,414
has_boolean_schema,0.444079,0.747664,0.495215,0.34058,912,107,418,414
has_const,0.00548246,0.00934579,0.0119617,0.0193237,912,107,418,414
has_contains,0,0,0,0.00241546,912,107,418,414
has_content,0.00219298,0,0,0,912,107,418,414
has_default,0.26864,0.252336,0.315789,0.210145,912,107,418,414
has_defs,0.246711,0.0654206,0.270335,0.318841,912,107,418,414
has_enum,0.404605,0.64486,0.38756,0.533816,912,107,418,414
has_exclusiveMinimum,0.00109649,0,0.0167464,0.00241546,912,107,418,414
has_if_then_else,0,0,0,0.00966184,912,107,418,414
has_items,0.555921,0.514019,0.535885,0.528986,912,107,418,414
has_maxItems,0.0263158,0.17757,0.0669856,0.0507246,912,107,418,414
has_maxLength,0.0789474,0.897196,0.12201,0.0845411,912,107,418,414
has_maxProperties,0.00438596,0,0.00239234,0.0120773,912,107,418,414
has_maximum,0.0241228,0.17757,0.11244,0.0603865,912,107,418,414
has_minItems,0.0285088,0.0560748,0.287081,0.214976,912,107,418,414
has_minLength,0.0997807,0.850467,0.172249,0.152174,912,107,418,414
has_minProperties,0.00219298,0.00934579,0.0358852,0.0338164,912,107,418,414
has_minimum,0.0822368,0.205607,0.380383,0.125604,912,107,418,414
has_multipleOf,0.00219298,0,0.0167464,0.00241546,912,107,418,414
has_not,0,0,0.0239234,0.02657,912,107,418,414
has_oneOf,0.0570175,0.149533,0.117225,0.157005,912,107,418,414
has_pattern,0.218202,0.915888,0.267943,0.258454,912,107,418,414
has_patternProperties,0.00986842,0.149533,0.0119617,0.217391,912,107,418,414
has_properties,1,1,0.995215,0.990338,912,107,418,414
has_propertyNames,0,0,0,0.00724638,912,107,418,414
has_ref,0.220395,0.0654206,0.263158,0.311594,912,107,418,414
has_required,0.719298,0.691589,0.837321,0.7343,912,107,418,414
has_type,1,1,1,1,912,107,418,414
large_enum,0.0997807,0.233645,0.148325,0.231884,912,107,418,414
many_required,0.467105,0.196262,0.473684,0.47343,912,107,418,414
many_properties,0.685307,0.738318,0.667464,0.73913,912,107,418,414
deep_schema,0.179825,0.149533,0.148325,0.23913,912,107,418,414
