feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
has_patternProperties,119,1704,163,478,188,2721,0.867021,0.175671,4.93549,0.691351,0.065277,0.220351,true
has_not,20,1803,17,624,33,2876,0.515152,0.216968,2.37432,0.298184,0.0109709,0.220351,true
has_minProperties,29,1794,22,619,47,2862,0.468085,0.216282,2.16423,0.251803,0.0159078,0.220351,true
has_minItems,227,1596,149,492,379,2530,0.39314,0.194466,2.02163,0.198673,0.12452,0.220351,true
has_oneOf,182,1641,120,521,307,2602,0.390879,0.200231,1.95215,0.190649,0.0998354,0.220351,true
has_const,19,1804,13,628,32,2877,0.40625,0.218283,1.86112,0.187967,0.0104224,0.220351,true
has_anyOf,92,1731,57,584,156,2753,0.365385,0.212132,1.72244,0.153252,0.0504663,0.220351,true
large_enum,267,1556,128,513,387,2522,0.330749,0.20341,1.62602,0.127339,0.146462,0.220351,true
deep_schema,338,1485,164,477,543,2366,0.302026,0.201606,1.4981,0.10042,0.185409,0.220351,true
has_ref,442,1381,221,420,764,2145,0.289267,0.195804,1.47733,0.0934628,0.242457,0.220351,true
has_enum,808,1015,327,314,1216,1693,0.268914,0.18547,1.44991,0.0834449,0.443225,0.220351,true
has_defs,471,1352,225,416,815,2094,0.276074,0.198663,1.38966,0.0774108,0.258365,0.220351,true
has_minLength,313,1510,111,530,383,2526,0.289817,0.209818,1.38128,0.0799993,0.171695,0.220351,true
has_maxItems,90,1733,34,607,121,2788,0.280992,0.217719,1.29062,0.0632729,0.0493692,0.220351,true
has_allOf,42,1781,21,620,77,2832,0.272727,0.218927,1.24575,0.0538007,0.0230389,0.220351,true
many_properties,1268,555,471,170,2040,869,0.230882,0.195627,1.18022,0.0352552,0.695557,0.220351,true
has_pattern,512,1311,172,469,699,2210,0.246066,0.212217,1.1595,0.0338486,0.280856,0.220351,true
has_maximum,111,1712,40,601,160,2749,0.25,0.218625,1.14351,0.031375,0.0608886,0.220351,true
many_required,827,996,313,328,1365,1544,0.229304,0.212435,1.07941,0.0168688,0.453648,0.220351,true
has_items,990,833,361,280,1623,1286,0.222428,0.217729,1.02158,0.00469821,0.543061,0.220351,true
has_required,1365,458,487,154,2203,706,0.221062,0.21813,1.01344,0.00293188,0.748766,0.220351,true
has_maxLength,252,1571,57,584,266,2643,0.214286,0.220961,0.96979,-0.00667531,0.138234,0.220351,true
has_minimum,302,1521,86,555,481,2428,0.178794,0.228583,0.782184,-0.049789,0.165661,0.220351,true
has_default,485,1338,137,504,768,2141,0.178385,0.235404,0.757784,-0.0570186,0.266045,0.220351,true
has_additionalProperties,852,971,251,390,1340,1569,0.187313,0.248566,0.753576,-0.0612525,0.467361,0.220351,true
has_boolean_schema,825,998,233,408,1286,1623,0.181182,0.251386,0.720731,-0.0702044,0.452551,0.220351,true
has_type,1823,0,641,0,2909,0,0.220351,0,inf,0.220351,1,0.220351,false
has_if_then_else,4,1819,7,634,7,2902,1,0.21847,4.57729,0.78153,0.00219419,0.220351,false
has_propertyNames,3,1820,4,637,4,2905,1,0.219277,4.56044,0.780723,0.00164564,0.220351,false
has_contains,1,1822,1,640,1,2908,1,0.220083,4.54375,0.779917,0.000548546,0.220351,false
has_maxProperties,10,1813,8,633,15,2894,0.533333,0.218728,2.43834,0.314605,0.00548546,0.220351,false
has_exclusiveMinimum,9,1814,2,639,15,2894,0.133333,0.220802,0.60386,-0.0874683,0.00493692,0.220351,false
has_multipleOf,9,1814,1,640,18,2891,0.0555556,0.221377,0.250955,-0.165821,0.00493692,0.220351,false
has_properties,1819,4,635,6,2903,6,0.218739,1,0.218739,-0.781261,0.997806,0.220351,false
has_content,2,1821,0,641,3,2906,0,0.220578,0,-0.220578,0.00109709,0.220351,false
