feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_maxItems + has_oneOf,has_maxItems__AND__has_oneOf,has_maxItems,has_oneOf,24,0.0131651,3,3.01042e+06,10.3666,0.489415,1.39513,0.070805,2.05704,0.231239,0.00109649,0.121495,0.0119617,0.0120773,912,107,418,414
[P] has_maximum + has_pattern,has_maximum__AND__has_pattern,has_maximum,has_pattern,50,0.0274273,3,3.0072e+06,7.17169,0.309803,1.60645,0.10673,1.24339,0.053386,0.00767544,0.168224,0.0382775,0.0241546,912,107,418,414
[P] has_enum + has_maxItems,has_enum__AND__has_maxItems,has_enum,has_maxItems,44,0.024136,3,3.00714e+06,7.10889,0.312484,2.27415,0.223118,1.94412,0.205043,0.00328947,0.149533,0.0334928,0.031401,912,107,418,414
[P] has_minLength + has_oneOf,has_minLength__AND__has_oneOf,has_minLength,has_oneOf,58,0.0318157,3,3.00499e+06,4.96158,0.206496,1.44536,0.0790597,2.14566,0.244456,0.0120614,0.140187,0.0287081,0.0483092,912,107,418,414
[P] has_enum + has_maximum,has_enum__AND__has_maximum,has_enum,has_maximum,72,0.0394953,3,3.00494e+06,4.91854,0.199172,1.65705,0.114325,1.45093,0.097965,0.00986842,0.168224,0.0669856,0.0458937,912,107,418,414
[P] has_minimum + has_pattern,has_minimum__AND__has_pattern,has_minimum,has_pattern,89,0.0488206,3,3.0045e+06,4.47888,0.174546,1.23925,0.0422039,1.20201,0.0441522,0.0219298,0.186916,0.0741627,0.0483092,912,107,418,414
[P] has_boolean_schema + has_maximum,has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,68,0.0373012,3,3.00422e+06,4.20796,0.168167,1.69056,0.119726,1.34646,0.0755159,0.0120614,0.140187,0.0645933,0.0410628,912,107,418,414
[P] has_items + has_maxItems,has_items__AND__has_maxItems,has_items,has_maxItems,90,0.0493692,3,3.00417e+06,4.15745,0.160332,1.57981,0.100705,1.29062,0.0632729,0.0263158,0.17757,0.0669856,0.0507246,912,107,418,414
[P] has_maxItems + has_properties,has_maxItems__AND__has_properties,has_maxItems,has_properties,90,0.0493692,3,3.00417e+06,4.15745,0.160332,1.57981,0.100705,1.29062,0.0632729,0.0263158,0.17757,0.0669856,0.0507246,912,107,418,414
[P] has_maxItems + has_type,has_maxItems__AND__has_type,has_maxItems,has_type,90,0.0493692,3,3.00417e+06,4.15745,0.160332,1.57981,0.100705,1.29062,0.0632729,0.0263158,0.17757,0.0669856,0.0507246,912,107,418,414
[P] has_additionalProperties + has_maximum,has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,70,0.0383982,3,3.0041e+06,4.08307,0.161804,1.69103,0.119704,1.28853,0.0629777,0.0120614,0.140187,0.069378,0.0410628,912,107,418,414
[P] has_maxItems + has_required,has_maxItems__AND__has_required,has_maxItems,has_required,57,0.0312671,3,3.00357e+06,3.55007,0.138622,2.03795,0.179202,1.95869,0.206086,0.00548246,0.102804,0.0550239,0.0483092,912,107,418,414
[P] has_enum + has_minimum,has_enum__AND__has_minimum,has_enum,has_minimum,111,0.0608886,3,3.00313e+06,3.11934,0.110176,1.39278,0.068424,1.22732,0.0494679,0.0274123,0.168224,0.105263,0.0628019,912,107,418,414
[P] has_boolean_schema + has_oneOf,has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,109,0.0597916,3,3.00278e+06,2.76479,0.0936968,1.22581,0.0400726,1.59244,0.126225,0.0361842,0.149533,0.0669856,0.0772947,912,107,418,414
[P] has_additionalProperties + has_oneOf,has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,114,0.0625343,3,3.00265e+06,2.63582,0.0871034,1.21087,0.0374339,1.66235,0.140234,0.0361842,0.149533,0.0717703,0.0845411,912,107,418,414
[P] has_enum + has_oneOf,has_enum__AND__has_oneOf,has_enum,has_oneOf,120,0.0658256,3,3.00234e+06,2.31386,0.0709777,1.30443,0.053698,2.04685,0.215765,0.0263158,0.140187,0.0885167,0.10628,912,107,418,414
[P] has_items + has_maximum,has_items__AND__has_maximum,has_items,has_maximum,46,0.0252331,3,3.0023e+06,2.29488,0.0735974,1.24268,0.0431966,1.36612,0.0799994,0.0120614,0.0560748,0.0406699,0.0338164,912,107,418,414
[P] has_items + has_oneOf,has_items__AND__has_oneOf,has_items,has_oneOf,144,0.0789907,3,3.00207e+06,2.05006,0.0569122,1.34737,0.0608907,1.94125,0.192345,0.0383772,0.149533,0.0980861,0.125604,912,107,418,414
[P] has_oneOf + has_properties,has_oneOf__AND__has_properties,has_oneOf,has_properties,182,0.0998354,3,3.00197e+06,1.58532,0.0324581,1.28337,0.0496684,1.95215,0.190649,0.0570175,0.149533,0.117225,0.157005,912,107,418,414
[P] has_oneOf + has_type,has_oneOf__AND__has_type,has_oneOf,has_type,182,0.0998354,3,3.00197e+06,1.58532,0.0324581,1.28337,0.0496684,1.95215,0.190649,0.0570175,0.149533,0.117225,0.157005,912,107,418,414
