feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,119,1704,0.065277,163,478,188,2721,0.867021,0.175671,4.93549,0.691351,true
has_patternProperties__AND__has_type,has_patternProperties,has_type,119,1704,0.065277,163,478,188,2721,0.867021,0.175671,4.93549,0.691351,true
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,87,1736,0.0477235,113,528,129,2780,0.875969,0.189928,4.61211,0.686041,true
has_patternProperties__AND__has_required,has_patternProperties,has_required,92,1731,0.0504663,127,514,148,2761,0.858108,0.186164,4.60941,0.671944,true
has_minimum__AND__has_patternProperties,has_minimum,has_patternProperties,22,1801,0.012068,30,611,31,2878,0.967742,0.2123,4.55837,0.755442,true
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,89,1734,0.0488206,114,527,132,2777,0.863636,0.189773,4.55089,0.673863,true
has_enum__AND__has_patternProperties,has_enum,has_patternProperties,54,1769,0.0296215,67,574,74,2835,0.905405,0.202469,4.47182,0.702936,true
has_minItems__AND__has_patternProperties,has_minItems,has_patternProperties,33,1790,0.018102,53,588,59,2850,0.898305,0.206316,4.35403,0.691989,true
has_items__AND__has_patternProperties,has_items,has_patternProperties,71,1752,0.0389468,96,545,115,2794,0.834783,0.195061,4.2796,0.639722,true
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,49,1774,0.0268788,75,566,89,2820,0.842697,0.200709,4.19859,0.641987,true
has_defs__AND__has_patternProperties,has_defs,has_patternProperties,48,1775,0.0263302,73,568,87,2822,0.83908,0.201276,4.16881,0.637805,true
has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,39,1784,0.0213933,36,605,41,2868,0.878049,0.210948,4.16239,0.6671,true
has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,51,1772,0.0279759,53,588,63,2846,0.84127,0.206606,4.07186,0.634664,true
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,28,1795,0.0153593,36,605,42,2867,0.857143,0.211022,4.06187,0.646121,true
has_default__AND__has_patternProperties,has_default,has_patternProperties,16,1807,0.00877674,20,621,24,2885,0.833333,0.215251,3.87144,0.618082,true
has_boolean_schema__AND__has_not,has_boolean_schema,has_not,17,1806,0.00932529,17,624,27,2882,0.62963,0.216516,2.908,0.413113,true
has_additionalProperties__AND__has_not,has_additionalProperties,has_not,16,1807,0.00877674,15,626,25,2884,0.6,0.21706,2.76422,0.38294,true
has_maximum__AND__has_oneOf,has_maximum,has_oneOf,15,1808,0.0082282,15,626,25,2884,0.6,0.21706,2.76422,0.38294,true
has_minItems__AND__has_oneOf,has_minItems,has_oneOf,52,1771,0.0285244,50,591,90,2819,0.555556,0.209649,2.64993,0.345907,true
has_defs__AND__has_not,has_defs,has_not,16,1807,0.00877674,15,626,27,2882,0.555556,0.21721,2.55769,0.338345,true
has_not__AND__has_ref,has_not,has_ref,16,1807,0.00877674,15,626,27,2882,0.555556,0.21721,2.55769,0.338345,true
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,58,1765,0.0318157,41,600,76,2833,0.539474,0.21179,2.54721,0.327684,true
has_minItems__AND__has_pattern,has_minItems,has_pattern,65,1758,0.0356555,50,591,100,2809,0.5,0.210395,2.37648,0.289605,true
has_not__AND__has_properties,has_not,has_properties,20,1803,0.0109709,17,624,33,2876,0.515152,0.216968,2.37432,0.298184,true
has_not__AND__has_required,has_not,has_required,20,1803,0.0109709,17,624,33,2876,0.515152,0.216968,2.37432,0.298184,true
has_not__AND__has_type,has_not,has_type,20,1803,0.0109709,17,624,33,2876,0.515152,0.216968,2.37432,0.298184,true
has_anyOf__AND__has_oneOf,has_anyOf,has_oneOf,20,1803,0.0109709,19,622,37,2872,0.513514,0.216574,2.37108,0.29694,true
has_oneOf__AND__has_ref,has_oneOf,has_ref,108,1715,0.059243,92,549,196,2713,0.469388,0.202359,2.31958,0.267029,true
has_defs__AND__has_minItems,has_defs,has_minItems,91,1732,0.0499177,74,567,156,2753,0.474359,0.205957,2.30319,0.268402,true
has_const__AND__has_required,has_const,has_required,16,1807,0.00877674,13,628,26,2883,0.5,0.217829,2.29538,0.282171,true
has_minItems__AND__has_ref,has_minItems,has_ref,88,1735,0.0482721,71,570,150,2759,0.473333,0.206597,2.2911,0.266737,true
has_defs__AND__has_oneOf,has_defs,has_oneOf,110,1713,0.0603401,92,549,199,2710,0.462312,0.202583,2.28208,0.259729,true
has_minLength__AND__has_ref,has_minLength,has_ref,62,1761,0.0340099,49,592,102,2807,0.480392,0.210901,2.27781,0.269491,true
has_enum__AND__has_not,has_enum,has_not,19,1804,0.0104224,15,626,31,2878,0.483871,0.217512,2.22457,0.266359,true
has_anyOf__AND__has_pattern,has_anyOf,has_pattern,27,1796,0.0148108,22,619,46,2863,0.478261,0.216207,2.21205,0.262054,true
has_maxItems__AND__has_minimum,has_maxItems,has_minimum,16,1807,0.00877674,12,629,25,2884,0.48,0.2181,2.20083,0.2619,true
has_not__AND__has_oneOf,has_not,has_oneOf,13,1810,0.0071311,11,630,23,2886,0.478261,0.218295,2.19089,0.259966,true
has_minProperties__AND__has_type,has_minProperties,has_type,29,1794,0.0159078,22,619,47,2862,0.468085,0.216282,2.16423,0.251803,true
has_defs__AND__has_minLength,has_defs,has_minLength,66,1757,0.0362041,49,592,108,2801,0.453704,0.211353,2.14666,0.242351,true
has_minLength__AND__has_oneOf,has_minLength,has_oneOf,58,1765,0.0318157,38,603,83,2826,0.457831,0.213376,2.14566,0.244456,true
has_enum__AND__has_minItems,has_enum,has_minItems,107,1716,0.0586945,76,565,172,2737,0.44186,0.20643,2.14048,0.23543,true
