feature_pair,feature_a,feature_b,n_schemas,support,timeout_rate,under_rate,over_rate
has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,23,0.0126166,0.695652,0,0.727273
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,28,0.0153593,0.678571,0.0877193,0.5
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,28,0.0153593,0.642857,0.232143,0.352941
has_maxItems__AND__has_oneOf,has_maxItems,has_oneOf,24,0.0131651,0.541667,0.25,0.45
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,169,0.0927043,0.514793,0.190687,0.225352
has_const__AND__has_maxLength,has_const,has_maxLength,2,0.00109709,0.5,0,1
has_minLength__AND__has_pattern,has_minLength,has_pattern,185,0.101481,0.459459,0.171271,0.333333
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,197,0.108064,0.451777,0.154562,0.238889
has_default__AND__has_maxLength,has_default,has_maxLength,58,0.0318157,0.448276,0.154412,0.272727
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,164,0.0899616,0.445122,0.154709,0.201258
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,34,0.0186506,0.441176,0,0.342857
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,166,0.0910587,0.439759,0.154867,0.196319
has_enum__AND__has_maxLength,has_enum,has_maxLength,156,0.0855732,0.429487,0.131455,0.233333
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,45,0.0246846,0.422222,0.107143,0.382979
has_maxItems__AND__has_patternProperties,has_maxItems,has_patternProperties,12,0.00658256,0.416667,0,1
has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,39,0.0213933,0.410256,0,0.878049
has_default__AND__has_minLength,has_default,has_minLength,61,0.0334613,0.409836,0.128655,0.265625
has_items__AND__has_maxLength,has_items,has_maxLength,122,0.0669227,0.393443,0.118519,0.245902
has_maxLength__AND__has_properties,has_maxLength,has_properties,252,0.138234,0.380952,0.147651,0.214286
