feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_allOf__AND__has_anyOf,has_allOf,has_anyOf,14,1809,0.00767965,46,939,55,5426,0.836364,0.173056,4.83292,0.663308,true
has_allOf__AND__has_not,has_allOf,has_not,12,1811,0.00658256,33,952,41,5440,0.804878,0.175,4.5993,0.629878,true
has_allOf__AND__has_minItems,has_allOf,has_minItems,16,1807,0.00877674,57,928,74,5407,0.77027,0.171629,4.48799,0.598641,true
has_allOf__AND__has_oneOf,has_allOf,has_oneOf,25,1798,0.0137137,59,926,80,5401,0.7375,0.17145,4.30155,0.56605,true
has_allOf__AND__has_items,has_allOf,has_items,30,1793,0.0164564,81,904,124,5357,0.653226,0.168751,3.87094,0.484475,true
has_minItems__AND__has_not,has_minItems,has_not,9,1814,0.00493692,22,963,33,5448,0.666667,0.176762,3.77155,0.489905,true
has_anyOf__AND__has_maxItems,has_anyOf,has_maxItems,5,1818,0.00274273,22,963,33,5448,0.666667,0.176762,3.77155,0.489905,true
has_allOf__AND__has_minLength,has_allOf,has_minLength,15,1808,0.0082282,44,941,69,5412,0.637681,0.173873,3.66751,0.463808,true
has_default__AND__has_minimum,has_default,has_minimum,130,1693,0.071311,264,721,498,4983,0.53012,0.144692,3.66379,0.385429,true
has_allOf__AND__has_minimum,has_allOf,has_minimum,9,1814,0.00493692,20,965,31,5450,0.645161,0.177064,3.64366,0.468097,true
has_allOf__AND__has_required,has_allOf,has_required,37,1786,0.0202962,88,897,144,5337,0.611111,0.168072,3.63601,0.443039,true
has_allOf__AND__has_properties,has_allOf,has_properties,42,1781,0.0230389,93,892,153,5328,0.607843,0.167417,3.6307,0.440426,true
has_allOf__AND__has_type,has_allOf,has_type,42,1781,0.0230389,93,892,153,5328,0.607843,0.167417,3.6307,0.440426,true
has_allOf__AND__has_enum,has_allOf,has_enum,25,1798,0.0137137,48,937,78,5403,0.615385,0.173422,3.54848,0.441962,true
has_allOf__AND__has_boolean_schema,has_allOf,has_boolean_schema,22,1801,0.012068,62,923,104,5377,0.596154,0.171657,3.47294,0.424497,true
has_items__AND__has_not,has_items,has_not,12,1811,0.00658256,25,960,41,5440,0.609756,0.176471,3.45528,0.433286,true
has_allOf__AND__has_pattern,has_allOf,has_pattern,10,1813,0.00548546,23,962,38,5443,0.605263,0.176741,3.42458,0.428522,true
has_additionalProperties__AND__has_allOf,has_additionalProperties,has_allOf,23,1800,0.0126166,62,923,109,5372,0.568807,0.171817,3.31054,0.396991,true
has_not__AND__has_oneOf,has_not,has_oneOf,13,1810,0.0071311,24,961,43,5438,0.55814,0.176719,3.15834,0.38142,true
has_allOf__AND__has_defs,has_allOf,has_defs,37,1786,0.0202962,63,922,123,5358,0.512195,0.172079,2.97651,0.340116,true
has_allOf__AND__has_ref,has_allOf,has_ref,37,1786,0.0202962,63,922,123,5358,0.512195,0.172079,2.97651,0.340116,true
has_exclusiveMinimum__AND__has_items,has_exclusiveMinimum,has_items,5,1818,0.00274273,17,968,34,5447,0.5,0.177713,2.81353,0.322287,true
has_anyOf__AND__has_minItems,has_anyOf,has_minItems,32,1791,0.0175535,76,909,160,5321,0.475,0.170833,2.7805,0.304167,true
has_enum__AND__has_not,has_enum,has_not,19,1804,0.0104224,34,951,70,5411,0.485714,0.175753,2.76362,0.309961,true
has_anyOf__AND__has_minLength,has_anyOf,has_minLength,25,1798,0.0137137,59,926,124,5357,0.475806,0.172858,2.75259,0.302949,true
has_anyOf__AND__has_default,has_anyOf,has_default,12,1811,0.00658256,21,964,44,5437,0.477273,0.177304,2.69184,0.299969,true
has_not__AND__has_properties,has_not,has_properties,20,1803,0.0109709,34,951,73,5408,0.465753,0.175851,2.64857,0.289903,true
has_not__AND__has_required,has_not,has_required,20,1803,0.0109709,34,951,73,5408,0.465753,0.175851,2.64857,0.289903,true
has_not__AND__has_type,has_not,has_type,20,1803,0.0109709,34,951,73,5408,0.465753,0.175851,2.64857,0.289903,true
has_exclusiveMinimum__AND__has_properties,has_exclusiveMinimum,has_properties,9,1814,0.00493692,22,963,47,5434,0.468085,0.177218,2.6413,0.290868,true
has_exclusiveMinimum__AND__has_required,has_exclusiveMinimum,has_required,9,1814,0.00493692,22,963,47,5434,0.468085,0.177218,2.6413,0.290868,true
has_exclusiveMinimum__AND__has_type,has_exclusiveMinimum,has_type,9,1814,0.00493692,22,963,47,5434,0.468085,0.177218,2.6413,0.290868,true
has_anyOf__AND__has_boolean_schema,has_anyOf,has_boolean_schema,51,1772,0.0279759,111,874,255,5226,0.435294,0.167241,2.6028,0.268053,true
has_anyOf__AND__has_oneOf,has_anyOf,has_oneOf,20,1803,0.0109709,30,955,66,5415,0.454545,0.176362,2.57734,0.278183,true
has_defs__AND__has_not,has_defs,has_not,16,1807,0.00877674,25,960,55,5426,0.454545,0.176926,2.56913,0.27762,true
has_not__AND__has_ref,has_not,has_ref,16,1807,0.00877674,25,960,55,5426,0.454545,0.176926,2.56913,0.27762,true
has_anyOf__AND__has_not,has_anyOf,has_not,8,1815,0.00438837,13,972,29,5452,0.448276,0.178283,2.5144,0.269993,true
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,49,1774,0.0268788,85,900,202,5279,0.420792,0.170487,2.46818,0.250305,true
has_additionalProperties__AND__has_anyOf,has_additionalProperties,has_anyOf,56,1767,0.0307186,112,873,271,5210,0.413284,0.167562,2.46645,0.245722,true
has_default__AND__has_maximum,has_default,has_maximum,45,1778,0.0246846,66,919,163,5318,0.404908,0.172809,2.34309,0.232099,true
has_additionalProperties__AND__has_not,has_additionalProperties,has_not,16,1807,0.00877674,26,959,63,5418,0.412698,0.177003,2.3316,0.235696,true
