feature,schemas_with_feature,schemas_without_feature,timeout_with_feature,timeout_without_feature,timeout_rate_with,timeout_rate_without,lift,support,global_timeout_rate
has_properties,1819,4,107,0,0.0588235,0,inf,0.997806,0.0586945
has_type,1823,0,107,0,0.0586945,0,inf,1,0.0586945
has_maxLength,252,1571,96,11,0.380952,0.00700191,54.4069,0.138234,0.0586945
has_pattern,512,1311,98,9,0.191406,0.00686499,27.8815,0.280856,0.0586945
has_minLength,313,1510,91,16,0.290735,0.010596,27.4381,0.171695,0.0586945
has_maxItems,90,1733,19,88,0.211111,0.050779,4.15745,0.0493692,0.0586945
has_boolean_schema,825,998,80,27,0.0969697,0.0270541,3.58429,0.452551,0.0586945
has_additionalProperties,852,971,80,27,0.0938967,0.0278064,3.3768,0.467361,0.0586945
has_maximum,111,1712,19,88,0.171171,0.0514019,3.33006,0.0608886,0.0586945
has_patternProperties,119,1704,16,91,0.134454,0.0534038,2.51768,0.065277,0.0586945
has_enum,808,1015,69,38,0.085396,0.0374384,2.28097,0.443225,0.0586945
large_enum,267,1556,25,82,0.093633,0.0526992,1.77674,0.146462,0.0586945
has_oneOf,182,1641,16,91,0.0879121,0.055454,1.58532,0.0998354,0.0586945
has_minimum,302,1521,22,85,0.0728477,0.0558843,1.30354,0.165661,0.0586945
many_properties,1268,555,79,28,0.0623028,0.0504505,1.23493,0.695557,0.0586945
has_default,485,1338,27,80,0.0556701,0.0597907,0.931082,0.266045,0.0586945
has_const,19,1804,1,106,0.0526316,0.0587583,0.89573,0.0104224,0.0586945
has_items,990,833,55,52,0.0555556,0.062425,0.889957,0.543061,0.0586945
deep_schema,338,1485,16,91,0.0473373,0.0612795,0.772482,0.185409,0.0586945
has_required,1365,458,74,33,0.0542125,0.0720524,0.752403,0.748766,0.0586945
has_minProperties,29,1794,1,106,0.0344828,0.0590858,0.583604,0.0159078,0.0586945
has_minItems,227,1596,6,101,0.0264317,0.0632832,0.417673,0.12452,0.0586945
many_required,827,996,21,86,0.025393,0.0863454,0.294086,0.453648,0.0586945
has_ref,442,1381,7,100,0.0158371,0.0724113,0.21871,0.242457,0.0586945
has_defs,471,1352,7,100,0.014862,0.0739645,0.200934,0.258365,0.0586945
has_allOf,42,1781,0,107,0,0.0600786,0,0.0230389,0.0586945
has_anyOf,92,1731,0,107,0,0.061814,0,0.0504663,0.0586945
has_contains,1,1822,0,107,0,0.0587267,0,0.000548546,0.0586945
has_content,2,1821,0,107,0,0.0587589,0,0.00109709,0.0586945
has_exclusiveMinimum,9,1814,0,107,0,0.0589857,0,0.00493692,0.0586945
has_if_then_else,4,1819,0,107,0,0.0588235,0,0.00219419,0.0586945
has_maxProperties,10,1813,0,107,0,0.0590182,0,0.00548546,0.0586945
has_multipleOf,9,1814,0,107,0,0.0589857,0,0.00493692,0.0586945
has_not,20,1803,0,107,0,0.0593455,0,0.0109709,0.0586945
has_propertyNames,3,1820,0,107,0,0.0587912,0,0.00164564,0.0586945
