feature,schemas_with_feature,schemas_without_feature,under_with_feature,under_without_feature,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,support,global_under_rate,eligible_lift
has_allOf,42,1781,93,892,153,5328,0.607843,0.167417,3.6307,0.440426,0.0230389,0.179712,true
has_not,20,1803,34,951,73,5408,0.465753,0.175851,2.64857,0.289903,0.0109709,0.179712,true
has_exclusiveMinimum,9,1814,22,963,47,5434,0.468085,0.177218,2.6413,0.290868,0.00493692,0.179712,true
has_minimum,302,1521,407,578,1308,4173,0.311162,0.138509,2.2465,0.172653,0.165661,0.179712,true
has_minItems,227,1596,312,673,979,4502,0.318693,0.149489,2.13188,0.169203,0.12452,0.179712,true
has_anyOf,92,1731,137,848,396,5085,0.34596,0.166765,2.07453,0.179195,0.0504663,0.179712,true
has_maximum,111,1712,136,849,455,5026,0.298901,0.168922,1.76947,0.129979,0.0608886,0.179712,true
has_maxItems,90,1733,90,895,328,5153,0.27439,0.173685,1.57981,0.100705,0.0493692,0.179712,true
has_default,485,1338,351,634,1427,4054,0.245971,0.156389,1.57281,0.0895818,0.266045,0.179712,true
has_required,1365,458,827,158,4227,1254,0.195647,0.125997,1.55279,0.0696502,0.748766,0.179712,true
has_minProperties,29,1794,23,962,100,5381,0.23,0.178777,1.28652,0.0512228,0.0159078,0.179712,true
has_oneOf,182,1641,110,875,489,4992,0.224949,0.17528,1.28337,0.0496684,0.0998354,0.179712,true
has_boolean_schema,825,998,509,476,2666,2815,0.190923,0.169094,1.12909,0.0218286,0.452551,0.179712,true
has_additionalProperties,852,971,513,472,2785,2696,0.184201,0.175074,1.05213,0.00912689,0.467361,0.179712,true
large_enum,267,1556,129,856,766,4715,0.168407,0.181548,0.927617,-0.0131409,0.146462,0.179712,true
has_minLength,313,1510,181,804,1082,4399,0.167283,0.182769,0.91527,-0.015486,0.171695,0.179712,true
has_ref,442,1381,253,732,1511,3970,0.167439,0.184383,0.908104,-0.0169441,0.242457,0.179712,true
many_required,827,996,456,529,2703,2778,0.168701,0.190425,0.885922,-0.0217233,0.453648,0.179712,true
has_const,19,1804,11,974,70,5411,0.157143,0.180004,0.872998,-0.0228608,0.0104224,0.179712,true
has_defs,471,1352,261,724,1637,3844,0.159438,0.188345,0.846519,-0.0289075,0.258365,0.179712,true
has_maxLength,252,1571,110,875,745,4736,0.147651,0.184755,0.799172,-0.0371041,0.138234,0.179712,true
has_items,990,833,527,458,3298,2183,0.159794,0.209803,0.761637,-0.0500092,0.543061,0.179712,true
deep_schema,338,1485,143,842,1000,4481,0.143,0.187904,0.761025,-0.0449045,0.185409,0.179712,true
many_properties,1268,555,631,354,3911,1570,0.16134,0.225478,0.715547,-0.0641379,0.695557,0.179712,true
has_enum,808,1015,335,650,2388,3093,0.140285,0.210152,0.66754,-0.0698672,0.443225,0.179712,true
has_pattern,512,1311,266,719,1960,3521,0.135714,0.204203,0.664604,-0.0684891,0.280856,0.179712,true
has_maxProperties,10,1813,3,982,36,5445,0.0833333,0.180349,0.462067,-0.0970156,0.00548546,0.179712,true
has_patternProperties,119,1704,11,974,295,5186,0.0372881,0.187813,0.198538,-0.150525,0.065277,0.179712,true
has_type,1823,0,985,0,5481,0,0.179712,0,inf,0.179712,1,0.179712,false
has_multipleOf,9,1814,10,975,18,5463,0.555556,0.178473,3.11282,0.377082,0.00493692,0.179712,false
has_properties,1819,4,983,2,5479,2,0.179412,1,0.179412,-0.820588,0.997806,0.179712,false
has_contains,1,1822,0,985,2,5479,0,0.179777,0,-0.179777,0.000548546,0.179712,false
has_content,2,1821,0,985,4,5477,0,0.179843,0,-0.179843,0.00109709,0.179712,false
has_if_then_else,4,1819,0,985,13,5468,0,0.180139,0,-0.180139,0.00219419,0.179712,false
has_propertyNames,3,1820,0,985,13,5468,0,0.180139,0,-0.180139,0.00164564,0.179712,false
