schema_id,test_id,tokens_checked,num_tokens,rejection_ratio,first_rejected_token_index
Github_medium---o10078.json,Github_medium---o10078.json::test_00001,65,133,0.488722,64
Github_medium---o10297.json,Github_medium---o10297.json::test_00000,29,541,0.0536044,28
Github_medium---o10297.json,Github_medium---o10297.json::test_00001,29,542,0.0535055,28
Github_medium---o1050.json,Github_medium---o1050.json::test_00000,114,131,0.870229,113
Github_medium---o1050.json,Github_medium---o1050.json::test_00001,114,132,0.863636,113
Github_medium---o11684.json,Github_medium---o11684.json::test_00000,0,177,0,
Github_medium---o11795.json,Github_medium---o11795.json::test_00000,259,266,0.973684,258
Github_medium---o11975.json,Github_medium---o11975.json::test_00000,102,294,0.346939,101
Github_medium---o12210.json,Github_medium---o12210.json::test_00000,2,197,0.0101523,1
Github_medium---o12210.json,Github_medium---o12210.json::test_00007,181,201,0.900498,180
Github_medium---o12279.json,Github_medium---o12279.json::test_00000,127,187,0.679144,126
Github_medium---o12279.json,Github_medium---o12279.json::test_00001,127,187,0.679144,126
Github_medium---o12455.json,Github_medium---o12455.json::test_00000,1,257,0.00389105,0
Github_medium---o12455.json,Github_medium---o12455.json::test_00001,1,126,0.00793651,0
Github_medium---o12456.json,Github_medium---o12456.json::test_00000,152,381,0.39895,151
Github_medium---o12456.json,Github_medium---o12456.json::test_00001,150,379,0.395778,149
Github_medium---o12458.json,Github_medium---o12458.json::test_00000,1,440,0.00227273,0
Github_medium---o12458.json,Github_medium---o12458.json::test_00001,1,441,0.00226757,0
Github_medium---o13.json,Github_medium---o13.json::test_00000,68,197,0.345178,67
Github_medium---o13402.json,Github_medium---o13402.json::test_00000,31,144,0.215278,30
Github_medium---o13402.json,Github_medium---o13402.json::test_00001,31,143,0.216783,30
Github_medium---o13404.json,Github_medium---o13404.json::test_00000,234,250,0.936,233
Github_medium---o13404.json,Github_medium---o13404.json::test_00002,206,215,0.95814,205
Github_medium---o13655.json,Github_medium---o13655.json::test_00000,8,237,0.0337553,7
Github_medium---o13655.json,Github_medium---o13655.json::test_00004,8,170,0.0470588,7
Github_medium---o13692.json,Github_medium---o13692.json::test_00000,94,167,0.562874,93
Github_medium---o13694.json,Github_medium---o13694.json::test_00000,20,220,0.0909091,19
Github_medium---o13694.json,Github_medium---o13694.json::test_00003,20,287,0.0696864,19
Github_medium---o14405.json,Github_medium---o14405.json::test_00000,6,117,0.0512821,5
Github_medium---o14405.json,Github_medium---o14405.json::test_00001,6,105,0.0571429,5
Github_medium---o14459.json,Github_medium---o14459.json::test_00000,160,167,0.958084,159
Github_medium---o14459.json,Github_medium---o14459.json::test_00002,221,228,0.969298,220
Github_medium---o14478.json,Github_medium---o14478.json::test_00000,74,163,0.453988,73
Github_medium---o14512.json,Github_medium---o14512.json::test_00000,1,98,0.0102041,0
Github_medium---o14512.json,Github_medium---o14512.json::test_00001,1,99,0.010101,0
Github_medium---o15221.json,Github_medium---o15221.json::test_00000,203,224,0.90625,202
Github_medium---o15221.json,Github_medium---o15221.json::test_00001,279,298,0.936242,278
Github_medium---o16047.json,Github_medium---o16047.json::test_00000,12,224,0.0535714,11
Github_medium---o16047.json,Github_medium---o16047.json::test_00001,12,246,0.0487805,11
Github_medium---o17121.json,Github_medium---o17121.json::test_00000,98,202,0.485149,97
Github_medium---o17121.json,Github_medium---o17121.json::test_00003,102,212,0.481132,101
Github_medium---o17131.json,Github_medium---o17131.json::test_00000,31,100,0.31,30
Github_medium---o17131.json,Github_medium---o17131.json::test_00001,31,135,0.22963,30
Github_medium---o17648.json,Github_medium---o17648.json::test_00000,5,138,0.0362319,4
Github_medium---o17648.json,Github_medium---o17648.json::test_00001,5,102,0.0490196,4
Github_medium---o19067.json,Github_medium---o19067.json::test_00000,11,143,0.0769231,10
Github_medium---o19067.json,Github_medium---o19067.json::test_00001,11,231,0.047619,10
Github_medium---o20377.json,Github_medium---o20377.json::test_00000,21,96,0.21875,20
Github_medium---o20377.json,Github_medium---o20377.json::test_00001,19,88,0.215909,18
Github_medium---o2050.json,Github_medium---o2050.json::test_00000,5,160,0.03125,4
Github_medium---o21093.json,Github_medium---o21093.json::test_00000,151,157,0.961783,150
Github_medium---o21095.json,Github_medium---o21095.json::test_00000,266,272,0.977941,265
Github_medium---o21100.json,Github_medium---o21100.json::test_00000,153,159,0.962264,152
Github_medium---o21142.json,Github_medium---o21142.json::test_00000,36,276,0.130435,35
Github_medium---o21142.json,Github_medium---o21142.json::test_00001,36,282,0.12766,35
Github_medium---o21726.json,Github_medium---o21726.json::test_00000,71,99,0.717172,70
Github_medium---o21779.json,Github_medium---o21779.json::test_00000,84,441,0.190476,83
Github_medium---o21779.json,Github_medium---o21779.json::test_00005,56,393,0.142494,55
Github_medium---o21849.json,Github_medium---o21849.json::test_00000,84,140,0.6,83
Github_medium---o21849.json,Github_medium---o21849.json::test_00001,84,140,0.6,83
Github_medium---o21850.json,Github_medium---o21850.json::test_00000,21,75,0.28,20
Github_medium---o21850.json,Github_medium---o21850.json::test_00001,19,91,0.208791,18
Github_medium---o21851.json,Github_medium---o21851.json::test_00000,45,75,0.6,44
Github_medium---o21851.json,Github_medium---o21851.json::test_00001,44,74,0.594595,43
Github_medium---o21852.json,Github_medium---o21852.json::test_00000,19,58,0.327586,18
Github_medium---o21852.json,Github_medium---o21852.json::test_00001,19,58,0.327586,18
Github_medium---o22094.json,Github_medium---o22094.json::test_00001,11,91,0.120879,10
Github_medium---o22449.json,Github_medium---o22449.json::test_00000,23,145,0.158621,22
Github_medium---o227.json,Github_medium---o227.json::test_00000,2,234,0.00854701,1
Github_medium---o227.json,Github_medium---o227.json::test_00001,2,235,0.00851064,1
Github_medium---o23177.json,Github_medium---o23177.json::test_00000,112,215,0.52093,111
Github_medium---o23177.json,Github_medium---o23177.json::test_00001,112,296,0.378378,111
Github_medium---o24462.json,Github_medium---o24462.json::test_00000,332,351,0.945869,331
Github_medium---o24462.json,Github_medium---o24462.json::test_00004,316,335,0.943284,315
Github_medium---o24463.json,Github_medium---o24463.json::test_00000,60,136,0.441176,59
Github_medium---o24463.json,Github_medium---o24463.json::test_00001,62,138,0.449275,61
Github_medium---o24464.json,Github_medium---o24464.json::test_00000,40,463,0.0863931,39
Github_medium---o24464.json,Github_medium---o24464.json::test_00004,40,438,0.0913242,39
Github_medium---o24468.json,Github_medium---o24468.json::test_00000,140,209,0.669856,139
Github_medium---o24468.json,Github_medium---o24468.json::test_00007,141,210,0.671429,140
Github_medium---o24987.json,Github_medium---o24987.json::test_00000,4,165,0.0242424,3
Github_medium---o24987.json,Github_medium---o24987.json::test_00003,4,114,0.0350877,3
Github_medium---o25692.json,Github_medium---o25692.json::test_00000,15,241,0.0622407,14
Github_medium---o25692.json,Github_medium---o25692.json::test_00001,15,228,0.0657895,14
Github_medium---o25695.json,Github_medium---o25695.json::test_00000,15,195,0.0769231,14
Github_medium---o25695.json,Github_medium---o25695.json::test_00001,15,197,0.0761421,14
Github_medium---o25763.json,Github_medium---o25763.json::test_00000,33,154,0.214286,32
Github_medium---o25763.json,Github_medium---o25763.json::test_00001,33,154,0.214286,32
Github_medium---o25979.json,Github_medium---o25979.json::test_00003,93,108,0.861111,92
Github_medium---o26197.json,Github_medium---o26197.json::test_00000,47,195,0.241026,46
Github_medium---o26197.json,Github_medium---o26197.json::test_00001,47,195,0.241026,46
Github_medium---o26257.json,Github_medium---o26257.json::test_00000,58,247,0.234818,57
Github_medium---o26257.json,Github_medium---o26257.json::test_00004,58,224,0.258929,57
Github_medium---o26592.json,Github_medium---o26592.json::test_00000,197,227,0.867841,196
Github_medium---o26966.json,Github_medium---o26966.json::test_00000,24,95,0.252632,23
Github_medium---o26966.json,Github_medium---o26966.json::test_00002,24,95,0.252632,23
Github_medium---o26969.json,Github_medium---o26969.json::test_00000,26,97,0.268041,25
Github_medium---o26969.json,Github_medium---o26969.json::test_00003,29,100,0.29,28
Github_medium---o28953.json,Github_medium---o28953.json::test_00000,98,264,0.371212,97
Github_medium---o28953.json,Github_medium---o28953.json::test_00006,86,287,0.299652,85
Github_medium---o29393.json,Github_medium---o29393.json::test_00000,96,263,0.365019,95
Github_medium---o29393.json,Github_medium---o29393.json::test_00001,97,257,0.377432,96
Github_medium---o29932.json,Github_medium---o29932.json::test_00000,12,223,0.0538117,11
Github_medium---o29934.json,Github_medium---o29934.json::test_00000,37,175,0.211429,36
Github_medium---o29941.json,Github_medium---o29941.json::test_00000,33,217,0.152074,32
Github_medium---o29991.json,Github_medium---o29991.json::test_00000,3,81,0.037037,2
Github_medium---o30027.json,Github_medium---o30027.json::test_00000,3,205,0.0146341,2
Github_medium---o30042.json,Github_medium---o30042.json::test_00000,26,198,0.131313,25
Github_medium---o30045.json,Github_medium---o30045.json::test_00000,26,152,0.171053,25
Github_medium---o30059.json,Github_medium---o30059.json::test_00000,26,256,0.101562,25
Github_medium---o30062.json,Github_medium---o30062.json::test_00000,26,169,0.153846,25
Github_medium---o30212.json,Github_medium---o30212.json::test_00000,3,237,0.0126582,2
Github_medium---o30213.json,Github_medium---o30213.json::test_00000,83,183,0.453552,82
Github_medium---o30265.json,Github_medium---o30265.json::test_00000,9,116,0.0775862,8
Github_medium---o30271.json,Github_medium---o30271.json::test_00000,3,83,0.0361446,2
Github_medium---o30308.json,Github_medium---o30308.json::test_00000,12,131,0.0916031,11
Github_medium---o30309.json,Github_medium---o30309.json::test_00000,3,115,0.026087,2
Github_medium---o30322.json,Github_medium---o30322.json::test_00000,3,113,0.0265487,2
Github_medium---o30398.json,Github_medium---o30398.json::test_00000,19,118,0.161017,18
Github_medium---o30410.json,Github_medium---o30410.json::test_00000,3,199,0.0150754,2
Github_medium---o30411.json,Github_medium---o30411.json::test_00000,11,104,0.105769,10
Github_medium---o30439.json,Github_medium---o30439.json::test_00000,3,196,0.0153061,2
Github_medium---o30506.json,Github_medium---o30506.json::test_00000,3,118,0.0254237,2
Github_medium---o30510.json,Github_medium---o30510.json::test_00000,3,93,0.0322581,2
Github_medium---o30518.json,Github_medium---o30518.json::test_00000,3,298,0.0100671,2
Github_medium---o30538.json,Github_medium---o30538.json::test_00000,15,176,0.0852273,14
Github_medium---o30651.json,Github_medium---o30651.json::test_00000,135,151,0.89404,134
Github_medium---o30734.json,Github_medium---o30734.json::test_00000,19,296,0.0641892,18
Github_medium---o30735.json,Github_medium---o30735.json::test_00000,36,358,0.100559,35
Github_medium---o30756.json,Github_medium---o30756.json::test_00000,28,163,0.171779,27
Github_medium---o30756.json,Github_medium---o30756.json::test_00002,28,156,0.179487,27
Github_medium---o30761.json,Github_medium---o30761.json::test_00000,3,140,0.0214286,2
Github_medium---o30776.json,Github_medium---o30776.json::test_00000,70,134,0.522388,69
Github_medium---o30832.json,Github_medium---o30832.json::test_00000,115,295,0.389831,114
Github_medium---o30846.json,Github_medium---o30846.json::test_00000,5,141,0.035461,4
Github_medium---o30846.json,Github_medium---o30846.json::test_00002,5,201,0.0248756,4
Github_medium---o30847.json,Github_medium---o30847.json::test_00000,23,189,0.121693,22
