characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,456,87,858,0.177632,0.177632,0.161079,0.169421,0.0307018
schema_json_chars,q2_mid_low,456,859,1295,0.22807,0.203947,0.193975,0.203209,0.0635965
schema_json_chars,q3_mid_high,455,1296,1812,0.276923,0.243956,0.200555,0.23783,0.0681319
schema_json_chars,q4_high,456,1813,40076,0.234649,0.282895,0.161401,0.272346,0.0723684
schema_file_bytes,q1_low,456,1002,5791,0.151316,0.234649,0.184049,0.220651,0.0219298
schema_file_bytes,q2_mid_low,456,5795,8546,0.252193,0.230263,0.228785,0.216041,0.0219298
schema_file_bytes,q3_mid_high,455,8553,12764,0.281319,0.184615,0.205128,0.174338,0.0857143
schema_file_bytes,q4_high,456,12767,92893,0.232456,0.258772,0.130624,0.271067,0.105263
nb_keywords,q1_low,477,3,28,0.142558,0.21174,0.120393,0.190039,0.0251572
nb_keywords,q2_mid_low,438,29,38,0.248858,0.214612,0.203415,0.200837,0.0319635
nb_keywords,q3_mid_high,452,39,52,0.292035,0.201327,0.216793,0.197756,0.0884956
nb_keywords,q4_high,456,53,970,0.239035,0.280702,0.170548,0.294693,0.0899123
nb_properties,q1_low,555,0,9,0.25045,0.194595,0.225478,0.195627,0.0504505
nb_properties,q2_mid_low,390,10,12,0.264103,0.210256,0.199477,0.193344,0.0487179
nb_properties,q3_mid_high,434,13,17,0.237327,0.235023,0.183818,0.227723,0.0599078
nb_properties,q4_high,444,18,386,0.164414,0.274775,0.105613,0.267806,0.0765766
nb_required,q1_low,481,0,0,0.143451,0.22869,0.124708,0.206711,0.0686071
nb_required,q2_mid_low,515,1,4,0.293204,0.209709,0.246823,0.217772,0.102913
nb_required,q3_mid_high,432,5,8,0.240741,0.217593,0.192447,0.207574,0.025463
nb_required,q4_high,395,9,77,0.237975,0.258228,0.144042,0.253067,0.0253165
schema_depth,q1_low,766,0,4,0.224543,0.195822,0.197394,0.175824,0.0718016
schema_depth,q2_mid_low,227,5,5,0.251101,0.193833,0.156939,0.179894,0.0176211
schema_depth,q3_mid_high,492,6,7,0.25813,0.245935,0.190476,0.249689,0.0650407
schema_depth,q4_high,338,8,16,0.183432,0.292899,0.143,0.302026,0.0473373
nb_branches_combinators,q1_low,1558,0,0,0.215019,0.207317,0.16479,0.194557,0.0584082
nb_branches_combinators,q2_mid_low,0,,,0,0,0,0,0
nb_branches_combinators,q3_mid_high,0,,,0,0,0,0,0
nb_branches_combinators,q4_high,265,1,46,0.313208,0.343396,0.25956,0.362416,0.0603774
nb_enum_values,q1_low,1015,0,0,0.252217,0.190148,0.210152,0.18547,0.0374384
nb_enum_values,q2_mid_low,0,,,0,0,0,0,0
nb_enum_values,q3_mid_high,369,1,4,0.203252,0.216802,0.137581,0.219895,0.0677507
nb_enum_values,q4_high,439,5,1554,0.198178,0.321185,0.142529,0.312597,0.100228
nb_regex,q1_low,1243,0,0,0.24457,0.198713,0.21435,0.172182,0.00724055
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,213,1,1,0.15493,0.305164,0.0898876,0.311475,0.0328638
nb_regex,q4_high,367,2,16,0.220708,0.277929,0.150883,0.366812,0.247956
n_tests,q1_low,488,1,3,0.0963115,0.331967,0.115854,0.320652,0.00614754
n_tests,q2_mid_low,714,4,5,0.221289,0.211485,0.161945,0.2,0.0364146
n_tests,q3_mid_high,188,6,6,0.319149,0.196809,0.185237,0.211268,0.111702
n_tests,q4_high,433,7,18,0.353349,0.147806,0.205,0.151694,0.13164
mean_num_tokens,q1_low,427,12,86.8571,0.288056,0.168618,0.282496,0.155198,0
mean_num_tokens,q2_mid_low,427,87,135,0.311475,0.194379,0.221347,0.167575,0
mean_num_tokens,q3_mid_high,427,135.333,214.333,0.194379,0.271663,0.137213,0.251012,0.00234192
mean_num_tokens,q4_high,427,214.429,2917,0.185012,0.311475,0.10736,0.283765,0.00234192
