schema_id,test_id,expected_validity,actual_result,accepted,result_available,constraint_case,compile_grammar_s,validation_loop_s,compute_mask_s,commit_token_s,num_tokens,tokens_checked
Github_medium---o1.json,Github_medium---o1.json::test_00000,valid,timeout,,False,no_decision,,,,,,
Github_medium---o1.json,Github_medium---o1.json::test_00001,invalid,timeout,,False,no_decision,,,,,,
Github_medium---o1.json,Github_medium---o1.json::test_00002,invalid,timeout,,False,no_decision,,,,,,
Github_medium---o1.json,Github_medium---o1.json::test_00003,invalid,timeout,,False,no_decision,,,,,,
Github_medium---o1.json,Github_medium---o1.json::test_00004,invalid,timeout,,False,no_decision,,,,,,
Github_medium---o1.json,Github_medium---o1.json::test_00005,invalid,timeout,,False,no_decision,,,,,,
Github_medium---o1.json,Github_medium---o1.json::test_00006,invalid,timeout,,False,no_decision,,,,,,
Github_medium---o1.json,Github_medium---o1.json::test_00007,invalid,timeout,,False,no_decision,,,,,,
Github_medium---o1.json,Github_medium---o1.json::test_00008,invalid,timeout,,False,no_decision,,,,,,
Github_medium---o1.json,Github_medium---o1.json::test_00009,invalid,timeout,,False,no_decision,,,,,,
Github_medium---o1.json,Github_medium---o1.json::test_00010,invalid,timeout,,False,no_decision,,,,,,
Github_medium---o10078.json,Github_medium---o10078.json::test_00000,valid,passed,True,True,correct_accept,2.74392,0.004747,0.00444,5e-05,125,125
Github_medium---o10078.json,Github_medium---o10078.json::test_00001,valid,failed,False,True,over_constraint,2.74392,0.001597,0.00143,3.3e-05,133,65
Github_medium---o10078.json,Github_medium---o10078.json::test_00002,invalid,passed,False,True,correct_reject,2.74392,0.001142,0.001005,3.1e-05,123,55
Github_medium---o10078.json,Github_medium---o10078.json::test_00003,invalid,passed,False,True,correct_reject,2.74392,0.001307,0.001205,2.1e-05,140,39
Github_medium---o10079.json,Github_medium---o10079.json::test_00000,valid,passed,True,True,correct_accept,2.34071,0.003095,0.002806,6.6e-05,105,105
Github_medium---o10079.json,Github_medium---o10079.json::test_00001,invalid,failed,True,True,under_constraint,2.34071,0.003021,0.002759,4.7e-05,104,104
Github_medium---o10079.json,Github_medium---o10079.json::test_00002,invalid,passed,False,True,correct_reject,2.34071,0.003554,0.003319,9.2e-05,111,39
Github_medium---o10079.json,Github_medium---o10079.json::test_00003,invalid,failed,True,True,under_constraint,2.34071,0.003127,0.002851,5.4e-05,104,104
Github_medium---o10079.json,Github_medium---o10079.json::test_00004,invalid,passed,False,True,correct_reject,2.34071,0.003212,0.002984,9.2e-05,117,39
Github_medium---o10079.json,Github_medium---o10079.json::test_00005,valid,passed,True,True,correct_accept,2.34071,0.006148,0.005843,6.9e-05,109,109
Github_medium---o10079.json,Github_medium---o10079.json::test_00006,invalid,failed,True,True,under_constraint,2.34071,0.006114,0.005807,7.3e-05,109,109
Github_medium---o10079.json,Github_medium---o10079.json::test_00007,invalid,passed,False,True,correct_reject,2.34071,0.001421,0.001312,2.3e-05,128,39
Github_medium---o102.json,Github_medium---o102.json::test_00000,valid,passed,True,True,correct_accept,2.78045,0.010016,0.009124,0.000216,346,346
Github_medium---o102.json,Github_medium---o102.json::test_00001,invalid,passed,False,True,correct_reject,2.78045,0.005226,0.004837,0.000117,138,133
Github_medium---o102.json,Github_medium---o102.json::test_00002,valid,passed,True,True,correct_accept,2.78045,0.005549,0.005142,9.4e-05,169,169
Github_medium---o10217.json,Github_medium---o10217.json::test_00000,valid,passed,True,True,correct_accept,1.15805,0.002634,0.002327,6.8e-05,129,129
Github_medium---o10217.json,Github_medium---o10217.json::test_00001,invalid,passed,False,True,correct_reject,1.15805,0.001232,0.001085,4.1e-05,119,56
Github_medium---o10217.json,Github_medium---o10217.json::test_00002,valid,passed,True,True,correct_accept,1.15805,0.003553,0.003188,8.9e-05,149,149
Github_medium---o10217.json,Github_medium---o10217.json::test_00003,invalid,passed,False,True,correct_reject,1.15805,9.2e-05,6.3e-05,1e-05,149,8
Github_medium---o10297.json,Github_medium---o10297.json::test_00000,valid,failed,False,True,over_constraint,3.22688,0.00069,0.000587,3.1e-05,541,29
Github_medium---o10297.json,Github_medium---o10297.json::test_00001,valid,failed,False,True,over_constraint,3.22688,0.000751,0.000631,4.2e-05,542,29
Github_medium---o10297.json,Github_medium---o10297.json::test_00002,invalid,passed,False,True,correct_reject,3.22688,0.000206,0.000172,1.6e-05,525,6
Github_medium---o10314.json,Github_medium---o10314.json::test_00000,valid,timeout,,False,no_decision,,,,,,
Github_medium---o10314.json,Github_medium---o10314.json::test_00001,valid,timeout,,False,no_decision,,,,,,
Github_medium---o10314.json,Github_medium---o10314.json::test_00002,invalid,timeout,,False,no_decision,,,,,,
Github_medium---o10314.json,Github_medium---o10314.json::test_00003,invalid,timeout,,False,no_decision,,,,,,
Github_medium---o10314.json,Github_medium---o10314.json::test_00004,invalid,timeout,,False,no_decision,,,,,,
Github_medium---o10314.json,Github_medium---o10314.json::test_00005,invalid,timeout,,False,no_decision,,,,,,
Github_medium---o1050.json,Github_medium---o1050.json::test_00000,valid,failed,False,True,over_constraint,49.1007,0.016095,0.015602,0.000178,131,114
Github_medium---o1050.json,Github_medium---o1050.json::test_00001,valid,failed,False,True,over_constraint,49.1007,0.01952,0.018912,0.000256,132,114
