schema_id,dataset_id,schema_path,test_id,test_index,expected_validity,framework_id,framework,actual_result,accepted,result_available,schema_file_bytes,schema_json_chars,instance_json_chars,engine_tokenizer_load_us,engine_init_us,schema_load_us,compile_grammar_us,test_json_dumps_us,tokenize_us,reset_matcher_us,validation_loop_us,compute_mask_us,commit_token_us,max_compute_mask_us,max_commit_token_us,num_tokens,tokens_checked,first_rejected_token_index,error_message
Github_medium---o1.json,Github_medium,maskbench/data/Github_medium---o1.json,Github_medium---o1.json::test_00000,0,valid,xgr,XGrammar,timeout,,False,15682,692,,1966461,805985,1863,,,,,,,,,,,,,stage=compile_grammar; partial checkpoint before grammar compilation. supervisor_timeout_after_seconds=406.800
Github_medium---o1.json,Github_medium,maskbench/data/Github_medium---o1.json,Github_medium---o1.json::test_00001,1,invalid,xgr,XGrammar,timeout,,False,15682,692,,1966461,805985,1863,,,,,,,,,,,,,stage=compile_grammar; partial checkpoint before grammar compilation. supervisor_timeout_after_seconds=406.800
Github_medium---o1.json,Github_medium,maskbench/data/Github_medium---o1.json,Github_medium---o1.json::test_00002,2,invalid,xgr,XGrammar,timeout,,False,15682,692,,1966461,805985,1863,,,,,,,,,,,,,stage=compile_grammar; partial checkpoint before grammar compilation. supervisor_timeout_after_seconds=406.800
Github_medium---o1.json,Github_medium,maskbench/data/Github_medium---o1.json,Github_medium---o1.json::test_00003,3,invalid,xgr,XGrammar,timeout,,False,15682,692,,1966461,805985,1863,,,,,,,,,,,,,stage=compile_grammar; partial checkpoint before grammar compilation. supervisor_timeout_after_seconds=406.800
Github_medium---o1.json,Github_medium,maskbench/data/Github_medium---o1.json,Github_medium---o1.json::test_00004,4,invalid,xgr,XGrammar,timeout,,False,15682,692,,1966461,805985,1863,,,,,,,,,,,,,stage=compile_grammar; partial checkpoint before grammar compilation. supervisor_timeout_after_seconds=406.800
Github_medium---o1.json,Github_medium,maskbench/data/Github_medium---o1.json,Github_medium---o1.json::test_00005,5,invalid,xgr,XGrammar,timeout,,False,15682,692,,1966461,805985,1863,,,,,,,,,,,,,stage=compile_grammar; partial checkpoint before grammar compilation. supervisor_timeout_after_seconds=406.800
Github_medium---o1.json,Github_medium,maskbench/data/Github_medium---o1.json,Github_medium---o1.json::test_00006,6,invalid,xgr,XGrammar,timeout,,False,15682,692,,1966461,805985,1863,,,,,,,,,,,,,stage=compile_grammar; partial checkpoint before grammar compilation. supervisor_timeout_after_seconds=406.800
Github_medium---o1.json,Github_medium,maskbench/data/Github_medium---o1.json,Github_medium---o1.json::test_00007,7,invalid,xgr,XGrammar,timeout,,False,15682,692,,1966461,805985,1863,,,,,,,,,,,,,stage=compile_grammar; partial checkpoint before grammar compilation. supervisor_timeout_after_seconds=406.800
Github_medium---o1.json,Github_medium,maskbench/data/Github_medium---o1.json,Github_medium---o1.json::test_00008,8,invalid,xgr,XGrammar,timeout,,False,15682,692,,1966461,805985,1863,,,,,,,,,,,,,stage=compile_grammar; partial checkpoint before grammar compilation. supervisor_timeout_after_seconds=406.800
Github_medium---o1.json,Github_medium,maskbench/data/Github_medium---o1.json,Github_medium---o1.json::test_00009,9,invalid,xgr,XGrammar,timeout,,False,15682,692,,1966461,805985,1863,,,,,,,,,,,,,stage=compile_grammar; partial checkpoint before grammar compilation. supervisor_timeout_after_seconds=406.800
