feature,n_schemas,n_completed_tests,under_rate,over_rate,correct_rate,timeout_rate
has_patternProperties,22,70,0,0.939394,0.557143,0
has_not,7,22,0.5,0.25,0.590909,0
has_minProperties,3,9,0,0.6,0.666667,0
has_multipleOf,2,7,0.6,0,0.571429,0
has_maxItems,5,14,0.25,0.333333,0.714286,0
has_allOf,21,67,0.484848,0,0.761194,0
has_minItems,15,61,0.292683,0.15,0.754098,0
has_minLength,28,100,0.123077,0.257143,0.83,0
has_oneOf,46,172,0.179245,0.19697,0.813953,0.0217391
many_required,26,112,0.271429,0.0952381,0.794643,0
deep_schema,29,89,0.2,0.122449,0.842697,0
has_minimum,21,85,0.229508,0.0833333,0.811765,0
many_properties,29,104,0.2,0.102041,0.846154,0
has_maximum,8,36,0.285714,0,0.777778,0
has_boolean_schema,112,380,0.147321,0.121795,0.863158,0.0267857
has_additionalProperties,116,391,0.13913,0.118012,0.869565,0.0258621
has_required,140,468,0.154122,0.100529,0.867521,0.00714286
has_properties,265,852,0.13834,0.0953757,0.879108,0.0113208
has_type,357,1187,0.0928668,0.126126,0.894693,0.0140056
has_pattern,33,158,0.108333,0.105263,0.892405,0.0606061
has_ref,10,47,0.0606061,0.142857,0.914894,0
has_maxLength,22,79,0.0363636,0.166667,0.924051,0.136364
has_items,67,252,0.0925926,0.1,0.904762,0
large_enum,29,90,0.0869565,0.0909091,0.911111,0
has_defs,33,96,0.0434783,0.1,0.927083,0
has_enum,86,303,0.0793651,0.0438596,0.933993,0
has_anyOf,26,120,0.0833333,0,0.941667,0
has_default,29,93,0.05,0,0.967742,0
