feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.292254,0.6,0.5,0.292683,284,5,36,41
has_allOf,0.056338,0,0.138889,0,284,5,36,41
has_anyOf,0.0774648,0,0.111111,0,284,5,36,41
has_boolean_schema,0.278169,0.6,0.5,0.292683,284,5,36,41
has_default,0.0915493,0,0.0833333,0,284,5,36,41
has_defs,0.0985915,0,0.0277778,0.097561,284,5,36,41
has_enum,0.260563,0,0.222222,0.097561,284,5,36,41
has_items,0.172535,0,0.333333,0.146341,284,5,36,41
has_maxItems,0.00704225,0,0.0277778,0.0487805,284,5,36,41
has_maxLength,0.0528169,0.6,0.0555556,0.0487805,284,5,36,41
has_maximum,0.0176056,0,0.0833333,0,284,5,36,41
has_minItems,0.0105634,0,0.25,0.0731707,284,5,36,41
has_minLength,0.0598592,0,0.166667,0.121951,284,5,36,41
has_minProperties,0.00352113,0,0,0.0487805,284,5,36,41
has_minimum,0.0492958,0,0.166667,0.0243902,284,5,36,41
has_multipleOf,0,0,0.0555556,0,284,5,36,41
has_not,0.00704225,0,0.111111,0.0243902,284,5,36,41
has_oneOf,0.0880282,0.2,0.333333,0.195122,284,5,36,41
has_pattern,0.0704225,0.4,0.222222,0.0731707,284,5,36,41
has_patternProperties,0.00704225,0,0,0.487805,284,5,36,41
has_properties,0.714789,0.6,1,0.585366,284,5,36,41
has_ref,0.028169,0,0.0277778,0.0243902,284,5,36,41
has_required,0.366197,0.2,0.638889,0.317073,284,5,36,41
has_type,0.978873,1,0.972222,0.95122,284,5,36,41
large_enum,0.0809859,0,0.0833333,0.0731707,284,5,36,41
many_required,0.0422535,0,0.305556,0.0731707,284,5,36,41
many_properties,0.0669014,0,0.194444,0.0731707,284,5,36,41
deep_schema,0.0704225,0,0.138889,0.097561,284,5,36,41
