feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_additionalProperties + has_oneOf,has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,21,0.0575342,3,3.00411e+06,4.09524,0.0359911,1.65151,0.057265,2.14548,0.137781,0.028169,0.2,0.194444,0.121951,284,5,36,41
[P] has_boolean_schema + has_oneOf,has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,22,0.060274,3,3.00391e+06,3.89773,0.0337927,2.19947,0.100679,2.00594,0.121571,0.028169,0.2,0.222222,0.121951,284,5,36,41
[P] has_oneOf + has_required,has_oneOf__AND__has_required,has_oneOf,has_required,37,0.10137,3,3.00264e+06,2.21622,0.0148319,2.62762,0.126701,1.2426,0.0306251,0.0704225,0.2,0.305556,0.121951,284,5,36,41
[P] has_oneOf + has_properties,has_oneOf__AND__has_properties,has_oneOf,has_properties,43,0.117808,3,3.00243e+06,1.87209,0.0108335,2.41604,0.110256,1.31817,0.0395689,0.084507,0.2,0.333333,0.146341,284,5,36,41
[P] has_oneOf + has_type,has_oneOf__AND__has_type,has_oneOf,has_type,46,0.126027,3,3.00229e+06,1.7337,0.00919995,2.2845,0.100784,1.66568,0.0787178,0.0880282,0.2,0.333333,0.195122,284,5,36,41
[P] has_maxLength + has_properties,has_maxLength__AND__has_properties,has_maxLength,has_properties,18,0.0493151,2,2.02893e+06,28.9167,0.160903,0.526471,-0.0449721,1.58182,0.0735632,0.0387324,0.6,0.0555556,0.0487805,284,5,36,41
[P] has_maxLength + has_type,has_maxLength__AND__has_type,has_maxLength,has_type,22,0.060274,2,2.0234e+06,23.3864,0.130533,0.374866,-0.0606406,1.30606,0.0390565,0.0528169,0.6,0.0555556,0.0487805,284,5,36,41
[P] has_additionalProperties + has_properties,has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,97,0.265753,2,2.00415e+06,4.14433,0.0234651,2.38953,0.094458,0.217184,-0.132514,0.257042,0.6,0.5,0.0731707,284,5,36,41
[P] has_boolean_schema + has_properties,has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,98,0.268493,2,2.0041e+06,4.08673,0.0231216,2.44608,0.0965793,0.214923,-0.133315,0.260563,0.6,0.5,0.0731707,284,5,36,41
[P] has_minItems + has_type,has_minItems__AND__has_type,has_minItems,has_type,15,0.0410959,2,2.00363e+06,0,-0.0142857,3.60807,0.211564,1.16518,0.0212644,0.0105634,0,0.25,0.0731707,284,5,36,41
[P] has_additionalProperties + has_boolean_schema,has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,109,0.29863,2,2.00353e+06,3.52294,0.0197104,1.8629,0.0640373,0.946875,-0.0070132,0.271127,0.6,0.472222,0.292683,284,5,36,41
[P] has_boolean_schema + has_type,has_boolean_schema__AND__has_type,has_boolean_schema,has_type,111,0.30411,2,2.00344e+06,3.43243,0.019153,2.14536,0.0793603,0.791126,-0.0291453,0.278169,0.6,0.5,0.268293,284,5,36,41
[P] has_additionalProperties + has_type,has_additionalProperties__AND__has_type,has_additionalProperties,has_type,115,0.315068,2,2.00327e+06,3.26087,0.018087,1.95014,0.0683812,0.753519,-0.0349737,0.292254,0.6,0.5,0.268293,284,5,36,41
[P] has_additionalProperties + has_required,has_additionalProperties__AND__has_required,has_additionalProperties,has_required,60,0.164384,2,2.0026e+06,1.27083,0.00355191,2.58405,0.115844,0.223417,-0.118498,0.15493,0.2,0.361111,0.0487805,284,5,36,41
[P] has_items + has_oneOf,has_items__AND__has_oneOf,has_items,has_oneOf,15,0.0410959,2,2.00243e+06,0,-0.0142857,2.35333,0.115014,2.41747,0.171017,0.0105634,0,0.222222,0.097561,284,5,36,41
[P] has_minLength + has_required,has_minLength__AND__has_required,has_minLength,has_required,19,0.0520548,2,2.0022e+06,0,-0.0144509,2.19355,0.103641,1.66281,0.0830433,0.0352113,0,0.166667,0.0731707,284,5,36,41
[P] has_minLength + has_type,has_minLength__AND__has_type,has_minLength,has_type,28,0.0767123,2,2.00217e+06,0,-0.0148368,1.37171,0.0333519,2.16,0.138095,0.0598592,0,0.166667,0.121951,284,5,36,41
[P] has_minLength + has_properties,has_minLength__AND__has_properties,has_minLength,has_properties,24,0.0657534,2,2.00192e+06,0,-0.0146628,1.7469,0.065778,1.90705,0.11098,0.0492958,0,0.166667,0.097561,284,5,36,41
[P] has_additionalProperties + has_maxLength,has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,14,0.0383562,1,1.03763e+06,37.6071,0.208588,0.825792,-0.0162276,2.29091,0.160998,0.0246479,0.6,0.0555556,0.0487805,284,5,36,41
[P] has_boolean_schema + has_maxLength,has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,14,0.0383562,1,1.03763e+06,37.6071,0.208588,0.825792,-0.0162276,2.29091,0.160998,0.0246479,0.6,0.0555556,0.0487805,284,5,36,41
