feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_patternProperties__AND__has_type,has_patternProperties,has_type,21,344,0.0575342,29,30,31,424,0.935484,0.0707547,13.2215,0.864729,true
has_items__AND__has_oneOf,has_items,has_oneOf,15,350,0.0410959,7,52,24,431,0.291667,0.12065,2.41747,0.171017,true
has_minLength__AND__has_type,has_minLength,has_type,28,337,0.0767123,9,50,35,420,0.257143,0.119048,2.16,0.138095,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,21,344,0.0575342,8,51,31,424,0.258065,0.120283,2.14548,0.137781,true
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,22,343,0.060274,8,51,33,422,0.242424,0.120853,2.00594,0.121571,true
has_minLength__AND__has_properties,has_minLength,has_properties,24,341,0.0657534,7,52,30,425,0.233333,0.122353,1.90705,0.11098,true
has_oneOf__AND__has_type,has_oneOf,has_type,46,319,0.126027,13,46,66,389,0.19697,0.118252,1.66568,0.0787178,true
has_minLength__AND__has_required,has_minLength,has_required,19,346,0.0520548,5,54,24,431,0.208333,0.12529,1.66281,0.0830433,true
has_maxLength__AND__has_properties,has_maxLength,has_properties,18,347,0.0493151,4,55,20,435,0.2,0.126437,1.58182,0.0735632,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,43,322,0.117808,10,49,61,394,0.163934,0.124365,1.31817,0.0395689,true
has_maxLength__AND__has_type,has_maxLength,has_type,22,343,0.060274,4,55,24,431,0.166667,0.12761,1.30606,0.0390565,true
has_oneOf__AND__has_required,has_oneOf,has_required,37,328,0.10137,8,51,51,404,0.156863,0.126238,1.2426,0.0306251,true
has_minItems__AND__has_type,has_minItems,has_type,15,350,0.0410959,3,56,20,435,0.15,0.128736,1.16518,0.0212644,true
has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,109,256,0.29863,19,40,152,303,0.125,0.132013,0.946875,-0.0070132,true
has_items__AND__has_required,has_items,has_required,33,332,0.090411,6,53,53,402,0.113208,0.131841,0.858669,-0.0186332,true
has_defs__AND__has_type,has_defs,has_type,31,334,0.0849315,5,54,46,409,0.108696,0.132029,0.823269,-0.0233337,true
has_pattern__AND__has_properties,has_pattern,has_properties,21,344,0.0575342,3,56,28,427,0.107143,0.131148,0.816964,-0.0240047,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,17,348,0.0465753,3,56,28,427,0.107143,0.131148,0.816964,-0.0240047,true
has_pattern__AND__has_type,has_pattern,has_type,33,332,0.090411,4,55,38,417,0.105263,0.131894,0.798086,-0.0266313,true
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,111,254,0.30411,17,42,154,301,0.11039,0.139535,0.791126,-0.0291453,true
has_items__AND__has_properties,has_items,has_properties,45,320,0.123288,7,52,67,388,0.104478,0.134021,0.779564,-0.029543,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,115,250,0.315068,17,42,159,296,0.106918,0.141892,0.753519,-0.0349737,true
has_items__AND__has_type,has_items,has_type,67,298,0.183562,9,50,90,365,0.1,0.136986,0.73,-0.0369863,true
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,27,338,0.0739726,4,55,43,412,0.0930233,0.133495,0.696829,-0.0404719,true
has_boolean_schema__AND__has_items,has_boolean_schema,has_items,28,337,0.0767123,4,55,44,411,0.0909091,0.13382,0.679339,-0.0429109,true
has_minimum__AND__has_type,has_minimum,has_type,21,344,0.0575342,2,57,24,431,0.0833333,0.132251,0.630117,-0.0489172,true
has_enum__AND__has_items,has_enum,has_items,21,344,0.0575342,3,56,36,419,0.0833333,0.133652,0.623512,-0.0503182,true
has_required__AND__has_type,has_required,has_type,139,226,0.380822,18,41,188,267,0.0957447,0.153558,0.623508,-0.0578134,true
has_properties__AND__has_required,has_properties,has_required,139,226,0.380822,17,42,187,268,0.0909091,0.156716,0.580087,-0.0658073,true
has_properties__AND__has_type,has_properties,has_type,261,104,0.715068,32,27,340,115,0.0941176,0.234783,0.400871,-0.140665,true
has_pattern__AND__has_required,has_pattern,has_required,15,350,0.0410959,1,58,20,435,0.05,0.133333,0.375,-0.0833333,true
has_enum__AND__has_properties,has_enum,has_properties,67,298,0.183562,5,54,95,360,0.0526316,0.15,0.350877,-0.0973684,true
has_enum__AND__has_type,has_enum,has_type,82,283,0.224658,5,54,110,345,0.0454545,0.156522,0.290404,-0.111067,true
has_enum__AND__has_required,has_enum,has_required,47,318,0.128767,3,56,72,383,0.0416667,0.146214,0.28497,-0.104547,true
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,16,349,0.0438356,1,58,29,426,0.0344828,0.13615,0.25327,-0.101667,true
has_boolean_schema__AND__has_defs,has_boolean_schema,has_defs,16,349,0.0438356,1,58,29,426,0.0344828,0.13615,0.25327,-0.101667,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,60,305,0.164384,3,56,88,367,0.0340909,0.152589,0.223417,-0.118498,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,97,268,0.265753,5,54,136,319,0.0367647,0.169279,0.217184,-0.132514,true
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,98,267,0.268493,5,54,137,318,0.0364964,0.169811,0.214923,-0.133315,true
has_boolean_schema__AND__has_required,has_boolean_schema,has_required,63,302,0.172603,3,56,92,363,0.0326087,0.15427,0.211374,-0.121661,true
has_defs__AND__has_properties,has_defs,has_properties,26,339,0.0712329,1,58,42,413,0.0238095,0.140436,0.16954,-0.116626,true
has_allOf__AND__has_items,has_allOf,has_items,11,354,0.030137,0,59,20,435,0,0.135632,0,-0.135632,true
has_default__AND__has_properties,has_default,has_properties,19,346,0.0520548,0,59,23,432,0,0.136574,0,-0.136574,true
has_defs__AND__has_items,has_defs,has_items,13,352,0.0356164,0,59,23,432,0,0.136574,0,-0.136574,true
has_allOf__AND__has_defs,has_allOf,has_defs,14,351,0.0383562,0,59,24,431,0,0.136891,0,-0.136891,true
has_defs__AND__has_enum,has_defs,has_enum,14,351,0.0383562,0,59,24,431,0,0.136891,0,-0.136891,true
has_additionalProperties__AND__has_allOf,has_additionalProperties,has_allOf,13,352,0.0356164,0,59,24,431,0,0.136891,0,-0.136891,true
has_allOf__AND__has_boolean_schema,has_allOf,has_boolean_schema,14,351,0.0383562,0,59,26,429,0,0.137529,0,-0.137529,true
has_allOf__AND__has_enum,has_allOf,has_enum,16,349,0.0438356,0,59,28,427,0,0.138173,0,-0.138173,true
has_allOf__AND__has_required,has_allOf,has_required,17,348,0.0465753,0,59,30,425,0,0.138824,0,-0.138824,true
has_defs__AND__has_required,has_defs,has_required,18,347,0.0493151,0,59,31,424,0,0.139151,0,-0.139151,true
has_default__AND__has_type,has_default,has_type,29,336,0.0794521,0,59,33,422,0,0.13981,0,-0.13981,true
has_allOf__AND__has_properties,has_allOf,has_properties,20,345,0.0547945,0,59,33,422,0,0.13981,0,-0.13981,true
has_anyOf__AND__has_properties,has_anyOf,has_properties,24,341,0.0657534,0,59,34,421,0,0.140143,0,-0.140143,true
has_allOf__AND__has_type,has_allOf,has_type,21,344,0.0575342,0,59,34,421,0,0.140143,0,-0.140143,true
has_anyOf__AND__has_type,has_anyOf,has_type,26,339,0.0712329,0,59,36,419,0,0.140811,0,-0.140811,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,24,341,0.0657534,0,59,41,414,0,0.142512,0,-0.142512,true
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,25,340,0.0684932,0,59,43,412,0,0.143204,0,-0.143204,true
