feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,14,351,0.0383562,3,2,14,351,0.214286,0.00569801,37.6071,0.208588,true
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,14,351,0.0383562,3,2,14,351,0.214286,0.00569801,37.6071,0.208588,true
has_maxLength__AND__has_properties,has_maxLength,has_properties,18,347,0.0493151,3,2,18,347,0.166667,0.00576369,28.9167,0.160903,true
has_maxLength__AND__has_type,has_maxLength,has_type,22,343,0.060274,3,2,22,343,0.136364,0.0058309,23.3864,0.130533,true
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,7,358,0.0191781,1,4,7,358,0.142857,0.0111732,12.7857,0.131684,true
has_maxLength__AND__has_required,has_maxLength,has_required,10,355,0.0273973,1,4,10,355,0.1,0.0112676,8.875,0.0887324,true
has_pattern__AND__has_type,has_pattern,has_type,33,332,0.090411,2,3,33,332,0.0606061,0.00903614,6.70707,0.0515699,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,97,268,0.265753,3,2,97,268,0.0309278,0.00746269,4.14433,0.0234651,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,21,344,0.0575342,1,4,21,344,0.047619,0.0116279,4.09524,0.0359911,true
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,98,267,0.268493,3,2,98,267,0.0306122,0.00749064,4.08673,0.0231216,true
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,22,343,0.060274,1,4,22,343,0.0454545,0.0116618,3.89773,0.0337927,true
has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,109,256,0.29863,3,2,109,256,0.0275229,0.0078125,3.52294,0.0197104,true
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,111,254,0.30411,3,2,111,254,0.027027,0.00787402,3.43243,0.019153,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,115,250,0.315068,3,2,115,250,0.026087,0.008,3.26087,0.018087,true
has_oneOf__AND__has_required,has_oneOf,has_required,37,328,0.10137,1,4,37,328,0.027027,0.0121951,2.21622,0.0148319,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,43,322,0.117808,1,4,43,322,0.0232558,0.0124224,1.87209,0.0108335,true
has_oneOf__AND__has_type,has_oneOf,has_type,46,319,0.126027,1,4,46,319,0.0217391,0.0125392,1.7337,0.00919995,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,60,305,0.164384,1,4,60,305,0.0166667,0.0131148,1.27083,0.00355191,true
has_boolean_schema__AND__has_required,has_boolean_schema,has_required,63,302,0.172603,1,4,63,302,0.015873,0.013245,1.19841,0.00262798,true
has_properties__AND__has_type,has_properties,has_type,261,104,0.715068,3,2,261,104,0.0114943,0.0192308,0.597701,-0.00773652,true
has_properties__AND__has_required,has_properties,has_required,139,226,0.380822,1,4,139,226,0.00719424,0.0176991,0.406475,-0.0105049,true
has_required__AND__has_type,has_required,has_type,139,226,0.380822,1,4,139,226,0.00719424,0.0176991,0.406475,-0.0105049,true
has_additionalProperties__AND__has_anyOf,has_additionalProperties,has_anyOf,5,360,0.0136986,0,5,5,360,0,0.0138889,0,-0.0138889,true
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,5,360,0.0136986,0,5,5,360,0,0.0138889,0,-0.0138889,true
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,5,360,0.0136986,0,5,5,360,0,0.0138889,0,-0.0138889,true
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,5,360,0.0136986,0,5,5,360,0,0.0138889,0,-0.0138889,true
has_default__AND__has_items,has_default,has_items,5,360,0.0136986,0,5,5,360,0,0.0138889,0,-0.0138889,true
has_default__AND__has_oneOf,has_default,has_oneOf,5,360,0.0136986,0,5,5,360,0,0.0138889,0,-0.0138889,true
has_enum__AND__has_minItems,has_enum,has_minItems,5,360,0.0136986,0,5,5,360,0,0.0138889,0,-0.0138889,true
has_enum__AND__has_minLength,has_enum,has_minLength,5,360,0.0136986,0,5,5,360,0,0.0138889,0,-0.0138889,true
has_maxItems__AND__has_type,has_maxItems,has_type,5,360,0.0136986,0,5,5,360,0,0.0138889,0,-0.0138889,true
has_minLength__AND__has_pattern,has_minLength,has_pattern,5,360,0.0136986,0,5,5,360,0,0.0138889,0,-0.0138889,true
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,5,360,0.0136986,0,5,5,360,0,0.0138889,0,-0.0138889,true
