feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_properties__AND__has_type,has_properties,has_type,261,104,0.715068,69,1,503,253,0.137177,0.00395257,34.7058,0.133224,true
has_allOf__AND__has_properties,has_allOf,has_properties,20,345,0.0547945,16,54,28,728,0.571429,0.0741758,7.7037,0.497253,true
has_allOf__AND__has_type,has_allOf,has_type,21,344,0.0575342,16,54,33,723,0.484848,0.0746888,6.49158,0.41016,true
has_minimum__AND__has_properties,has_minimum,has_properties,13,352,0.0356164,14,56,33,723,0.424242,0.077455,5.47727,0.346787,true
has_minItems__AND__has_properties,has_minItems,has_properties,12,353,0.0328767,12,58,31,725,0.387097,0.08,4.83871,0.307097,true
has_minimum__AND__has_required,has_minimum,has_required,9,356,0.0246575,9,61,24,732,0.375,0.0833333,4.5,0.291667,true
has_minItems__AND__has_required,has_minItems,has_required,9,356,0.0246575,10,60,27,729,0.37037,0.0823045,4.5,0.288066,true
has_items__AND__has_minItems,has_items,has_minItems,14,351,0.0383562,12,58,40,716,0.3,0.0810056,3.70345,0.218994,true
has_minItems__AND__has_type,has_minItems,has_type,15,350,0.0410959,12,58,41,715,0.292683,0.0811189,3.60807,0.211564,true
has_maximum__AND__has_minimum,has_maximum,has_minimum,8,357,0.0219178,8,62,28,728,0.285714,0.0851648,3.35484,0.200549,true
has_maximum__AND__has_type,has_maximum,has_type,8,357,0.0219178,8,62,28,728,0.285714,0.0851648,3.35484,0.200549,true
has_boolean_schema__AND__has_required,has_boolean_schema,has_required,63,302,0.172603,27,43,134,622,0.201493,0.0691318,2.91461,0.132361,true
has_minimum__AND__has_type,has_minimum,has_type,21,344,0.0575342,14,56,61,695,0.229508,0.0805755,2.84836,0.148933,true
has_properties__AND__has_required,has_properties,has_required,139,226,0.380822,43,27,278,478,0.154676,0.0564854,2.73834,0.0981909,true
has_oneOf__AND__has_required,has_oneOf,has_required,37,328,0.10137,18,52,88,668,0.204545,0.0778443,2.62762,0.126701,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,60,305,0.164384,24,46,127,629,0.188976,0.073132,2.58405,0.115844,true
has_required__AND__has_type,has_required,has_type,139,226,0.380822,42,28,278,478,0.151079,0.0585774,2.57914,0.0925017,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,17,348,0.0465753,8,62,37,719,0.216216,0.0862309,2.50741,0.129985,true
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,98,267,0.268493,33,37,202,554,0.163366,0.066787,2.44608,0.0965793,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,43,322,0.117808,19,51,101,655,0.188119,0.0778626,2.41604,0.110256,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,97,268,0.265753,32,38,197,559,0.162437,0.0679785,2.38953,0.094458,true
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,10,355,0.0273973,7,63,34,722,0.205882,0.0872576,2.35948,0.118625,true
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,10,355,0.0273973,7,63,34,722,0.205882,0.0872576,2.35948,0.118625,true
has_items__AND__has_oneOf,has_items,has_oneOf,15,350,0.0410959,10,60,50,706,0.2,0.0849858,2.35333,0.115014,true
has_oneOf__AND__has_type,has_oneOf,has_type,46,319,0.126027,19,51,106,650,0.179245,0.0784615,2.2845,0.100784,true
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,22,343,0.060274,12,58,65,691,0.184615,0.0839363,2.19947,0.100679,true
has_minLength__AND__has_required,has_minLength,has_required,19,346,0.0520548,8,62,42,714,0.190476,0.0868347,2.19355,0.103641,true
has_pattern__AND__has_properties,has_pattern,has_properties,21,344,0.0575342,13,57,72,684,0.180556,0.0833333,2.16667,0.0972222,true
has_minLength__AND__has_oneOf,has_minLength,has_oneOf,11,354,0.030137,7,63,37,719,0.189189,0.0876217,2.15916,0.101567,true
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,111,254,0.30411,33,37,222,534,0.148649,0.0692884,2.14536,0.0793603,true
has_items__AND__has_required,has_items,has_required,33,332,0.090411,12,58,67,689,0.179104,0.08418,2.12764,0.0949245,true
has_enum__AND__has_items,has_enum,has_items,21,344,0.0575342,6,64,32,724,0.1875,0.0883978,2.12109,0.0991022,true
