feature,schemas_with_feature,schemas_without_feature,timeout_with_feature,timeout_without_feature,timeout_rate_with,timeout_rate_without,lift,support,global_timeout_rate
has_type,357,8,5,0,0.0140056,0,inf,0.978082,0.0136986
has_maxLength,22,343,3,2,0.136364,0.0058309,23.3864,0.060274,0.0136986
has_pattern,33,332,2,3,0.0606061,0.00903614,6.70707,0.090411,0.0136986
has_boolean_schema,112,253,3,2,0.0267857,0.00790514,3.38839,0.306849,0.0136986
has_additionalProperties,116,249,3,2,0.0258621,0.00803213,3.21983,0.317808,0.0136986
has_oneOf,46,319,1,4,0.0217391,0.0125392,1.7337,0.126027,0.0136986
has_properties,265,100,3,2,0.0113208,0.02,0.566038,0.726027,0.0136986
has_required,140,225,1,4,0.00714286,0.0177778,0.401786,0.383562,0.0136986
has_allOf,21,344,0,5,0,0.0145349,0,0.0575342,0.0136986
has_anyOf,26,339,0,5,0,0.0147493,0,0.0712329,0.0136986
has_default,29,336,0,5,0,0.014881,0,0.0794521,0.0136986
has_defs,33,332,0,5,0,0.0150602,0,0.090411,0.0136986
has_enum,86,279,0,5,0,0.0179211,0,0.235616,0.0136986
has_items,67,298,0,5,0,0.0167785,0,0.183562,0.0136986
has_maxItems,5,360,0,5,0,0.0138889,0,0.0136986,0.0136986
has_maximum,8,357,0,5,0,0.0140056,0,0.0219178,0.0136986
has_minItems,15,350,0,5,0,0.0142857,0,0.0410959,0.0136986
has_minLength,28,337,0,5,0,0.0148368,0,0.0767123,0.0136986
has_minProperties,3,362,0,5,0,0.0138122,0,0.00821918,0.0136986
has_minimum,21,344,0,5,0,0.0145349,0,0.0575342,0.0136986
has_multipleOf,2,363,0,5,0,0.0137741,0,0.00547945,0.0136986
has_not,7,358,0,5,0,0.0139665,0,0.0191781,0.0136986
has_patternProperties,22,343,0,5,0,0.0145773,0,0.060274,0.0136986
has_ref,10,355,0,5,0,0.0140845,0,0.0273973,0.0136986
large_enum,29,336,0,5,0,0.014881,0,0.0794521,0.0136986
many_required,26,339,0,5,0,0.0147493,0,0.0712329,0.0136986
many_properties,29,336,0,5,0,0.014881,0,0.0794521,0.0136986
deep_schema,29,336,0,5,0,0.014881,0,0.0794521,0.0136986
