characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,94,18,159,0.0744681,0.138298,0.0659898,0.137615,0
schema_json_chars,q2_mid_low,89,160,215,0.0898876,0.0898876,0.0893855,0.121495,0.0337079
schema_json_chars,q3_mid_high,91,216,353,0.0659341,0.0769231,0.0773481,0.100917,0.010989
schema_json_chars,q4_high,91,359,21397,0.164835,0.142857,0.135678,0.153846,0.010989
schema_file_bytes,q1_low,92,461,1532,0.0652174,0.163043,0.0759494,0.173077,0
schema_file_bytes,q2_mid_low,91,1545,2213,0.043956,0.0989011,0.039548,0.121739,0.010989
schema_file_bytes,q3_mid_high,91,2220,4019,0.120879,0.0659341,0.12605,0.0803571,0.021978
schema_file_bytes,q4_high,91,4036,66181,0.164835,0.120879,0.103053,0.145161,0.021978
nb_keywords,q1_low,153,1,6,0.0588235,0.143791,0.0541401,0.160221,0.0196078
nb_keywords,q2_mid_low,67,7,7,0.0895522,0.0746269,0.0724638,0.101266,0.0149254
nb_keywords,q3_mid_high,59,8,9,0.0508475,0.0677966,0.0695652,0.0869565,0
nb_keywords,q4_high,86,10,721,0.209302,0.116279,0.185185,0.126984,0.0116279
nb_properties,q1_low,115,0,0,0,0.182609,0,0.234375,0.0173913
nb_properties,q2_mid_low,130,1,1,0.0846154,0.0461538,0.0894309,0.056962,0.00769231
nb_properties,q3_mid_high,58,2,2,0.172414,0.12069,0.157025,0.138889,0.0172414
nb_properties,q4_high,62,3,128,0.241935,0.112903,0.230159,0.103093,0.016129
nb_required,q1_low,230,0,0,0.0565217,0.130435,0.05625,0.153846,0.0173913
nb_required,q2_mid_low,0,,,0,0,0,0,0
nb_required,q3_mid_high,68,1,1,0.0588235,0.0147059,0.0647482,0.0240964,0.0147059
nb_required,q4_high,67,2,86,0.283582,0.149254,0.248175,0.151515,0
schema_depth,q1_low,219,0,2,0.0639269,0.123288,0.062069,0.149606,0.0182648
schema_depth,q2_mid_low,0,,,0,0,0,0,0
schema_depth,q3_mid_high,71,3,4,0.0704225,0.0985915,0.0784314,0.11236,0
schema_depth,q4_high,75,5,20,0.226667,0.0933333,0.184524,0.0982143,0.0133333
nb_branches_combinators,q1_low,275,0,0,0.0654545,0.12,0.0648148,0.142415,0.0145455
nb_branches_combinators,q2_mid_low,0,,,0,0,0,0,0
nb_branches_combinators,q3_mid_high,0,,,0,0,0,0,0
nb_branches_combinators,q4_high,90,1,47,0.2,0.0888889,0.162037,0.0984848,0.0111111
nb_enum_values,q1_low,279,0,0,0.100358,0.132616,0.0970018,0.158358,0.0179211
nb_enum_values,q2_mid_low,0,,,0,0,0,0,0
nb_enum_values,q3_mid_high,0,,,0,0,0,0,0
nb_enum_values,q4_high,86,1,165,0.0930233,0.0465116,0.0793651,0.0438596,0
nb_regex,q1_low,313,0,0,0.0894569,0.0670927,0.0939044,0.0721649,0.00958466
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,0,,,0,0,0,0,0
nb_regex,q4_high,52,1,20,0.153846,0.384615,0.0872483,0.462687,0.0384615
n_tests,q1_low,109,1,2,0.0550459,0.165138,0.0909091,0.162791,0.00917431
n_tests,q2_mid_low,103,3,3,0.038835,0.0776699,0.0273224,0.097561,0.00970874
n_tests,q3_mid_high,87,4,4,0.103448,0.103448,0.0811966,0.136364,0.0114943
n_tests,q4_high,66,5,8,0.257576,0.0909091,0.14652,0.11828,0.030303
mean_num_tokens,q1_low,91,1,7.25,0.043956,0.021978,0.0282486,0.0208333,0
mean_num_tokens,q2_mid_low,90,7.33333,14.5,0.111111,0.0222222,0.128713,0.0183486,0.0111111
mean_num_tokens,q3_mid_high,90,14.7143,29.75,0.1,0.166667,0.0780488,0.166667,0
mean_num_tokens,q4_high,90,30,1830,0.144444,0.244444,0.133721,0.264706,0
