feature,n_schemas,n_completed_tests,under_rate,over_rate,correct_rate,timeout_rate
has_exclusiveMaximum,3,16,0.0909091,1,0.625,0.333333
has_maxProperties,8,51,0,1,0.72549,0
has_minProperties,8,51,0,1,0.72549,0
has_patternProperties,7,39,0.0689655,0.8,0.74359,0
has_pattern,36,205,0.293333,0.563636,0.634146,0.0833333
has_multipleOf,4,26,0.842105,0,0.384615,0
has_maxLength,20,109,0.443038,0.366667,0.577982,0.1
has_minimum,33,162,0.321429,0.48,0.62963,0.0909091
has_allOf,11,70,0.566038,0.235294,0.514286,0
has_oneOf,26,127,0.294118,0.47619,0.645669,0.0384615
has_maxItems,12,57,0.25641,0.444444,0.684211,0.0833333
has_minLength,24,138,0.316327,0.375,0.666667,0.0833333
has_not,7,43,0.676471,0,0.465116,0.142857
large_enum,59,285,0.17801,0.478723,0.722807,0.0508475
has_maximum,19,86,0.322034,0.333333,0.674419,0.105263
has_minItems,32,162,0.294643,0.36,0.685185,0.09375
has_enum,72,347,0.181818,0.405172,0.743516,0.0416667
has_items,90,434,0.185965,0.38255,0.746544,0.0333333
has_properties,95,449,0.19244,0.367089,0.746102,0.0315789
has_type,95,449,0.19244,0.367089,0.746102,0.0315789
many_properties,95,449,0.19244,0.367089,0.746102,0.0315789
has_required,85,410,0.191882,0.352518,0.753659,0.0352941
has_additionalProperties,62,323,0.215596,0.304762,0.755418,0.0322581
many_required,82,397,0.19697,0.323308,0.760705,0.0365854
has_ref,66,329,0.188341,0.320755,0.768997,0.0151515
has_defs,68,335,0.185841,0.321101,0.770149,0.0147059
has_boolean_schema,58,310,0.21327,0.292929,0.76129,0.0344828
deep_schema,74,346,0.165179,0.336066,0.774566,0.027027
has_default,39,185,0.101695,0.268657,0.837838,0.025641
has_anyOf,34,179,0.222222,0.0754717,0.821229,0.0294118
