feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.794118,0.666667,0.653846,0.527778,34,3,26,36
has_allOf,0,0,0.346154,0.0555556,34,3,26,36
has_anyOf,0.676471,0.333333,0.269231,0.0833333,34,3,26,36
has_boolean_schema,0.764706,0.666667,0.615385,0.472222,34,3,26,36
has_default,0.705882,0.333333,0.153846,0.277778,34,3,26,36
has_defs,0.852941,0.333333,0.576923,0.638889,34,3,26,36
has_enum,0.735294,1,0.692308,0.805556,34,3,26,36
has_exclusiveMaximum,0,0.333333,0.0384615,0.0833333,34,3,26,36
has_items,0.911765,1,0.961538,0.972222,34,3,26,36
has_maxItems,0.147059,0.333333,0.153846,0.138889,34,3,26,36
has_maxLength,0.0294118,0.666667,0.5,0.194444,34,3,26,36
has_maxProperties,0,0,0,0.222222,34,3,26,36
has_maximum,0.117647,0.666667,0.307692,0.138889,34,3,26,36
has_minItems,0.176471,1,0.615385,0.305556,34,3,26,36
has_minLength,0.0882353,0.666667,0.538462,0.25,34,3,26,36
has_minProperties,0,0,0,0.222222,34,3,26,36
has_minimum,0.117647,1,0.538462,0.388889,34,3,26,36
has_multipleOf,0,0,0.153846,0,34,3,26,36
has_not,0,0.333333,0.230769,0,34,3,26,36
has_oneOf,0.147059,0.333333,0.307692,0.333333,34,3,26,36
has_pattern,0.0588235,1,0.615385,0.5,34,3,26,36
has_patternProperties,0.0294118,0,0.0384615,0.138889,34,3,26,36
has_properties,1,1,1,1,34,3,26,36
has_ref,0.823529,0.333333,0.576923,0.611111,34,3,26,36
has_required,0.911765,1,0.923077,0.861111,34,3,26,36
has_type,1,1,1,1,34,3,26,36
large_enum,0.470588,1,0.615385,0.75,34,3,26,36
many_required,0.911765,1,0.923077,0.777778,34,3,26,36
many_properties,1,1,1,1,34,3,26,36
deep_schema,0.941176,0.666667,0.615385,0.694444,34,3,26,36
