feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
large_enum,59,36,45,13,94,64,0.478723,0.203125,2.35679,0.275598,0.621053,0.367089,true
has_pattern,36,59,31,27,55,103,0.563636,0.262136,2.15017,0.3015,0.378947,0.367089,true
has_enum,72,23,47,11,116,42,0.405172,0.261905,1.54702,0.143268,0.757895,0.367089,true
has_minimum,33,62,24,34,50,108,0.48,0.314815,1.52471,0.165185,0.347368,0.367089,true
has_oneOf,26,69,20,38,42,116,0.47619,0.327586,1.45363,0.148604,0.273684,0.367089,true
has_minLength,24,71,15,43,40,118,0.375,0.364407,1.02907,0.0105932,0.252632,0.367089,true
has_maxLength,20,75,11,47,30,128,0.366667,0.367188,0.998582,-0.000520833,0.210526,0.367089,true
has_minItems,32,63,18,40,50,108,0.36,0.37037,0.972,-0.0103704,0.336842,0.367089,true
has_maximum,19,76,9,49,27,131,0.333333,0.374046,0.891156,-0.0407125,0.2,0.367089,true
deep_schema,74,21,41,17,122,36,0.336066,0.472222,0.711668,-0.136157,0.778947,0.367089,true
has_ref,66,29,34,24,106,52,0.320755,0.461538,0.694969,-0.140784,0.694737,0.367089,true
has_defs,68,27,35,23,109,49,0.321101,0.469388,0.684085,-0.148287,0.715789,0.367089,true
has_additionalProperties,62,33,32,26,105,53,0.304762,0.490566,0.621245,-0.185804,0.652632,0.367089,true
has_default,39,56,18,40,67,91,0.268657,0.43956,0.611194,-0.170904,0.410526,0.367089,true
has_boolean_schema,58,37,29,29,99,59,0.292929,0.491525,0.59596,-0.198596,0.610526,0.367089,true
many_required,82,13,43,15,133,25,0.323308,0.6,0.538847,-0.276692,0.863158,0.367089,true
has_anyOf,34,61,4,54,53,105,0.0754717,0.514286,0.146751,-0.438814,0.357895,0.367089,true
has_properties,95,0,58,0,158,0,0.367089,0,inf,0.367089,1,0.367089,false
has_type,95,0,58,0,158,0,0.367089,0,inf,0.367089,1,0.367089,false
many_properties,95,0,58,0,158,0,0.367089,0,inf,0.367089,1,0.367089,false
has_items,90,5,57,1,149,9,0.38255,0.111111,3.44295,0.271439,0.947368,0.367089,false
has_maxProperties,8,87,14,44,14,144,1,0.305556,3.27273,0.694444,0.0842105,0.367089,false
has_minProperties,8,87,14,44,14,144,1,0.305556,3.27273,0.694444,0.0842105,0.367089,false
has_exclusiveMaximum,3,92,5,53,5,153,1,0.346405,2.88679,0.653595,0.0315789,0.367089,false
has_patternProperties,7,88,8,50,10,148,0.8,0.337838,2.368,0.462162,0.0736842,0.367089,false
has_maxItems,12,83,8,50,18,140,0.444444,0.357143,1.24444,0.0873016,0.126316,0.367089,false
has_required,85,10,49,9,139,19,0.352518,0.473684,0.744205,-0.121166,0.894737,0.367089,false
has_allOf,11,84,4,54,17,141,0.235294,0.382979,0.614379,-0.147685,0.115789,0.367089,false
has_multipleOf,4,91,0,58,7,151,0,0.384106,0,-0.384106,0.0421053,0.367089,false
has_not,7,88,0,58,9,149,0,0.389262,0,-0.389262,0.0736842,0.367089,false
