feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_properties + has_type,has_properties__AND__has_type,has_properties,has_type,95,1,3,3.05004e+06,inf,0.0315789,inf,0.19244,inf,0.367089,1,1,1,1,34,3,26,36
[P] has_items + has_pattern,has_items__AND__has_pattern,has_items,has_pattern,36,0.378947,3,3.05003e+06,inf,0.0833333,3.44667,0.208227,2.15017,0.3015,0.0588235,1,0.615385,0.5,34,3,26,36
[P] has_pattern + has_properties,has_pattern__AND__has_properties,has_pattern,has_properties,36,0.378947,3,3.05003e+06,inf,0.0833333,3.44667,0.208227,2.15017,0.3015,0.0588235,1,0.615385,0.5,34,3,26,36
[P] has_pattern + has_type,has_pattern__AND__has_type,has_pattern,has_type,36,0.378947,3,3.05003e+06,inf,0.0833333,3.44667,0.208227,2.15017,0.3015,0.0588235,1,0.615385,0.5,34,3,26,36
[P] has_pattern + has_required,has_pattern__AND__has_required,has_pattern,has_required,34,0.357895,3,3.05003e+06,inf,0.0882353,3.51882,0.218298,2.09804,0.297599,0.0588235,1,0.576923,0.472222,34,3,26,36
[P] has_minimum + has_pattern,has_minimum__AND__has_pattern,has_minimum,has_pattern,19,0.2,3,3.05003e+06,inf,0.157895,3.38615,0.280065,1.2657,0.0932994,0,1,0.423077,0.194444,34,3,26,36
[P] has_enum + has_pattern,has_enum__AND__has_pattern,has_enum,has_pattern,33,0.347368,3,3.05003e+06,inf,0.0909091,2.44055,0.163262,1.88129,0.252963,0.0588235,1,0.576923,0.444444,34,3,26,36
[P] has_minItems + has_pattern,has_minItems__AND__has_pattern,has_minItems,has_pattern,15,0.157895,3,3.05002e+06,inf,0.2,2.6962,0.234741,1.4375,0.152174,0.0294118,1,0.307692,0.166667,34,3,26,36
[P] has_minimum + has_properties,has_minimum__AND__has_properties,has_minimum,has_properties,33,0.347368,3,3.05002e+06,inf,0.0909091,2.87679,0.209697,1.52471,0.165185,0.117647,1,0.538462,0.388889,34,3,26,36
[P] has_minimum + has_type,has_minimum__AND__has_type,has_minimum,has_type,33,0.347368,3,3.05002e+06,inf,0.0909091,2.87679,0.209697,1.52471,0.165185,0.117647,1,0.538462,0.388889,34,3,26,36
[P] has_minimum + has_required,has_minimum__AND__has_required,has_minimum,has_required,28,0.294737,3,3.05002e+06,inf,0.107143,2.62585,0.202178,1.3275,0.111017,0.117647,1,0.461538,0.305556,34,3,26,36
[P] has_enum + has_minimum,has_enum__AND__has_minimum,has_enum,has_minimum,29,0.305263,3,3.05002e+06,inf,0.103448,1.86207,0.128866,1.63437,0.198584,0.117647,1,0.423077,0.361111,34,3,26,36
[P] has_items + has_minimum,has_items__AND__has_minimum,has_items,has_minimum,32,0.336842,3,3.05002e+06,inf,0.09375,2.39569,0.176379,1.61765,0.190909,0.117647,1,0.5,0.388889,34,3,26,36
[P] has_minItems + has_minimum,has_minItems__AND__has_minimum,has_minItems,has_minimum,18,0.189474,3,3.05002e+06,inf,0.166667,1.54,0.0935065,1.38783,0.134135,0.117647,1,0.230769,0.194444,34,3,26,36
[P] has_enum + has_minItems,has_enum__AND__has_minItems,has_enum,has_minItems,23,0.242105,3,3.05001e+06,inf,0.130435,1.59454,0.0976536,1.32135,0.110545,0.147059,1,0.346154,0.25,34,3,26,36
[P] has_additionalProperties + has_minItems,has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,15,0.157895,3,3.01069e+06,10.6667,0.120833,2.86038,0.254061,1.22283,0.0792271,0.0588235,0.666667,0.307692,0.166667,34,3,26,36
[P] has_boolean_schema + has_minItems,has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,15,0.157895,3,3.01069e+06,10.6667,0.120833,2.86038,0.254061,1.22283,0.0792271,0.0588235,0.666667,0.307692,0.166667,34,3,26,36
[P] has_additionalProperties + has_minLength,has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,15,0.157895,3,3.01069e+06,10.6667,0.120833,2.73619,0.235682,1.22283,0.0792271,0.0294118,0.666667,0.346154,0.166667,34,3,26,36
[P] has_boolean_schema + has_minLength,has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,15,0.157895,3,3.01069e+06,10.6667,0.120833,2.73619,0.235682,1.22283,0.0792271,0.0294118,0.666667,0.346154,0.166667,34,3,26,36
[P] has_enum + has_minLength,has_enum__AND__has_minLength,has_enum,has_minLength,15,0.157895,3,3.01069e+06,10.6667,0.120833,2.68545,0.229834,1.28788,0.101604,0.0294118,0.666667,0.346154,0.166667,34,3,26,36
