feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,29,66,0.305263,27,31,45,113,0.6,0.274336,2.1871,0.325664,true
has_items__AND__has_pattern,has_items,has_pattern,36,59,0.378947,31,27,55,103,0.563636,0.262136,2.15017,0.3015,true
has_pattern__AND__has_properties,has_pattern,has_properties,36,59,0.378947,31,27,55,103,0.563636,0.262136,2.15017,0.3015,true
has_pattern__AND__has_type,has_pattern,has_type,36,59,0.378947,31,27,55,103,0.563636,0.262136,2.15017,0.3015,true
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,30,65,0.315789,27,31,46,112,0.586957,0.276786,2.12062,0.310171,true
has_pattern__AND__has_required,has_pattern,has_required,34,61,0.357895,29,29,51,107,0.568627,0.271028,2.09804,0.297599,true
has_enum__AND__has_pattern,has_enum,has_pattern,33,62,0.347368,27,31,50,108,0.54,0.287037,1.88129,0.252963,true
has_defs__AND__has_oneOf,has_defs,has_oneOf,23,72,0.242105,20,38,36,122,0.555556,0.311475,1.78363,0.24408,true
has_oneOf__AND__has_ref,has_oneOf,has_ref,23,72,0.242105,20,38,36,122,0.555556,0.311475,1.78363,0.24408,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,21,74,0.221053,19,39,34,124,0.558824,0.314516,1.77677,0.244307,true
has_enum__AND__has_items,has_enum,has_items,70,25,0.736842,47,11,113,45,0.415929,0.244444,1.70153,0.171485,true
has_enum__AND__has_minimum,has_enum,has_minimum,29,66,0.305263,22,36,43,115,0.511628,0.313043,1.63437,0.198584,true
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,20,75,0.210526,17,41,32,126,0.53125,0.325397,1.63262,0.205853,true
has_items__AND__has_minimum,has_items,has_minimum,32,63,0.336842,24,34,48,110,0.5,0.309091,1.61765,0.190909,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,25,70,0.263158,20,38,40,118,0.5,0.322034,1.55263,0.177966,true
has_enum__AND__has_properties,has_enum,has_properties,72,23,0.757895,47,11,116,42,0.405172,0.261905,1.54702,0.143268,true
has_enum__AND__has_type,has_enum,has_type,72,23,0.757895,47,11,116,42,0.405172,0.261905,1.54702,0.143268,true
has_minimum__AND__has_properties,has_minimum,has_properties,33,62,0.347368,24,34,50,108,0.48,0.314815,1.52471,0.165185,true
has_minimum__AND__has_type,has_minimum,has_type,33,62,0.347368,24,34,50,108,0.48,0.314815,1.52471,0.165185,true
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,19,76,0.2,15,43,30,128,0.5,0.335938,1.48837,0.164062,true
has_defs__AND__has_pattern,has_defs,has_pattern,24,71,0.252632,17,41,35,123,0.485714,0.333333,1.45714,0.152381,true
has_pattern__AND__has_ref,has_pattern,has_ref,24,71,0.252632,17,41,35,123,0.485714,0.333333,1.45714,0.152381,true
has_minLength__AND__has_pattern,has_minLength,has_pattern,16,79,0.168421,12,46,24,134,0.5,0.343284,1.45652,0.156716,true
has_items__AND__has_oneOf,has_items,has_oneOf,26,69,0.273684,20,38,42,116,0.47619,0.327586,1.45363,0.148604,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,26,69,0.273684,20,38,42,116,0.47619,0.327586,1.45363,0.148604,true
has_oneOf__AND__has_type,has_oneOf,has_type,26,69,0.273684,20,38,42,116,0.47619,0.327586,1.45363,0.148604,true
has_minItems__AND__has_pattern,has_minItems,has_pattern,15,80,0.157895,10,48,20,138,0.5,0.347826,1.4375,0.152174,true
has_oneOf__AND__has_required,has_oneOf,has_required,24,71,0.252632,18,40,38,120,0.473684,0.333333,1.42105,0.140351,true
has_minItems__AND__has_minimum,has_minItems,has_minimum,18,77,0.189474,12,46,25,133,0.48,0.345865,1.38783,0.134135,true
has_minimum__AND__has_required,has_minimum,has_required,28,67,0.294737,18,40,40,118,0.45,0.338983,1.3275,0.111017,true
has_enum__AND__has_minItems,has_enum,has_minItems,23,72,0.242105,15,43,33,125,0.454545,0.344,1.32135,0.110545,true
has_enum__AND__has_minLength,has_enum,has_minLength,15,80,0.157895,10,48,22,136,0.454545,0.352941,1.28788,0.101604,true
has_minimum__AND__has_pattern,has_minimum,has_pattern,19,76,0.2,12,46,27,131,0.444444,0.351145,1.2657,0.0932994,true
has_minItems__AND__has_minLength,has_minItems,has_minLength,18,77,0.189474,13,45,30,128,0.433333,0.351562,1.23259,0.0817708,true
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,15,80,0.157895,10,48,23,135,0.434783,0.355556,1.22283,0.0792271,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,15,80,0.157895,10,48,23,135,0.434783,0.355556,1.22283,0.0792271,true
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,15,80,0.157895,10,48,23,135,0.434783,0.355556,1.22283,0.0792271,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,15,80,0.157895,10,48,23,135,0.434783,0.355556,1.22283,0.0792271,true
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,16,79,0.168421,10,48,24,134,0.416667,0.358209,1.16319,0.0584577,true
has_enum__AND__has_required,has_enum,has_required,66,29,0.694737,40,18,104,54,0.384615,0.333333,1.15385,0.0512821,true
has_defs__AND__has_minimum,has_defs,has_minimum,23,72,0.242105,13,45,33,125,0.393939,0.36,1.09428,0.0339394,true
has_minimum__AND__has_ref,has_minimum,has_ref,23,72,0.242105,13,45,33,125,0.393939,0.36,1.09428,0.0339394,true
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,20,75,0.210526,12,46,31,127,0.387097,0.362205,1.06872,0.024892,true
has_items__AND__has_minLength,has_items,has_minLength,24,71,0.252632,15,43,40,118,0.375,0.364407,1.02907,0.0105932,true
has_minLength__AND__has_properties,has_minLength,has_properties,24,71,0.252632,15,43,40,118,0.375,0.364407,1.02907,0.0105932,true
has_minLength__AND__has_required,has_minLength,has_required,24,71,0.252632,15,43,40,118,0.375,0.364407,1.02907,0.0105932,true
has_minLength__AND__has_type,has_minLength,has_type,24,71,0.252632,15,43,40,118,0.375,0.364407,1.02907,0.0105932,true
has_defs__AND__has_enum,has_defs,has_enum,56,39,0.589474,33,25,89,69,0.370787,0.362319,1.02337,0.00846768,true
has_enum__AND__has_ref,has_enum,has_ref,56,39,0.589474,33,25,89,69,0.370787,0.362319,1.02337,0.00846768,true
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,18,77,0.189474,10,48,27,131,0.37037,0.366412,1.0108,0.00395816,true
has_items__AND__has_maxLength,has_items,has_maxLength,20,75,0.210526,11,47,30,128,0.366667,0.367188,0.998582,-0.000520833,true
has_maxLength__AND__has_properties,has_maxLength,has_properties,20,75,0.210526,11,47,30,128,0.366667,0.367188,0.998582,-0.000520833,true
has_maxLength__AND__has_required,has_maxLength,has_required,20,75,0.210526,11,47,30,128,0.366667,0.367188,0.998582,-0.000520833,true
has_maxLength__AND__has_type,has_maxLength,has_type,20,75,0.210526,11,47,30,128,0.366667,0.367188,0.998582,-0.000520833,true
has_items__AND__has_minItems,has_items,has_minItems,32,63,0.336842,18,40,50,108,0.36,0.37037,0.972,-0.0103704,true
has_minItems__AND__has_properties,has_minItems,has_properties,32,63,0.336842,18,40,50,108,0.36,0.37037,0.972,-0.0103704,true
has_minItems__AND__has_required,has_minItems,has_required,32,63,0.336842,18,40,50,108,0.36,0.37037,0.972,-0.0103704,true
has_minItems__AND__has_type,has_minItems,has_type,32,63,0.336842,18,40,50,108,0.36,0.37037,0.972,-0.0103704,true
has_enum__AND__has_maxLength,has_enum,has_maxLength,18,77,0.189474,9,49,26,132,0.346154,0.371212,0.932496,-0.0250583,true
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,19,76,0.2,10,48,29,129,0.344828,0.372093,0.926724,-0.0272654,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,51,44,0.536842,30,28,85,73,0.352941,0.383562,0.920168,-0.0306205,true
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,14,81,0.147368,7,51,21,137,0.333333,0.372263,0.895425,-0.0389294,true
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,16,79,0.168421,8,50,24,134,0.333333,0.373134,0.893333,-0.039801,true
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,16,79,0.168421,8,50,24,134,0.333333,0.373134,0.893333,-0.039801,true
has_items__AND__has_maximum,has_items,has_maximum,19,76,0.2,9,49,27,131,0.333333,0.374046,0.891156,-0.0407125,true
has_maximum__AND__has_minimum,has_maximum,has_minimum,19,76,0.2,9,49,27,131,0.333333,0.374046,0.891156,-0.0407125,true
has_maximum__AND__has_properties,has_maximum,has_properties,19,76,0.2,9,49,27,131,0.333333,0.374046,0.891156,-0.0407125,true
has_maximum__AND__has_type,has_maximum,has_type,19,76,0.2,9,49,27,131,0.333333,0.374046,0.891156,-0.0407125,true
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,47,48,0.494737,27,31,79,79,0.341772,0.392405,0.870968,-0.0506329,true
has_items__AND__has_required,has_items,has_required,82,13,0.863158,48,10,134,24,0.358209,0.416667,0.859701,-0.0584577,true
has_enum__AND__has_maximum,has_enum,has_maximum,17,78,0.178947,7,51,23,135,0.304348,0.377778,0.805627,-0.07343,true
has_defs__AND__has_minItems,has_defs,has_minItems,17,78,0.178947,7,51,24,134,0.291667,0.380597,0.76634,-0.0889303,true
has_minItems__AND__has_ref,has_minItems,has_ref,17,78,0.178947,7,51,24,134,0.291667,0.380597,0.76634,-0.0889303,true
has_default__AND__has_enum,has_default,has_enum,32,63,0.336842,17,41,56,102,0.303571,0.401961,0.755226,-0.0983894,true
has_minimum__AND__has_oneOf,has_minimum,has_oneOf,14,81,0.147368,6,52,21,137,0.285714,0.379562,0.752747,-0.0938478,true
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,59,36,0.621053,32,26,99,59,0.323232,0.440678,0.733489,-0.117446,true
has_defs__AND__has_items,has_defs,has_items,66,29,0.694737,34,24,105,53,0.32381,0.45283,0.715079,-0.129021,true
has_defs__AND__has_required,has_defs,has_required,63,32,0.663158,32,26,100,58,0.32,0.448276,0.713846,-0.128276,true
has_boolean_schema__AND__has_items,has_boolean_schema,has_items,55,40,0.578947,29,29,93,65,0.311828,0.446154,0.698925,-0.134326,true
has_boolean_schema__AND__has_required,has_boolean_schema,has_required,55,40,0.578947,29,29,93,65,0.311828,0.446154,0.698925,-0.134326,true
has_default__AND__has_items,has_default,has_items,36,59,0.378947,18,40,62,96,0.290323,0.416667,0.696774,-0.126344,true
has_defs__AND__has_ref,has_defs,has_ref,66,29,0.694737,34,24,106,52,0.320755,0.461538,0.694969,-0.140784,true
has_properties__AND__has_ref,has_properties,has_ref,66,29,0.694737,34,24,106,52,0.320755,0.461538,0.694969,-0.140784,true
has_ref__AND__has_type,has_ref,has_type,66,29,0.694737,34,24,106,52,0.320755,0.461538,0.694969,-0.140784,true
has_items__AND__has_ref,has_items,has_ref,65,30,0.684211,33,25,104,54,0.317308,0.462963,0.685385,-0.145655,true
has_ref__AND__has_required,has_ref,has_required,62,33,0.652632,31,27,99,59,0.313131,0.457627,0.68425,-0.144496,true
has_defs__AND__has_properties,has_defs,has_properties,68,27,0.715789,35,23,109,49,0.321101,0.469388,0.684085,-0.148287,true
has_defs__AND__has_type,has_defs,has_type,68,27,0.715789,35,23,109,49,0.321101,0.469388,0.684085,-0.148287,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,58,37,0.610526,30,28,97,61,0.309278,0.459016,0.673785,-0.149738,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,62,33,0.652632,32,26,105,53,0.304762,0.490566,0.621245,-0.185804,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,62,33,0.652632,32,26,105,53,0.304762,0.490566,0.621245,-0.185804,true
has_maximum__AND__has_required,has_maximum,has_required,16,79,0.168421,5,53,21,137,0.238095,0.386861,0.615454,-0.148766,true
has_default__AND__has_properties,has_default,has_properties,39,56,0.410526,18,40,67,91,0.268657,0.43956,0.611194,-0.170904,true
has_default__AND__has_type,has_default,has_type,39,56,0.410526,18,40,67,91,0.268657,0.43956,0.611194,-0.170904,true
has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,58,37,0.610526,29,29,99,59,0.292929,0.491525,0.59596,-0.198596,true
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,58,37,0.610526,29,29,99,59,0.292929,0.491525,0.59596,-0.198596,true
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,58,37,0.610526,29,29,99,59,0.292929,0.491525,0.59596,-0.198596,true
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,50,45,0.526316,22,36,83,75,0.26506,0.48,0.552209,-0.21494,true
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,51,44,0.536842,22,36,85,73,0.258824,0.493151,0.524837,-0.234327,true
has_boolean_schema__AND__has_ref,has_boolean_schema,has_ref,46,49,0.484211,19,39,77,81,0.246753,0.481481,0.512488,-0.234728,true
has_default__AND__has_defs,has_default,has_defs,31,64,0.326316,12,46,54,104,0.222222,0.442308,0.502415,-0.220085,true
has_default__AND__has_ref,has_default,has_ref,29,66,0.305263,11,47,51,107,0.215686,0.439252,0.49103,-0.223566,true
has_boolean_schema__AND__has_defs,has_boolean_schema,has_defs,47,48,0.494737,19,39,79,79,0.240506,0.493671,0.487179,-0.253165,true
has_default__AND__has_required,has_default,has_required,35,60,0.368421,12,46,59,99,0.20339,0.464646,0.43773,-0.261257,true
has_anyOf__AND__has_enum,has_anyOf,has_enum,29,66,0.305263,4,54,45,113,0.0888889,0.477876,0.186008,-0.388987,true
has_anyOf__AND__has_required,has_anyOf,has_required,33,62,0.347368,4,54,51,107,0.0784314,0.504673,0.15541,-0.426242,true
has_additionalProperties__AND__has_default,has_additionalProperties,has_default,29,66,0.305263,4,54,52,106,0.0769231,0.509434,0.150997,-0.432511,true
has_anyOf__AND__has_defs,has_anyOf,has_defs,34,61,0.357895,4,54,53,105,0.0754717,0.514286,0.146751,-0.438814,true
has_anyOf__AND__has_items,has_anyOf,has_items,34,61,0.357895,4,54,53,105,0.0754717,0.514286,0.146751,-0.438814,true
has_anyOf__AND__has_properties,has_anyOf,has_properties,34,61,0.357895,4,54,53,105,0.0754717,0.514286,0.146751,-0.438814,true
has_anyOf__AND__has_ref,has_anyOf,has_ref,34,61,0.357895,4,54,53,105,0.0754717,0.514286,0.146751,-0.438814,true
has_anyOf__AND__has_type,has_anyOf,has_type,34,61,0.357895,4,54,53,105,0.0754717,0.514286,0.146751,-0.438814,true
has_additionalProperties__AND__has_anyOf,has_additionalProperties,has_anyOf,31,64,0.326316,3,55,50,108,0.06,0.509259,0.117818,-0.449259,true
has_anyOf__AND__has_default,has_anyOf,has_default,21,74,0.221053,2,56,37,121,0.0540541,0.46281,0.116795,-0.408756,true
has_boolean_schema__AND__has_default,has_boolean_schema,has_default,26,69,0.273684,2,56,47,111,0.0425532,0.504505,0.0843465,-0.461951,true
has_anyOf__AND__has_boolean_schema,has_anyOf,has_boolean_schema,30,65,0.315789,2,56,49,109,0.0408163,0.513761,0.0794461,-0.472945,true
has_properties__AND__has_type,has_properties,has_type,95,0,1,58,0,158,0,0.367089,0,inf,0.367089,false
has_items__AND__has_properties,has_items,has_properties,90,5,0.947368,57,1,149,9,0.38255,0.111111,3.44295,0.271439,false
has_items__AND__has_type,has_items,has_type,90,5,0.947368,57,1,149,9,0.38255,0.111111,3.44295,0.271439,false
has_additionalProperties__AND__has_maxProperties,has_additionalProperties,has_maxProperties,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_additionalProperties__AND__has_minProperties,has_additionalProperties,has_minProperties,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_boolean_schema__AND__has_maxProperties,has_boolean_schema,has_maxProperties,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_boolean_schema__AND__has_minProperties,has_boolean_schema,has_minProperties,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_defs__AND__has_maxProperties,has_defs,has_maxProperties,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_defs__AND__has_minProperties,has_defs,has_minProperties,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_enum__AND__has_maxProperties,has_enum,has_maxProperties,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_enum__AND__has_minProperties,has_enum,has_minProperties,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
