feature_pair,feature_a,feature_b,n_schemas,support,timeout_rate,under_rate,over_rate
has_additionalProperties__AND__has_exclusiveMaximum,has_additionalProperties,has_exclusiveMaximum,3,0.0315789,0.333333,0.0909091,1
has_boolean_schema__AND__has_exclusiveMaximum,has_boolean_schema,has_exclusiveMaximum,3,0.0315789,0.333333,0.0909091,1
has_enum__AND__has_exclusiveMaximum,has_enum,has_exclusiveMaximum,3,0.0315789,0.333333,0.0909091,1
has_exclusiveMaximum__AND__has_items,has_exclusiveMaximum,has_items,3,0.0315789,0.333333,0.0909091,1
has_exclusiveMaximum__AND__has_maxItems,has_exclusiveMaximum,has_maxItems,3,0.0315789,0.333333,0.0909091,1
has_exclusiveMaximum__AND__has_maxLength,has_exclusiveMaximum,has_maxLength,3,0.0315789,0.333333,0.0909091,1
has_exclusiveMaximum__AND__has_minItems,has_exclusiveMaximum,has_minItems,3,0.0315789,0.333333,0.0909091,1
has_exclusiveMaximum__AND__has_minLength,has_exclusiveMaximum,has_minLength,3,0.0315789,0.333333,0.0909091,1
has_exclusiveMaximum__AND__has_minimum,has_exclusiveMaximum,has_minimum,3,0.0315789,0.333333,0.0909091,1
has_exclusiveMaximum__AND__has_pattern,has_exclusiveMaximum,has_pattern,3,0.0315789,0.333333,0.0909091,1
has_exclusiveMaximum__AND__has_properties,has_exclusiveMaximum,has_properties,3,0.0315789,0.333333,0.0909091,1
has_exclusiveMaximum__AND__has_required,has_exclusiveMaximum,has_required,3,0.0315789,0.333333,0.0909091,1
has_exclusiveMaximum__AND__has_type,has_exclusiveMaximum,has_type,3,0.0315789,0.333333,0.0909091,1
has_default__AND__has_maximum,has_default,has_maximum,4,0.0421053,0.25,0,0.666667
has_minItems__AND__has_not,has_minItems,has_not,4,0.0421053,0.25,0.882353,0
has_not__AND__has_oneOf,has_not,has_oneOf,4,0.0421053,0.25,0.882353,0
has_minItems__AND__has_pattern,has_minItems,has_pattern,15,0.157895,0.2,0.373134,0.5
has_maximum__AND__has_minItems,has_maximum,has_minItems,10,0.105263,0.2,0.416667,0
has_maximum__AND__has_pattern,has_maximum,has_pattern,10,0.105263,0.2,0.435897,0.307692
has_anyOf__AND__has_oneOf,has_anyOf,has_oneOf,5,0.0526316,0.2,0.75,0
has_minLength__AND__has_oneOf,has_minLength,has_oneOf,5,0.0526316,0.2,0.882353,0
has_maxLength__AND__has_minItems,has_maxLength,has_minItems,11,0.115789,0.181818,0.395833,0.5
has_minItems__AND__has_minimum,has_minItems,has_minimum,18,0.189474,0.166667,0.266667,0.48
has_minLength__AND__has_minimum,has_minLength,has_minimum,12,0.126316,0.166667,0.327273,0.5
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,6,0.0631579,0.166667,0.346154,0.8
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,6,0.0631579,0.166667,0.346154,0.8
has_maximum__AND__has_not,has_maximum,has_not,6,0.0631579,0.166667,0.592593,0
has_minimum__AND__has_not,has_minimum,has_not,6,0.0631579,0.166667,0.592593,0
has_minimum__AND__has_pattern,has_minimum,has_pattern,19,0.2,0.157895,0.397436,0.444444
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,14,0.147368,0.142857,0.472727,0.333333
has_additionalProperties__AND__has_not,has_additionalProperties,has_not,7,0.0736842,0.142857,0.676471,0
has_anyOf__AND__has_not,has_anyOf,has_not,7,0.0736842,0.142857,0.676471,0
has_boolean_schema__AND__has_not,has_boolean_schema,has_not,7,0.0736842,0.142857,0.676471,0
has_default__AND__has_pattern,has_default,has_pattern,7,0.0736842,0.142857,0.375,0.4
has_defs__AND__has_not,has_defs,has_not,7,0.0736842,0.142857,0.676471,0
has_enum__AND__has_not,has_enum,has_not,7,0.0736842,0.142857,0.676471,0
has_items__AND__has_not,has_items,has_not,7,0.0736842,0.142857,0.676471,0
has_maxItems__AND__has_pattern,has_maxItems,has_pattern,7,0.0736842,0.142857,0.310345,0.727273
has_maxLength__AND__has_not,has_maxLength,has_not,7,0.0736842,0.142857,0.676471,0
has_minLength__AND__has_not,has_minLength,has_not,7,0.0736842,0.142857,0.676471,0
has_not__AND__has_pattern,has_not,has_pattern,7,0.0736842,0.142857,0.676471,0
has_not__AND__has_properties,has_not,has_properties,7,0.0736842,0.142857,0.676471,0
has_not__AND__has_ref,has_not,has_ref,7,0.0736842,0.142857,0.676471,0
has_not__AND__has_required,has_not,has_required,7,0.0736842,0.142857,0.676471,0
has_not__AND__has_type,has_not,has_type,7,0.0736842,0.142857,0.676471,0
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,15,0.157895,0.133333,0.390625,0.434783
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,15,0.157895,0.133333,0.371429,0.434783
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,15,0.157895,0.133333,0.390625,0.434783
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,15,0.157895,0.133333,0.371429,0.434783
has_enum__AND__has_minLength,has_enum,has_minLength,15,0.157895,0.133333,0.366197,0.454545
has_enum__AND__has_minItems,has_enum,has_minItems,23,0.242105,0.130435,0.261905,0.454545
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,16,0.168421,0.125,0.507463,0.333333
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,16,0.168421,0.125,0.507463,0.333333
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,16,0.168421,0.125,0.397059,0.416667
has_maximum__AND__has_required,has_maximum,has_required,16,0.168421,0.125,0.367347,0.238095
has_minLength__AND__has_pattern,has_minLength,has_pattern,16,0.168421,0.125,0.351351,0.5
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,8,0.0842105,0.125,0.3,0.615385
has_anyOf__AND__has_maxLength,has_anyOf,has_maxLength,8,0.0842105,0.125,0.657143,0.1
has_anyOf__AND__has_maximum,has_anyOf,has_maximum,8,0.0842105,0.125,0.5,0
has_anyOf__AND__has_minLength,has_anyOf,has_minLength,8,0.0842105,0.125,0.522727,0.181818
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,8,0.0842105,0.125,0.3,0.615385
has_default__AND__has_minItems,has_default,has_minItems,8,0.0842105,0.125,0.225806,0.583333
has_maxItems__AND__has_minimum,has_maxItems,has_minimum,8,0.0842105,0.125,0.0952381,0.416667
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,8,0.0842105,0.125,0.5,0.181818
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,8,0.0842105,0.125,0.851852,0
has_maximum__AND__has_minLength,has_maximum,has_minLength,8,0.0842105,0.125,0.5,0.181818
has_minItems__AND__has_oneOf,has_minItems,has_oneOf,8,0.0842105,0.125,0.64,0
has_enum__AND__has_maximum,has_enum,has_maximum,17,0.178947,0.117647,0.346154,0.304348
has_enum__AND__has_maxLength,has_enum,has_maxLength,18,0.189474,0.111111,0.472222,0.346154
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,18,0.189474,0.111111,0.459459,0.37037
has_minItems__AND__has_minLength,has_minItems,has_minLength,18,0.189474,0.111111,0.306667,0.433333
has_anyOf__AND__has_minItems,has_anyOf,has_minItems,9,0.0947368,0.111111,0.5,0.181818
has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,9,0.0947368,0.111111,0.5,0.153846
has_minimum__AND__has_required,has_minimum,has_required,28,0.294737,0.107143,0.326531,0.45
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,19,0.2,0.105263,0.447368,0.344828
has_items__AND__has_maximum,has_items,has_maximum,19,0.2,0.105263,0.322034,0.333333
has_maximum__AND__has_minimum,has_maximum,has_minimum,19,0.2,0.105263,0.322034,0.333333
has_maximum__AND__has_properties,has_maximum,has_properties,19,0.2,0.105263,0.322034,0.333333
has_maximum__AND__has_type,has_maximum,has_type,19,0.2,0.105263,0.322034,0.333333
has_enum__AND__has_minimum,has_enum,has_minimum,29,0.305263,0.103448,0.278351,0.511628
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,20,0.210526,0.1,0.441558,0.387097
has_items__AND__has_maxLength,has_items,has_maxLength,20,0.210526,0.1,0.443038,0.366667
has_maxLength__AND__has_properties,has_maxLength,has_properties,20,0.210526,0.1,0.443038,0.366667
has_maxLength__AND__has_required,has_maxLength,has_required,20,0.210526,0.1,0.443038,0.366667
has_maxLength__AND__has_type,has_maxLength,has_type,20,0.210526,0.1,0.443038,0.366667
has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,10,0.105263,0.1,0.485714,0.266667
has_anyOf__AND__has_minimum,has_anyOf,has_minimum,10,0.105263,0.1,0.446809,0.166667
has_anyOf__AND__has_pattern,has_anyOf,has_pattern,10,0.105263,0.1,0.538462,0.153846
has_maximum__AND__has_oneOf,has_maximum,has_oneOf,10,0.105263,0.1,0.416667,0.333333
has_items__AND__has_minItems,has_items,has_minItems,32,0.336842,0.09375,0.294643,0.36
has_items__AND__has_minimum,has_items,has_minimum,32,0.336842,0.09375,0.302752,0.5
has_minItems__AND__has_properties,has_minItems,has_properties,32,0.336842,0.09375,0.294643,0.36
has_minItems__AND__has_required,has_minItems,has_required,32,0.336842,0.09375,0.294643,0.36
has_minItems__AND__has_type,has_minItems,has_type,32,0.336842,0.09375,0.294643,0.36
has_enum__AND__has_pattern,has_enum,has_pattern,33,0.347368,0.0909091,0.276596,0.54
has_minimum__AND__has_properties,has_minimum,has_properties,33,0.347368,0.0909091,0.321429,0.48
has_minimum__AND__has_type,has_minimum,has_type,33,0.347368,0.0909091,0.321429,0.48
has_default__AND__has_minimum,has_default,has_minimum,11,0.115789,0.0909091,0.216216,0.722222
has_defs__AND__has_minLength,has_defs,has_minLength,11,0.115789,0.0909091,0.423729,0.125
has_minLength__AND__has_ref,has_minLength,has_ref,11,0.115789,0.0909091,0.423729,0.125
has_pattern__AND__has_required,has_pattern,has_required,34,0.357895,0.0882353,0.304965,0.568627
has_items__AND__has_pattern,has_items,has_pattern,36,0.378947,0.0833333,0.293333,0.563636
has_pattern__AND__has_properties,has_pattern,has_properties,36,0.378947,0.0833333,0.293333,0.563636
has_pattern__AND__has_type,has_pattern,has_type,36,0.378947,0.0833333,0.293333,0.563636
has_items__AND__has_minLength,has_items,has_minLength,24,0.252632,0.0833333,0.316327,0.375
has_minLength__AND__has_properties,has_minLength,has_properties,24,0.252632,0.0833333,0.316327,0.375
has_minLength__AND__has_required,has_minLength,has_required,24,0.252632,0.0833333,0.316327,0.375
has_minLength__AND__has_type,has_minLength,has_type,24,0.252632,0.0833333,0.316327,0.375
has_enum__AND__has_maxItems,has_enum,has_maxItems,12,0.126316,0.0833333,0.25641,0.444444
has_items__AND__has_maxItems,has_items,has_maxItems,12,0.126316,0.0833333,0.25641,0.444444
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,12,0.126316,0.0833333,0.25641,0.444444
