feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_minItems__AND__has_pattern,has_minItems,has_pattern,15,80,0.157895,3,0,15,80,0.2,0,inf,0.2,true
has_minItems__AND__has_minimum,has_minItems,has_minimum,18,77,0.189474,3,0,18,77,0.166667,0,inf,0.166667,true
has_minimum__AND__has_pattern,has_minimum,has_pattern,19,76,0.2,3,0,19,76,0.157895,0,inf,0.157895,true
has_enum__AND__has_minItems,has_enum,has_minItems,23,72,0.242105,3,0,23,72,0.130435,0,inf,0.130435,true
has_minimum__AND__has_required,has_minimum,has_required,28,67,0.294737,3,0,28,67,0.107143,0,inf,0.107143,true
has_enum__AND__has_minimum,has_enum,has_minimum,29,66,0.305263,3,0,29,66,0.103448,0,inf,0.103448,true
has_items__AND__has_minItems,has_items,has_minItems,32,63,0.336842,3,0,32,63,0.09375,0,inf,0.09375,true
has_items__AND__has_minimum,has_items,has_minimum,32,63,0.336842,3,0,32,63,0.09375,0,inf,0.09375,true
has_minItems__AND__has_properties,has_minItems,has_properties,32,63,0.336842,3,0,32,63,0.09375,0,inf,0.09375,true
has_minItems__AND__has_required,has_minItems,has_required,32,63,0.336842,3,0,32,63,0.09375,0,inf,0.09375,true
has_minItems__AND__has_type,has_minItems,has_type,32,63,0.336842,3,0,32,63,0.09375,0,inf,0.09375,true
has_enum__AND__has_pattern,has_enum,has_pattern,33,62,0.347368,3,0,33,62,0.0909091,0,inf,0.0909091,true
has_minimum__AND__has_properties,has_minimum,has_properties,33,62,0.347368,3,0,33,62,0.0909091,0,inf,0.0909091,true
has_minimum__AND__has_type,has_minimum,has_type,33,62,0.347368,3,0,33,62,0.0909091,0,inf,0.0909091,true
has_pattern__AND__has_required,has_pattern,has_required,34,61,0.357895,3,0,34,61,0.0882353,0,inf,0.0882353,true
has_items__AND__has_pattern,has_items,has_pattern,36,59,0.378947,3,0,36,59,0.0833333,0,inf,0.0833333,true
has_pattern__AND__has_properties,has_pattern,has_properties,36,59,0.378947,3,0,36,59,0.0833333,0,inf,0.0833333,true
has_pattern__AND__has_type,has_pattern,has_type,36,59,0.378947,3,0,36,59,0.0833333,0,inf,0.0833333,true
has_enum__AND__has_required,has_enum,has_required,66,29,0.694737,3,0,66,29,0.0454545,0,inf,0.0454545,true
has_enum__AND__has_items,has_enum,has_items,70,25,0.736842,3,0,70,25,0.0428571,0,inf,0.0428571,true
has_enum__AND__has_properties,has_enum,has_properties,72,23,0.757895,3,0,72,23,0.0416667,0,inf,0.0416667,true
has_enum__AND__has_type,has_enum,has_type,72,23,0.757895,3,0,72,23,0.0416667,0,inf,0.0416667,true
has_items__AND__has_required,has_items,has_required,82,13,0.863158,3,0,82,13,0.0365854,0,inf,0.0365854,true
has_properties__AND__has_required,has_properties,has_required,85,10,0.894737,3,0,85,10,0.0352941,0,inf,0.0352941,true
has_required__AND__has_type,has_required,has_type,85,10,0.894737,3,0,85,10,0.0352941,0,inf,0.0352941,true
has_items__AND__has_properties,has_items,has_properties,90,5,0.947368,3,0,90,5,0.0333333,0,inf,0.0333333,true
has_items__AND__has_type,has_items,has_type,90,5,0.947368,3,0,90,5,0.0333333,0,inf,0.0333333,true
has_maximum__AND__has_minItems,has_maximum,has_minItems,10,85,0.105263,2,1,10,85,0.2,0.0117647,17,0.188235,true
has_maximum__AND__has_pattern,has_maximum,has_pattern,10,85,0.105263,2,1,10,85,0.2,0.0117647,17,0.188235,true
has_maxLength__AND__has_minItems,has_maxLength,has_minItems,11,84,0.115789,2,1,11,84,0.181818,0.0119048,15.2727,0.169913,true
has_minLength__AND__has_minimum,has_minLength,has_minimum,12,83,0.126316,2,1,12,83,0.166667,0.0120482,13.8333,0.154618,true
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,14,81,0.147368,2,1,14,81,0.142857,0.0123457,11.5714,0.130511,true
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,15,80,0.157895,2,1,15,80,0.133333,0.0125,10.6667,0.120833,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,15,80,0.157895,2,1,15,80,0.133333,0.0125,10.6667,0.120833,true
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,15,80,0.157895,2,1,15,80,0.133333,0.0125,10.6667,0.120833,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,15,80,0.157895,2,1,15,80,0.133333,0.0125,10.6667,0.120833,true
has_enum__AND__has_minLength,has_enum,has_minLength,15,80,0.157895,2,1,15,80,0.133333,0.0125,10.6667,0.120833,true
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,16,79,0.168421,2,1,16,79,0.125,0.0126582,9.875,0.112342,true
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,16,79,0.168421,2,1,16,79,0.125,0.0126582,9.875,0.112342,true
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,16,79,0.168421,2,1,16,79,0.125,0.0126582,9.875,0.112342,true
has_maximum__AND__has_required,has_maximum,has_required,16,79,0.168421,2,1,16,79,0.125,0.0126582,9.875,0.112342,true
has_minLength__AND__has_pattern,has_minLength,has_pattern,16,79,0.168421,2,1,16,79,0.125,0.0126582,9.875,0.112342,true
has_enum__AND__has_maximum,has_enum,has_maximum,17,78,0.178947,2,1,17,78,0.117647,0.0128205,9.17647,0.104827,true
has_anyOf__AND__has_oneOf,has_anyOf,has_oneOf,5,90,0.0526316,1,2,5,90,0.2,0.0222222,9,0.177778,true
has_minLength__AND__has_oneOf,has_minLength,has_oneOf,5,90,0.0526316,1,2,5,90,0.2,0.0222222,9,0.177778,true
has_enum__AND__has_maxLength,has_enum,has_maxLength,18,77,0.189474,2,1,18,77,0.111111,0.012987,8.55556,0.0981241,true
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,18,77,0.189474,2,1,18,77,0.111111,0.012987,8.55556,0.0981241,true
has_minItems__AND__has_minLength,has_minItems,has_minLength,18,77,0.189474,2,1,18,77,0.111111,0.012987,8.55556,0.0981241,true
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,19,76,0.2,2,1,19,76,0.105263,0.0131579,8,0.0921053,true
has_items__AND__has_maximum,has_items,has_maximum,19,76,0.2,2,1,19,76,0.105263,0.0131579,8,0.0921053,true
has_maximum__AND__has_minimum,has_maximum,has_minimum,19,76,0.2,2,1,19,76,0.105263,0.0131579,8,0.0921053,true
has_maximum__AND__has_properties,has_maximum,has_properties,19,76,0.2,2,1,19,76,0.105263,0.0131579,8,0.0921053,true
has_maximum__AND__has_type,has_maximum,has_type,19,76,0.2,2,1,19,76,0.105263,0.0131579,8,0.0921053,true
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,20,75,0.210526,2,1,20,75,0.1,0.0133333,7.5,0.0866667,true
has_items__AND__has_maxLength,has_items,has_maxLength,20,75,0.210526,2,1,20,75,0.1,0.0133333,7.5,0.0866667,true
has_maxLength__AND__has_properties,has_maxLength,has_properties,20,75,0.210526,2,1,20,75,0.1,0.0133333,7.5,0.0866667,true
has_maxLength__AND__has_required,has_maxLength,has_required,20,75,0.210526,2,1,20,75,0.1,0.0133333,7.5,0.0866667,true
has_maxLength__AND__has_type,has_maxLength,has_type,20,75,0.210526,2,1,20,75,0.1,0.0133333,7.5,0.0866667,true
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,6,89,0.0631579,1,2,6,89,0.166667,0.0224719,7.41667,0.144195,true
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,6,89,0.0631579,1,2,6,89,0.166667,0.0224719,7.41667,0.144195,true
has_maximum__AND__has_not,has_maximum,has_not,6,89,0.0631579,1,2,6,89,0.166667,0.0224719,7.41667,0.144195,true
has_minimum__AND__has_not,has_minimum,has_not,6,89,0.0631579,1,2,6,89,0.166667,0.0224719,7.41667,0.144195,true
has_additionalProperties__AND__has_not,has_additionalProperties,has_not,7,88,0.0736842,1,2,7,88,0.142857,0.0227273,6.28571,0.12013,true
has_anyOf__AND__has_not,has_anyOf,has_not,7,88,0.0736842,1,2,7,88,0.142857,0.0227273,6.28571,0.12013,true
has_boolean_schema__AND__has_not,has_boolean_schema,has_not,7,88,0.0736842,1,2,7,88,0.142857,0.0227273,6.28571,0.12013,true
has_default__AND__has_pattern,has_default,has_pattern,7,88,0.0736842,1,2,7,88,0.142857,0.0227273,6.28571,0.12013,true
