feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,8,87,0.0842105,23,33,27,264,0.851852,0.125,6.81481,0.726852,true
has_defs__AND__has_maxLength,has_defs,has_maxLength,13,82,0.136842,33,23,57,234,0.578947,0.0982906,5.89016,0.480657,true
has_maxLength__AND__has_ref,has_maxLength,has_ref,13,82,0.136842,33,23,57,234,0.578947,0.0982906,5.89016,0.480657,true
has_allOf__AND__has_pattern,has_allOf,has_pattern,10,85,0.105263,30,26,52,239,0.576923,0.108787,5.30325,0.468136,true
has_allOf__AND__has_required,has_allOf,has_required,10,85,0.105263,30,26,52,239,0.576923,0.108787,5.30325,0.468136,true
has_additionalProperties__AND__has_not,has_additionalProperties,has_not,7,88,0.0736842,23,33,34,257,0.676471,0.128405,5.26827,0.548066,true
has_allOf__AND__has_maxLength,has_allOf,has_maxLength,7,88,0.0736842,23,33,34,257,0.676471,0.128405,5.26827,0.548066,true
has_anyOf__AND__has_not,has_anyOf,has_not,7,88,0.0736842,23,33,34,257,0.676471,0.128405,5.26827,0.548066,true
has_boolean_schema__AND__has_not,has_boolean_schema,has_not,7,88,0.0736842,23,33,34,257,0.676471,0.128405,5.26827,0.548066,true
has_defs__AND__has_not,has_defs,has_not,7,88,0.0736842,23,33,34,257,0.676471,0.128405,5.26827,0.548066,true
has_enum__AND__has_not,has_enum,has_not,7,88,0.0736842,23,33,34,257,0.676471,0.128405,5.26827,0.548066,true
has_items__AND__has_not,has_items,has_not,7,88,0.0736842,23,33,34,257,0.676471,0.128405,5.26827,0.548066,true
has_maxLength__AND__has_not,has_maxLength,has_not,7,88,0.0736842,23,33,34,257,0.676471,0.128405,5.26827,0.548066,true
has_minLength__AND__has_not,has_minLength,has_not,7,88,0.0736842,23,33,34,257,0.676471,0.128405,5.26827,0.548066,true
has_not__AND__has_pattern,has_not,has_pattern,7,88,0.0736842,23,33,34,257,0.676471,0.128405,5.26827,0.548066,true
has_not__AND__has_properties,has_not,has_properties,7,88,0.0736842,23,33,34,257,0.676471,0.128405,5.26827,0.548066,true
has_not__AND__has_ref,has_not,has_ref,7,88,0.0736842,23,33,34,257,0.676471,0.128405,5.26827,0.548066,true
has_not__AND__has_required,has_not,has_required,7,88,0.0736842,23,33,34,257,0.676471,0.128405,5.26827,0.548066,true
has_not__AND__has_type,has_not,has_type,7,88,0.0736842,23,33,34,257,0.676471,0.128405,5.26827,0.548066,true
has_additionalProperties__AND__has_allOf,has_additionalProperties,has_allOf,11,84,0.115789,30,26,53,238,0.566038,0.109244,5.18142,0.456794,true
