feature,schemas_with_feature,schemas_without_feature,timeout_with_feature,timeout_without_feature,timeout_rate_with,timeout_rate_without,lift,support,global_timeout_rate
has_minItems,32,63,3,0,0.09375,0,inf,0.336842,0.0315789
has_minimum,33,62,3,0,0.0909091,0,inf,0.347368,0.0315789
has_pattern,36,59,3,0,0.0833333,0,inf,0.378947,0.0315789
large_enum,59,36,3,0,0.0508475,0,inf,0.621053,0.0315789
has_enum,72,23,3,0,0.0416667,0,inf,0.757895,0.0315789
many_required,82,13,3,0,0.0365854,0,inf,0.863158,0.0315789
has_required,85,10,3,0,0.0352941,0,inf,0.894737,0.0315789
has_items,90,5,3,0,0.0333333,0,inf,0.947368,0.0315789
has_properties,95,0,3,0,0.0315789,0,inf,1,0.0315789
has_type,95,0,3,0,0.0315789,0,inf,1,0.0315789
many_properties,95,0,3,0,0.0315789,0,inf,1,0.0315789
has_exclusiveMaximum,3,92,1,2,0.333333,0.0217391,15.3333,0.0315789,0.0315789
has_maximum,19,76,2,1,0.105263,0.0131579,8,0.2,0.0315789
has_maxLength,20,75,2,1,0.1,0.0133333,7.5,0.210526,0.0315789
has_not,7,88,1,2,0.142857,0.0227273,6.28571,0.0736842,0.0315789
has_minLength,24,71,2,1,0.0833333,0.0140845,5.91667,0.252632,0.0315789
has_maxItems,12,83,1,2,0.0833333,0.0240964,3.45833,0.126316,0.0315789
has_oneOf,26,69,1,2,0.0384615,0.0289855,1.32692,0.273684,0.0315789
has_boolean_schema,58,37,2,1,0.0344828,0.027027,1.27586,0.610526,0.0315789
has_additionalProperties,62,33,2,1,0.0322581,0.030303,1.06452,0.652632,0.0315789
has_anyOf,34,61,1,2,0.0294118,0.0327869,0.897059,0.357895,0.0315789
has_default,39,56,1,2,0.025641,0.0357143,0.717949,0.410526,0.0315789
deep_schema,74,21,2,1,0.027027,0.047619,0.567568,0.778947,0.0315789
has_ref,66,29,1,2,0.0151515,0.0689655,0.219697,0.694737,0.0315789
has_defs,68,27,1,2,0.0147059,0.0740741,0.198529,0.715789,0.0315789
has_allOf,11,84,0,3,0,0.0357143,0,0.115789,0.0315789
has_maxProperties,8,87,0,3,0,0.0344828,0,0.0842105,0.0315789
has_minProperties,8,87,0,3,0,0.0344828,0,0.0842105,0.0315789
has_multipleOf,4,91,0,3,0,0.032967,0,0.0421053,0.0315789
has_patternProperties,7,88,0,3,0,0.0340909,0,0.0736842,0.0315789
