feature,schemas_with_feature,schemas_without_feature,under_with_feature,under_without_feature,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,support,global_under_rate,eligible_lift
has_not,7,88,23,33,34,257,0.676471,0.128405,5.26827,0.548066,0.0736842,0.19244,true
has_allOf,11,84,30,26,53,238,0.566038,0.109244,5.18142,0.456794,0.115789,0.19244,true
has_maxLength,20,75,35,21,79,212,0.443038,0.0990566,4.47257,0.343981,0.210526,0.19244,true
has_pattern,36,59,44,12,150,141,0.293333,0.0851064,3.44667,0.208227,0.378947,0.19244,true
has_minimum,33,62,36,20,112,179,0.321429,0.111732,2.87679,0.209697,0.347368,0.19244,true
has_minLength,24,71,31,25,98,193,0.316327,0.129534,2.44204,0.186793,0.252632,0.19244,true
has_minItems,32,63,33,23,112,179,0.294643,0.128492,2.29309,0.166151,0.336842,0.19244,true
has_maximum,19,76,19,37,59,232,0.322034,0.159483,2.01924,0.162551,0.2,0.19244,true
has_oneOf,26,69,25,31,85,206,0.294118,0.150485,1.95446,0.143632,0.273684,0.19244,true
has_additionalProperties,62,33,47,9,218,73,0.215596,0.123288,1.74873,0.0923087,0.652632,0.19244,true
has_boolean_schema,58,37,45,11,211,80,0.21327,0.1375,1.55106,0.0757701,0.610526,0.19244,true
has_maxItems,12,83,10,46,39,252,0.25641,0.18254,1.40468,0.0738706,0.126316,0.19244,true
many_required,82,13,52,4,264,27,0.19697,0.148148,1.32955,0.0488215,0.863158,0.19244,true
has_anyOf,34,61,28,28,126,165,0.222222,0.169697,1.30952,0.0525253,0.357895,0.19244,true
has_required,85,10,52,4,271,20,0.191882,0.2,0.95941,-0.00811808,0.894737,0.19244,true
has_ref,66,29,42,14,223,68,0.188341,0.205882,0.914798,-0.0175415,0.694737,0.19244,true
has_defs,68,27,42,14,226,65,0.185841,0.215385,0.862832,-0.0295439,0.715789,0.19244,true
large_enum,59,36,34,22,191,100,0.17801,0.22,0.809139,-0.0419895,0.621053,0.19244,true
has_enum,72,23,42,14,231,60,0.181818,0.233333,0.779221,-0.0515152,0.757895,0.19244,true
deep_schema,74,21,37,19,224,67,0.165179,0.283582,0.582472,-0.118404,0.778947,0.19244,true
has_default,39,56,12,44,118,173,0.101695,0.254335,0.399846,-0.15264,0.410526,0.19244,true
has_patternProperties,7,88,2,54,29,262,0.0689655,0.206107,0.33461,-0.137141,0.0736842,0.19244,true
has_maxProperties,8,87,0,56,37,254,0,0.220472,0,-0.220472,0.0842105,0.19244,true
has_minProperties,8,87,0,56,37,254,0,0.220472,0,-0.220472,0.0842105,0.19244,true
has_properties,95,0,56,0,291,0,0.19244,0,inf,0.19244,1,0.19244,false
has_type,95,0,56,0,291,0,0.19244,0,inf,0.19244,1,0.19244,false
many_properties,95,0,56,0,291,0,0.19244,0,inf,0.19244,1,0.19244,false
has_multipleOf,4,91,16,40,19,272,0.842105,0.147059,5.72632,0.695046,0.0421053,0.19244,false
has_exclusiveMaximum,3,92,1,55,11,280,0.0909091,0.196429,0.46281,-0.105519,0.0315789,0.19244,false
has_items,90,5,53,3,285,6,0.185965,0.5,0.37193,-0.314035,0.947368,0.19244,false
