schema_id,test_id,tokens_checked,num_tokens,rejection_ratio,first_rejected_token_index
Github_ultra---o12344.json,Github_ultra---o12344.json::test_00000,2806,2832,0.990819,2805
Github_ultra---o12344.json,Github_ultra---o12344.json::test_00001,1595,3037,0.525189,1594
Github_ultra---o12652.json,Github_ultra---o12652.json::test_00000,2793,2819,0.990777,2792
Github_ultra---o15627.json,Github_ultra---o15627.json::test_00000,819,2989,0.274005,818
Github_ultra---o15627.json,Github_ultra---o15627.json::test_00001,766,2890,0.265052,765
Github_ultra---o18637.json,Github_ultra---o18637.json::test_00000,2,745,0.00268456,1
Github_ultra---o21135.json,Github_ultra---o21135.json::test_00000,499,1614,0.30917,498
Github_ultra---o21135.json,Github_ultra---o21135.json::test_00001,492,1626,0.302583,491
Github_ultra---o21136.json,Github_ultra---o21136.json::test_00000,491,1583,0.310171,490
Github_ultra---o21136.json,Github_ultra---o21136.json::test_00001,492,1613,0.305022,491
Github_ultra---o21137.json,Github_ultra---o21137.json::test_00000,338,1379,0.245105,337
Github_ultra---o21840.json,Github_ultra---o21840.json::test_00000,19,280,0.0678571,18
Github_ultra---o21840.json,Github_ultra---o21840.json::test_00001,19,380,0.05,18
Github_ultra---o33032.json,Github_ultra---o33032.json::test_00000,206,292,0.705479,205
Github_ultra---o34345.json,Github_ultra---o34345.json::test_00000,229,1360,0.168382,228
Github_ultra---o34345.json,Github_ultra---o34345.json::test_00001,228,1359,0.16777,227
Github_ultra---o39230.json,Github_ultra---o39230.json::test_00000,19,213,0.0892019,18
Github_ultra---o40388.json,Github_ultra---o40388.json::test_00000,681,1097,0.620784,680
Github_ultra---o41081.json,Github_ultra---o41081.json::test_00000,19,400,0.0475,18
Github_ultra---o42127.json,Github_ultra---o42127.json::test_00000,20,413,0.0484262,19
Github_ultra---o42127.json,Github_ultra---o42127.json::test_00001,19,328,0.0579268,18
Github_ultra---o4826.json,Github_ultra---o4826.json::test_00000,1028,1193,0.861693,
Github_ultra---o48781.json,Github_ultra---o48781.json::test_00000,99,194,0.510309,98
Github_ultra---o56134.json,Github_ultra---o56134.json::test_00000,21,1542,0.0136187,20
Github_ultra---o56134.json,Github_ultra---o56134.json::test_00001,21,1488,0.0141129,20
Github_ultra---o58767.json,Github_ultra---o58767.json::test_00000,295,1632,0.18076,294
Github_ultra---o60252.json,Github_ultra---o60252.json::test_00000,16,156,0.102564,15
Github_ultra---o61647.json,Github_ultra---o61647.json::test_00000,6,757,0.00792602,5
Github_ultra---o61647.json,Github_ultra---o61647.json::test_00005,186,760,0.244737,185
Github_ultra---o62058.json,Github_ultra---o62058.json::test_00000,477,1640,0.290854,476
Github_ultra---o62058.json,Github_ultra---o62058.json::test_00001,477,1644,0.290146,476
Github_ultra---o62059.json,Github_ultra---o62059.json::test_00000,504,1738,0.289988,503
Github_ultra---o65323.json,Github_ultra---o65323.json::test_00000,109,702,0.155271,108
Github_ultra---o65323.json,Github_ultra---o65323.json::test_00001,419,663,0.631976,418
Github_ultra---o65424.json,Github_ultra---o65424.json::test_00000,940,1976,0.475709,
Github_ultra---o68411.json,Github_ultra---o68411.json::test_00000,10,1506,0.00664011,9
Github_ultra---o68411.json,Github_ultra---o68411.json::test_00001,10,1528,0.0065445,9
Github_ultra---o68588.json,Github_ultra---o68588.json::test_00000,2,1733,0.00115407,1
Github_ultra---o68588.json,Github_ultra---o68588.json::test_00001,2,1758,0.00113766,1
Github_ultra---o69209.json,Github_ultra---o69209.json::test_00000,12,647,0.0185471,11
Github_ultra---o69900.json,Github_ultra---o69900.json::test_00000,19,374,0.0508021,18
Github_ultra---o69900.json,Github_ultra---o69900.json::test_00001,19,247,0.0769231,18
Github_ultra---o7578.json,Github_ultra---o7578.json::test_00000,933,1686,0.553381,932
Github_ultra---o7578.json,Github_ultra---o7578.json::test_00001,917,1672,0.548445,916
Github_ultra---o78057.json,Github_ultra---o78057.json::test_00000,19,835,0.0227545,18
Github_ultra---o78057.json,Github_ultra---o78057.json::test_00001,19,264,0.0719697,18
Github_ultra---o78463.json,Github_ultra---o78463.json::test_00000,20,339,0.0589971,19
Github_ultra---o78463.json,Github_ultra---o78463.json::test_00001,19,377,0.0503979,18
Github_ultra---o79009.json,Github_ultra---o79009.json::test_00000,2,563,0.0035524,1
Github_ultra---o79009.json,Github_ultra---o79009.json::test_00001,2,505,0.0039604,1
Github_ultra---o80208.json,Github_ultra---o80208.json::test_00000,1960,1976,0.991903,1959
Github_ultra---o80235.json,Github_ultra---o80235.json::test_00001,5838,5856,0.996926,5837
Github_ultra---o83854.json,Github_ultra---o83854.json::test_00000,19,366,0.0519126,18
Github_ultra---o83854.json,Github_ultra---o83854.json::test_00001,16,243,0.0658436,15
Github_ultra---o9354.json,Github_ultra---o9354.json::test_00000,2,1580,0.00126582,1
Github_ultra---o9354.json,Github_ultra---o9354.json::test_00001,2,1407,0.00142146,1
Github_ultra---o9981.json,Github_ultra---o9981.json::test_00000,2049,2064,0.992733,2048
Github_ultra---o9981.json,Github_ultra---o9981.json::test_00001,2122,2145,0.989277,2121
