schema_id,dataset,features,raw_features,nb_features,nb_raw_features,num_valid_tests,num_invalid_tests,size_valid_tests,size_invalid_tests,full_size,stripped_size
Github_easy---o10008.json,Github_easy,['additionalProperties'],"['$schema', '_boolSchema', 'properties', 'required', 'type', 'type:boolean', 'type:object']",1,7,1,2,37,76,248,248
Github_easy---o10009.json,Github_easy,"['@minmaxLength', 'additionalProperties', 'pattern']","['_boolSchema', 'maxLength', 'minLength', 'properties', 'type', 'type:number', 'type:object', 'type:string']",3,8,1,3,120,372,340,260
Github_easy---o10010.json,Github_easy,"['@minmaxLength', 'additionalProperties', 'pattern']","['_boolSchema', 'maxLength', 'minLength', 'properties', 'type', 'type:number', 'type:object', 'type:string']",3,8,0,0,0,0,377,303
Github_easy---o10011.json,Github_easy,"['@siblingKeys', 'additionalProperties', 'enum', 'items', 'oneOf']","['_boolSchema', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",5,7,2,2,292,298,587,483
Github_easy---o10012.json,Github_easy,"['@minmaxLength', 'additionalProperties', 'pattern']","['_boolSchema', 'maxLength', 'minLength', 'properties', 'type', 'type:object', 'type:string']",3,7,1,3,87,285,386,306
Github_easy---o10013.json,Github_easy,"['@minmaxLength', '@siblingKeys', 'additionalProperties', 'enum', 'items', 'oneOf', 'pattern']","['_boolSchema', 'maxLength', 'minLength', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",7,9,2,2,475,402,750,681
Github_easy---o10014.json,Github_easy,"['additionalProperties', 'items']","['_boolSchema', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",2,7,1,1,190,208,287,256
Github_easy---o10016.json,Github_easy,"['format', 'format:email']","['properties', 'type', 'type:[]', 'type:integer', 'type:null', 'type:object', 'type:string']",2,7,2,7,517,1808,563,353
Github_easy---o10030.json,Github_easy,"['@minmaxItems', 'items']","['minItems', 'properties', 'required', 'type', 'type:array', 'type:integer', 'type:object', 'type:string']",2,8,1,3,92,150,234,210
Github_easy---o10059.json,Github_easy,"['additionalItems', 'additionalProperties', 'items']","['_boolSchema', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",3,7,1,2,27,50,182,153
Github_easy---o10065.json,Github_easy,"['@minmaxInteger', 'additionalProperties']","['_boolSchema', 'minimum', 'properties', 'required', 'type', 'type:integer', 'type:object', 'type:string']",2,8,1,2,49,128,238,209
Github_easy---o10077.json,Github_easy,[],"['properties', 'required', 'type', 'type:integer', 'type:object', 'type:string']",0,6,2,0,197,0,272,198
Github_easy---o1008.json,Github_easy,[],"['$schema', 'id', 'properties', 'required', 'type', 'type:object', 'type:string']",0,7,2,1,209,93,608,284
